Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,S.No.2,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1.1,Category,Sub Category,Sub Category Description,Format/File
14-Dec-2023,"INR 3,622,133",30.0,Devi Ram Chauhan,14-Dec-2023 04:19 PM,AOC.pdf (435.00 KB),AOC,EE Devi Ram Chauhan,Internal,"AE Chakkar, Supdt. G-II, DAO",Devi Ram Chauhan,14-Dec-2023 04:16 PM,finsummary_117430.pdf (143.60 KB),EE Devi Ram Chauhan,Internal,"AE Chakkar, Supdt. G-II, DAO",Devi Ram Chauhan,27-Sep-2023 11:29 AM,27-Sep-2023 11:30 AM,techsummary_117430.pdf (469.84 KB),PWD,2023_PWD_78739_1,PW-NCD-TA-NIQ-2023- 6271-99 dt. 11-09-2023,AMP for the year 2023-24 on Chari School to Dehri Galoo via Trambi road Km. 0/00 to 2/200 (HP0810VR012831104),Technical,Technical Bid Summary,Devi Ram Chauhan,26-Sep-2023 10:20 AM,technical_117430.pdf,1.0,373450.0,Nikhil Thakur,22-Sep-2023 04:43 PM,Accepted-AOC,Being L1,14-Dec-2023,1.0,373450.0,Nikhil Thakur,INR,"3,622,133",Finance,Finance Bid Summary,Devi Ram Chauhan,14-Dec-2023 04:15 PM,finance_117430.pdf,BOQ Comparative Chart,12-Sep-2023 04:00 PM,23-Sep-2023 11:30 AM,12-Sep-2023 04:00 PM,23-Sep-2023 10:30 AM,NA ,NA ,12-Sep-2023 04:00 PM,23-Sep-2023 10:30 AM,27-Sep-2023 11:30 AM,EE HPPWD Division Nerchowk,HPPWD Division Nerchowk,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender (Separately),1.0,ICICI BANK,"69,700",No,fixed,,Nil,Nil,PWD,PW-NCD-TA-NIQ-2023- 6271-99 dt. 11-09-2023,2023_PWD_78739_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,500",Nil,Nil,No,AMP for the year 2023-24 on Chari School to Dehri Galoo via Trambi road Km. 0/00 to 2/200 (HP0810VR012831104),Providing and Laying Bituminous concrete in Km.0/00 to 2/200.,Please refer Tender documents. ,NA ,"34,83,155",Civil Works,NA ,Tender,90.0,30.0,Nerchowk,175008.0,NA ,NA ,NA ,HPPWD Division Nerchowk,No ,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (Separately),2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done certificate and work in hand certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machineries, Tools and Plants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gazetted and non Gazetted officers HP.PWD. Employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN Numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid is correct in all respects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees provident funds certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HPPWD Form 7/8 duly signed by the contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to Provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest GST and Income Tax returns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
