Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,attached,Sushil Kumar,09-Feb-2022 04:13 PM,finance_82717.pdf,BOQ Comparative Chart,Technical,Technical Bid opened on dated 17.01.2022 in the presence of the tender committee and necessary required document to qualify tender process checked and found in order in respect all of bidders.,Sushil Kumar,17-Jan-2022 04:40 PM,technical_82717.pdf,09-Feb-2022,"INR 749,273",60.0,Sushil Kumar,09-Feb-2022 04:26 PM,awardsarahan.pdf (4098.00 KB),NIT Amount,Er.Sushil kumar,Internal,Attached,Sushil Kumar,17-Jan-2022 04:45 PM,17-Jan-2022 04:50 PM,techsummary_82717.pdf (400.65 KB),1.0,254110.0,M/s M.S. Electrical and Engineering works,06-Jan-2022 10:45 AM,Rejected-Finance,Higher rate quoted,09-Feb-2022 04:20 PM,1.0,256018.0,SATPAL,INR,"643,703.45",HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2021_HPSEB_55165_1,184619/2021-22-5563-69,"Tender for Shifting of 63kVA Sub-Station Sarahan in Ashla Section to be shifted to the center of load under Electrical Sub-Division HPSEBL Chhatri. T.S. No. 96/2021-22 Sub Head Erection of 63kVA SubStation , 22kV HT line and LT line.",Er. Sushil Kumar,Internal,attached,Sushil Kumar,09-Feb-2022 04:20 PM,finsummary_82717.pdf (583.26 KB),AOC,1.0,ICICI BANK,30-Dec-2021 10:50 AM,17-Jan-2022 03:00 PM,30-Dec-2021 11:00 AM,17-Jan-2022 11:00 AM,NA ,NA ,30-Dec-2021 11:00 AM,17-Jan-2022 11:00 AM,17-Jan-2022 04:50 PM,"Tender for Shifting of 63kVA Sub-Station Sarahan in Ashla Section to be shifted to the center of load under Electrical Sub-Division HPSEBL Chhatri. T.S. No. 96/2021-22 Sub Head Erection of 63kVA SubStation , 22kV HT line and LT line.","Tender for Shifting of 63kVA Sub-Station Sarahan in Ashla Section to be shifted to the center of load under Electrical Sub-Division HPSEBL Chhatri. T.S. No. 96/2021-22 Sub Head Erection of 63kVA SubStation , 22kV HT line and LT line.",please refer tender document  ,NA ,"7,49,273",Supply and Erection,Electrical Works ,Tender,180.0,60.0,Chhatri,175047.0,NA ,NA ,NA ,"Sr. Executive Engineer, Electrical Division Karsog",No ,No,1.0,Date Extension,Date,,Sr. Executive Engineer,Electrical Division HPSEBL Karsog,"18,732",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/2021-22-5563-69,2021_HPSEB_55165_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Online,No,No,No,"1,180",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,256063.0,Sai Bholey Consultancy,17-Jan-2022 10:59 AM,Rejected-Finance,Higher rate quoted,09-Feb-2022 04:20 PM,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,3.0,256018.0,SATPAL,16-Jan-2022 07:00 PM,Accepted-AOC,Found Lowest as compare to other bidder,09-Feb-2022 04:26 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Electrical License from competent authority as per bid document,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,4.0,254127.0,SUNEEL THAKUR ELECTRICAL,16-Jan-2022 03:17 PM,Rejected-Finance,Higher rate quoted,09-Feb-2022 04:20 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of turnover from CA as per bid document,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience as per bid document,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of non blacklisting as per bid document,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking of no litigation in Govt./Semi Govt. institution as per bid document,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Registration of PAN, GST, EPF and insurance policy for workman as per bid document",,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bank guarantee,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,AOC
