Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
SE,Internal,EE EE(D) SUPDT DAO,Baldev Singh,26-Feb-2022 06:51 PM,finsummary_80039.pdf (194.11 KB),26-Feb-2022,"INR 15,388,971",500.0,Baldev Singh,26-Feb-2022 07:02 PM,aoc.pdf (4780.00 KB),AWARDEDR TO PARSHOTAM SINGH,PWD,2021_PWD_53481_2,PWI/CB/II-C/TP/2021-5856-86 Dt 05-11-2021,Construction of Bridge over Tara Khad on Indpur Tappa to village Dhantol at RD.0/870,EXECUTIVE ENGINEER,Internal,SUPDT HDM DAO AE,Baldev Singh,27-Nov-2021 01:09 PM,01-Dec-2021 10:30 AM,techsummary_80039.pdf (8347.76 KB),Technical,"SR. NO. 1,2,4,6,8 ARE ADMITED",Baldev Singh,27-Nov-2021 01:04 PM,technical_80039.pdf,1.0,242768.0,Kapil Sharma,18-Nov-2021 04:27 PM,Rejected-AOC,L4,26-Feb-2022 07:02 PM,1.0,243095.0,Purshotam Singh,INR,"15,422,500.68",Finance,ALL ARE ADMITTED,Baldev Singh,26-Feb-2022 06:47 PM,finance_80039.pdf,BOQ Comparative Chart,AOC,EXECUTIVE ENGINEER,HPPWD DIVISION INDORA,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender form,12-Nov-2021 09:00 AM,19-Nov-2021 10:00 AM,12-Nov-2021 09:00 AM,18-Nov-2021 05:00 PM,NA ,NA ,12-Nov-2021 09:00 AM,18-Nov-2021 05:00 PM,01-Dec-2021 10:30 AM,Construction of Bridge over Tara Khad on Indpur Tappa to village Dhantol at RD.0/870,construction of 31.89 mtr span RCC slab bridge 3 span of 10.37 mtrs each including approaches and road from Indpur Tappa to Village Dhantol Km.0/0 to 1/135,Please refer Tender documents. ,NA ,"1,32,94,688",Civil Works - Bridges,NA ,Tender,195.0,500.0,INDORA,176401.0,NA ,NA ,NA ,HPPWD DIVISION INDORA,No ,No,1.0,ICICI BANK,PWD,PWI/CB/II-C/TP/2021-5856-86 Dt 05-11-2021,2021_PWD_53481_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"5,000",Nil,Nil,Yes,"2,66,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,243025.0,Ms R.K. Mahajan,18-Nov-2021 12:52 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,27-Nov-2021 01:04 PM,,,,,,,,,,,,AOC,,,,,.pdf,The Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,243095.0,Purshotam Singh,18-Nov-2021 12:28 PM,Accepted-AOC,AWARDED,26-Feb-2022 07:02 PM,,,,,,,,,,,,AOC,,,,,.pdf,"Contractors Registration, GST Registration, EPF Registration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,242920.0,Rakesh Kumar,18-Nov-2021 01:58 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,27-Nov-2021 01:04 PM,,,,,,,,,,,,AOC,,,,,.pdf,Similar Work Done/ Work In Hand as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,242944.0,Ravinder Kumar,18-Nov-2021 01:30 PM,Rejected-AOC,L3,26-Feb-2022 07:02 PM,,,,,,,,,,,,AOC,,,,,.pdf,"List Of Machinery, Tool, Plant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,243155.0,Sandeep Govt Contractor,18-Nov-2021 04:35 PM,Rejected-AOC,L5,26-Feb-2022 07:02 PM,,,,,,,,,,,,AOC,,,,,.pdf,"Bid capacity , last 5 year Turnover statement duly issued by CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,243099.0,SATVIK MAHAJAN,18-Nov-2021 11:05 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,27-Nov-2021 01:04 PM,,,,,,,,,,,,AOC,,,,,.pdf,Details of technical staff employed by the contractor alongwith their experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,242896.0,SEWA SINGH,17-Nov-2021 05:49 PM,Rejected-AOC,L2,26-Feb-2022 07:02 PM,,,,,,,,,,,,AOC,,,,,.pdf,credit facility duly issued by the bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
