Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
28-Feb-2022,INR 4468196.7,90.0,Ritumoni Pachani,28-Feb-2022 05:44 PM,AOC.pdf (354.00 KB),AOC,Finance,Bid opening summery,BINOD NATH,11-Feb-2022 05:09 PM,finance_36087.pdf,BOQ Comparative Chart,Industries and Commerce Department||Assam Industrial Infrastructure Development Corporation,2021_ICD_23480_1,AIIDC/2078/2019 date 22/11/21,Up gradation of Industrial Estate Dorikapar Sivasagar Dist Sivasagar Assam (Construction of Cement Concrete Paver Block Approach Road),MD AIIDC,Internal,"SE PWD, FA AIIDC and GM AIIDC",Ritumoni Pachani,11-Feb-2022 04:49 PM,11-Feb-2022 05:00 PM,techsummary_36087.pdf (1225.31 KB),Technical,Bid Opening Summery,Ritumoni Pachani,07-Dec-2021 05:03 PM,technical_36087.pdf,1.0,127584.0,MS UNIQUE CONSTRUCTION AND SUPPLY,INR,4468196.7,MD AIIDC,Internal,"SE APWD, SR FA, GM AIIDC cum Member Secretary",Ritumoni Pachani,28-Feb-2022 05:38 PM,finsummary_36087.pdf (782.70 KB),1,127438,BETHA RAM CHANGMAI,06-Dec-2021 04:45 PM,Rejected-Finance,Refer Minutes,28-Feb-2022 05:38 PM,AOC,25-Nov-2021 02:00 PM,07-Dec-2021 03:00 PM,25-Nov-2021 02:00 PM,07-Dec-2021 02:00 PM,25-Nov-2021 02:00 PM ,07-Dec-2021 02:00 PM ,30-Nov-2021 02:00 PM,07-Dec-2021 02:00 PM,11-Feb-2022 05:00 PM,MD AIIDC,Bamunimaidam Ghy 21,"1,000",MD AIIDC,GHY,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Bid and Bid Security,Up gradation of Industrial Estate Dorikapar Sivasagar Dist Sivasagar Assam (Construction of Cement Concrete Paver Block Approach Road),Up gradation of Industrial Estate Dorikapar Sivasagar Dist Sivasagar Assam (Construction of Cement Concrete Paver Block Approach Road),Please refer Tender documents. ,NA ,"49,64,663",Civil Works – Roads,NA ,Tender,180.0,90.0,Darikapar Sivasagar,785640.0,NA ,NA ,NA ,Bamunimaidam Ghy,No ,No,"99,293",Yes,fixed,,MD AIIDC,GHY,1.0,DD - Demand Draft,Industries and Commerce Department||Assam Industrial Infrastructure Development Corporation,AIIDC/2078/2019 date 22/11/21,2021_ICD_23480_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,127528,BIPUL CH. DAS,04-Dec-2021 05:43 PM,Rejected-Finance,Refer Minutes,28-Feb-2022 05:38 PM,AOC,,,,,,,,,,,,,,,,,,.pdf,Signed Bid Document,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,127529,Dipen Ch. Das,04-Dec-2021 06:18 PM,Rejected-Finance,Refer Minutes,28-Feb-2022 05:38 PM,AOC,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,127570,Dochania and Company Private Limited,07-Dec-2021 11:37 AM,Rejected-Finance,Refer Minutes,28-Feb-2022 05:38 PM,AOC,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,127567,Global Oilfield Services (P) Ltd.,06-Dec-2021 08:34 PM,Rejected-Technical,Ref to tech minutes,11-Feb-2022 04:49 PM,AOC,,,,,,,,,,,,,,,,,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,127591,MOJAMMIL HOQUE,07-Dec-2021 11:34 AM,Rejected-Finance,Refer Minutes,28-Feb-2022 05:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,127492,M/S BABI ENTERPRISE,03-Dec-2021 05:53 PM,Rejected-Technical,Ref to tech minutes,11-Feb-2022 04:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,127584,MS UNIQUE CONSTRUCTION AND SUPPLY,06-Dec-2021 09:02 PM,Accepted-AOC,Refer Minutes,28-Feb-2022 05:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,127576,SADGURU ENGINEERS AND ALLIED SERVICES PRIVATE LIMITED,07-Dec-2021 11:54 AM,Rejected-Finance,Refer Minutes,28-Feb-2022 05:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,127583,SRI GOPAL DEKA,06-Dec-2021 08:44 PM,Rejected-Finance,Refer Minutes,28-Feb-2022 05:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
