Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
Finance,BOS,Rajeev Kumar,18-Nov-2021 02:40 PM,None,BOQ Comparative Chart,1.0,206854.0,Dildar Ali,INR,"46,182,713",1.0,Recovation,Corrigendum,17-Apr-2021 12:44 PM,Corrigendum1.pdf ,126.1,Technical Opening,Technical,Bid opening Summary,Jeet Singh Thakur,23-Apr-2021 02:05 PM,technical_69019.pdf,1.0,206854.0,Dildar Ali,31-Mar-2021 04:20 PM,Accepted-AOC,Work awarded,23-Feb-2022 06:43 PM,24-Nov-2021,"INR 22,212,600",540.0,Deepak Mahajan,23-Feb-2022 06:43 PM,AL.pdf (784.00 KB),Award letter,Executive Engineer,Internal,Senior Assistant Superintendent HDM AE,Deepak Mahajan,18-Nov-2021 03:00 PM,finsummary_69019.pdf (542.51 KB),Executive Engineer Salooni,Internal,Senior Assistant Salooni Superintendent Gr- II Salooni DAO Salooni HDM Salooni Assistant Engineer Salooni,Jeet Singh Thakur,23-Apr-2021 02:35 PM,29-Apr-2021 11:30 AM,techsummary_69019.pdf (5865.24 KB),PWD,2021_PWD_45841_1,NIT/NABARD/2020-21-14690-26 dated 17/3/2021,Construction of Balance work including Metalling/Tarring of link road to village Luhani km 0/0 to 5/360 under NABARD RIDF-XXVI,AOC,Superintending Engineer,Superintending Engineer 7th Circle HPPWD Dalhousie,Construction of Balance work including Metalling/Tarring of link road to village Luhani km 0/0 to 5/360 under NABARD RIDF-XXVI,"Cutting work for removal of formation deficiency, construction of PCC retaining wall, breast wall, cross drainage work, RCC slab culvert, providing and laying WBM-I,II and III, Metalling and Taring work, road side drain and parapets",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,75.0,540.0,Salooni,176320.0,NA ,NA ,NA ,Superintending Engineer 7th Circle HPPWD Dalhousie,No ,No,1.0,ICICI BANK,24-Mar-2021 10:00 AM,01-Apr-2021 11:30 AM,24-Mar-2021 10:00 AM,31-Mar-2021 05:00 PM,NA ,NA ,24-Mar-2021 10:00 AM,31-Mar-2021 05:00 PM,29-Apr-2021 11:30 AM,"5,000",Nil,Nil,No,PWD,NIT/NABARD/2020-21-14690-26 dated 17/3/2021,2021_PWD_45841_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"4,45,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Bid for Part-I of the Bid as per Section,AOC
,,,,,,,,,,,2.0,Tender Revocation,Construction of Balance work including Metalling/Tarring of link road to village Luhani km 0/0 to 5/360 under NABARD RIDF-XXVI,22-Apr-2021 08:23 PM,Document8.pdf ,443.87,Technical Opening,,,,,,2.0,205997.0,Kamal Thakur,31-Mar-2021 01:44 PM,Rejected-Finance,Work awarded to Lowest Contractor,18-Nov-2021 03:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form as per Section-1 Point No. 3 through online mode i.e. Scanned copy of e-payment,AOC
,,,,,,,,,,,,,,,,,,,,,,,3.0,206001.0,sahab singh thakur,30-Mar-2021 12:24 AM,Rejected-Finance,Work awarded to Lowest Contractor,18-Nov-2021 03:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security as per Section-2 Cl-16.2 through online mode i.e. Scanned copy of e-Payment,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration as per Q.I-Section 3(1.1),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.3.1), (1.3.2) (1.3.3)",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.4), (1.5)",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.2), (1.7)",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.6), (1.8), (1.9), (1.10)",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section-2 Cl (4.2 g) and Cl 4.3,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section-2 Cl (4.4A (b),AOC
