Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Dr Suresh Walia,Internal,Er Vinay Mehra AE Pankaj Rana Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Ankit Kumar,04-Oct-2021 01:38 PM,finsummary_77722.pdf (187.78 KB),18-Feb-2022,"INR 4,006,492",180.0,Ankit Kumar,21-Feb-2022 12:45 PM,Award.pdf (936.00 KB),Award,PWD,2021_PWD_52017_1,PWD- Civil-5969-6988-Tanda,"Construction of Main Outer Boundary wall at Dr R.P. Govt. Medical College at Tanda in Distt Kangra (Deposit work) (SH-Construction of Boundary wall, retaining wall and other work etc)",Dr Suresh Kumar Walia,Internal,Er Vinay Mehra AE Pankaj Rana Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,21-Sep-2021 04:26 PM,24-Sep-2021 03:00 PM,techsummary_77722.pdf (708.13 KB),Technical,Sum,Suresh Kumar Walia,21-Sep-2021 04:23 PM,technical_77722.pdf,1.0,235769.0,Neeraj,14-Sep-2021 06:33 PM,Accepted-AOC,Award,21-Feb-2022 12:45 PM,Finance,Sum,Ankit Kumar,04-Oct-2021 01:36 PM,finance_77722.pdf,BOQ Comparative Chart,1.0,235769.0,Neeraj,INR,"5,644,265",AOC,"2,000",Nil,Nil,No,07-Sep-2021 11:30 AM,15-Sep-2021 11:30 AM,07-Sep-2021 11:30 AM,15-Sep-2021 11:00 AM,NA ,NA ,07-Sep-2021 11:30 AM,15-Sep-2021 11:00 AM,24-Sep-2021 03:00 PM,"67,600",No,fixed,,Nil,Nil,"Construction of Main Outer Boundary wall at Dr R.P. Govt. Medical College at Tanda in Distt Kangra (Deposit work) (SH-Construction of Boundary wall, retaining wall and other work etc)","Construction of Main Outer Boundary wall at Dr R.P. Govt. Medical College at Tanda in Distt Kangra (Deposit work) (SH-Construction of Boundary wall, retaining wall and other work etc)",Please refer Tender documents. ,NA ,"40,06,492",Civil Works,NA ,Tender,120.0,180.0,Tanda,176002.0,NA ,NA ,NA ,O/o Executive Engineer HP PWD Division Tanda,No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,Executive Engineer,O/o Executive Engineer HP PWD Division Tanda,PWD,PWD- Civil-5969-6988-Tanda,2021_PWD_52017_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,235794.0,rakesh verma,14-Sep-2021 09:18 PM,Rejected-Technical,Not fulfill criteria,21-Sep-2021 04:26 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,235616.0,SUNIL DUTT,14-Sep-2021 06:06 PM,Rejected-Technical,Not Fulfill criteria,21-Sep-2021 04:26 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,235727.0,yashpal sharma,14-Sep-2021 03:14 PM,Rejected-Finance,Lowest 2,04-Oct-2021 01:37 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF No,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,AOC
