Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Cover No,Cover,Document Type,Description,S.No.1,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
ED,Internal,"ED, DF, FM, DSM",Manohar Choudhury,27-Sep-2021 05:40 PM,finsummary_34344.pdf (11703.79 KB),1.0,120813.0,SCOTT EDIL PHARMACIA LTD,INR,1.0,24-Feb-2022,INR 100.0,60.0,partha sarathi Das,24-Feb-2022 04:02 PM,fbminutes.pdf (11704.00 KB),DRUGS,Finance,Minutes of Financial Bids,Manohar Choudhury,27-Sep-2021 04:49 PM,finance_34344.pdf,BOQ Comparative Chart,Technical,Opened,partha sarathi Das,10-Sep-2021 05:53 PM,,1,121182,ABBOTT INDIA LIMITED,12-Aug-2021 02:33 PM,Accepted-AOC,L,24-Feb-2022 04:02 PM,National Health Mission||State Programme Management Unit - NHM,2021_NHM_22145_1,EDL3_ECF-169650,Supply of essential drugs,ED,Internal,"ED, DME, DHS, DF, SFM, DSM",partha sarathi Das,10-Sep-2021 06:03 PM,10-Sep-2021 06:10 PM,techsummary_34344.pdf (30926.23 KB),AOC,Supply of essential drugs,Supply of essential drugs,Please refer Tender documents. ,NA ,,Medicines,NA ,Rate Contract,180.0,60.0,"MD, NHM, Assam",781005.0,"Office of the MD, NHM, Assam ","Office of the MD, NHM, Assam, Saikia Commercial Complex, Christian Basti, Guwahati ",15-Jul-2021 11:00 AM ,Officie of the MD NHM Assam,No ,No,"20,000",No,fixed,,"State Health Society, Assam",Guwahati,09-Jul-2021 02:00 PM,13-Aug-2021 04:00 PM,09-Jul-2021 03:00 PM,13-Aug-2021 02:00 PM,NA ,NA ,07-Aug-2021 02:00 PM,13-Aug-2021 02:00 PM,10-Sep-2021 06:10 PM,1.0,Corrigendum,BOQ,,"MD, NHM, Assam","Office of the MD, NHM, Assam, Saikia Commercial Complex, Christian Basti, Guwahati",1.0,Fee/PreQual/Technical,.pdf,"Court Fee/IPO, Tender Processing Fee, EMD, Technical Bids",1.0,DD - Demand Draft,National Health Mission||State Programme Management Unit - NHM,EDL3_ECF-169650,2021_NHM_22145_1,Yes,Open Tender,Item Rate,Goods,2.0,No,No,Offline,No,No,No,"2,000","State Health Society, Assam",Guwahati,No,AOC
,,,,,,2.0,120930.0,CMG BIOTECH PVT. LTD.,INR,1.0,,,,,,,,,,,,,,,,,,,2,121042,AKUMS DRUGS & PHARMACEUTICALS LTD,10-Aug-2021 04:19 PM,Rejected-Finance,Higher Rate,27-Sep-2021 05:40 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Corrigendum No 1,Date,,,,2.0,Finance,.xls,BoQ,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,AOC
,,,,,,3.0,120931.0,Protech Telelinks,INR,1.0,,,,,,,,,,,,,,,,,,,3,121132,Alpa Laboratories Limited,12-Aug-2021 07:00 PM,Rejected-Finance,Higher Rate,27-Sep-2021 05:40 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Corrigendum,Technical Bid,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4.0,120958.0,EASTERN HEALTHCARE,INR,1.0,,,,,,,,,,,,,,,,,,,4,120997,ANGLIFESCIENCES INDIA PVT LTD,13-Aug-2021 11:16 AM,Accepted-AOC,L,24-Feb-2022 04:02 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5.0,120959.0,Lupin Limited,INR,1.0,,,,,,,,,,,,,,,,,,,5,121026,Apple Formulationa Pvt. Ltd.,10-Aug-2021 02:35 PM,Accepted-AOC,L,24-Feb-2022 04:02 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,6.0,120971.0,SHAMSHREE LIFESCIENCES LIMITED,INR,1.0,,,,,,,,,,,,,,,,,,,6,120924,ASTRAZENECA PHARMA INDIA LIMITED,09-Aug-2021 12:29 AM,Rejected-Finance,Higher Rate,27-Sep-2021 05:40 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,7.0,120976.0,SAI PARENTERALS PRIVATE LIMITED,INR,1.0,,,,,,,,,,,,,,,,,,,7,121073,AUROLAB TRUST,12-Aug-2021 05:18 AM,Not Admitted-Fee/PreQual/Technical,Others-Hard copies of technical bids not submitted,10-Sep-2021 05:53 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,8.0,120996.0,BHARAT PARENTERALS LTD.,INR,1.0,,,,,,,,,,,,,,,,,,,8,121192,Bajaj Healthcare Ltd,13-Aug-2021 12:20 PM,Rejected-Finance,Higher Rate,27-Sep-2021 05:40 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,9.0,120997.0,ANGLIFESCIENCES INDIA PVT LTD,INR,1.0,,,,,,,,,,,,,,,,,,,9,121133,Bal Pharma Ltd,11-Aug-2021 05:49 PM,Rejected-Finance,Higher Rate,27-Sep-2021 05:40 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,10.0,121024.0,Cadila Pharmaceuticals Limited,INR,1.0,,,,,,,,,,,,,,,,,,,10,121124,bayer zydus pharma pvt limited,11-Aug-2021 04:38 PM,Accepted-AOC,L,24-Feb-2022 04:02 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,11.0,121026.0,Apple Formulationa Pvt. Ltd.,INR,1.0,,,,,,,,,,,,,,,,,,,11,121260,BDR PHARMACEUTICALS INTL PVT. LTD.,13-Aug-2021 01:53 PM,Accepted-AOC,L,24-Feb-2022 04:02 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,12.0,121094.0,RUSAN PHARMA LTD,INR,1.0,,,,,,,,,,,,,,,,,,,12,121169,Beta Drugs Limited,13-Aug-2021 01:30 PM,Accepted-AOC,L,24-Feb-2022 04:02 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,13.0,121123.0,JACKSON LABORATORIES PVT LTD,INR,1.0,,,,,,,,,,,,,,,,,,,13,120996,BHARAT PARENTERALS LTD.,12-Aug-2021 05:28 PM,Accepted-AOC,L,24-Feb-2022 04:02 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,14.0,121124.0,bayer zydus pharma pvt limited,INR,1.0,,,,,,,,,,,,,,,,,,,14,121024,Cadila Pharmaceuticals Limited,12-Aug-2021 10:51 AM,Accepted-AOC,L,24-Feb-2022 04:02 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
