Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"5,000",Nil,Nil,No,Construction of Link road from Mangwal to Souhra Jattan from km - 0/000 to km - 1/460,"Formation cutting, Retaining wall, Breast wall, Cross drianage , Metalling tarring, CC Pavement , PCC drain, Parapets , Crash barrier and road furniture including five year maintenance) under NABARD RIDF XXVII",Please refer Tender documents. ,NA ,"1,26,82,028",Civil Works,NA ,Tender,75.0,365.0,INDORA,176401.0,NA ,NA ,NA ,Superintending Engineer 9th Circle HPPWD Nurpur,No ,No,1.0,ICICI BANK,PWD,SEIX/WS/ETender/5424-28,2021_PWD_54043_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Bid for Part-I of the Bid as per Section-6,Executive Engineer,HPPWD Division Indora,"2,54,000",No,fixed,,Nil,Nil,27-Nov-2021 10:00 AM,07-Dec-2021 10:30 AM,27-Nov-2021 10:00 AM,06-Dec-2021 05:00 PM,NA ,NA ,27-Nov-2021 10:00 AM,06-Dec-2021 05:00 PM,23-Dec-2021 11:00 AM,AOC,1.0,247944.0,Arun Kumar,06-Dec-2021 04:59 PM,Rejected-AOC,REJECTED,18-Feb-2022 02:15 PM,Technical,SR. NO. 3 IS NOT MEET WITH TECHNICAL SPECIFICATION,Baldev Singh,18-Dec-2021 01:48 PM,technical_80959.pdf,1.0,248010.0,PANKAJ MAHAJAN,INR,"8,914,116.25",Finance,all are admitted,Baldev Singh,18-Feb-2022 02:06 PM,finance_80959.pdf,BOQ Comparative Chart,SUPERINTENDING ENGINEER,Internal,EE(I) EE(D) DAO,Baldev Singh,18-Dec-2021 01:49 PM,23-Dec-2021 11:00 AM,techsummary_80959.pdf (1156.78 KB),PWD,2021_PWD_54043_2,SEIX/WS/ETender/5424-28,Construction of Link road from Mangwal to Souhra Jattan from km - 0/000 to km - 1/460,18-Feb-2022,"INR 9,806,936",365.0,Baldev Singh,18-Feb-2022 02:14 PM,AOC.pdf (326.00 KB),Awarded Amount Part I and Part II,SE,Internal,AE EE DAO SUPDT HDM(D),Baldev Singh,18-Feb-2022 02:09 PM,finsummary_80959.pdf (193.55 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form as per Section-1 Point No. 3 through online mode i.e. online payment receipt,,,,,,,,,,,,,,,,,,AOC,2.0,247874.0,DIGVIJAY PATHANIA,05-Dec-2021 04:57 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,18-Dec-2021 01:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security as per Section-2 Cl-16.2 through online mode i.e. online payment receipt,,,,,,,,,,,,,,,,,,AOC,3.0,248010.0,PANKAJ MAHAJAN,06-Dec-2021 01:40 PM,Accepted-AOC,AWARDED,18-Feb-2022 02:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration as per Q.I-Section 3(1.1),,,,,,,,,,,,,,,,,,AOC,4.0,245723.0,RAVI SHARMA,06-Dec-2021 02:50 PM,Rejected-AOC,REJECTED,18-Feb-2022 02:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.3.1), (1.3.2) (1.3.3)",,,,,,,,,,,,,,,,,,AOC,5.0,247709.0,Sandan Sharma Govt. Contractor,05-Dec-2021 04:04 PM,Rejected-AOC,REJECTED,18-Feb-2022 02:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.4), (1.5)",,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.2), (1.7)",,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.6), (1.8), (1.9), (1.10)",,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section-2 Cl(4.2 g) and Cl 4.3,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section-2 Cl (4.4A (b),,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
