Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Construction of link road from Dighali to Ram Nagar km. 0/0 to 3/500(Sh-C/o 2.0x2.0 mtr RCC Box cell type culvert at RD 0/580),Construction of link road from Dighali to Ram Nagar km. 0/0 to 3/500(Sh-C/o 2.0x2.0 mtr RCC Box cell type culvert at RD 0/580),Please refer to tender document ,NA ,,Civil Works - Roads,NA ,Rate Contract,120.0,90.0,Shillai,173027.0,NA ,NA ,NA ,Shillai,No ,No,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,1.0,ICICI BANK,EE Shillai,Executive Engineer HPPWD Division Shillai,350.0,Nil,Nil,No,"11,050",No,fixed,,Nil,Nil,13-Feb-2021 04:00 PM,24-Feb-2021 12:30 PM,13-Feb-2021 04:00 PM,23-Feb-2021 05:00 PM,NA ,NA ,13-Feb-2021 04:00 PM,23-Feb-2021 05:00 PM,26-Feb-2021 05:30 PM,PWD,PW/SD/CB/TA-15159-15258 DT-2-2-2021,2021_PWD_44353_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,EE Shillai,Internal,"AE Shillai, Supdt. HDM",Pramod Upreti,26-Feb-2021 05:14 PM,26-Feb-2021 05:30 PM,techsummary_66483.pdf (861.71 KB),PWD,2021_PWD_44353_3,PW/SD/CB/TA-15159-15258 DT-2-2-2021,Construction of link road from Dighali to Ram Nagar km. 0/0 to 3/500(Sh-C/o 2.0x2.0 mtr RCC Box cell type culvert at RD 0/580),22-Feb-2022,"INR 602,729",90.0,Pramod Upreti,22-Feb-2022 12:01 PM,A167.pdf (776.00 KB),Construction of link road from Dighali to Ram Nagar km. 0/0 to 3/500(Sh-C/o 2.0x2.0 mtr RCC Box cell type culvert at RD 0/580),EE Shillai,Internal,"AE Shillai, HDM Supdt.",Pramod Upreti,10-May-2021 01:28 PM,finsummary_66483.pdf (230.60 KB),1.0,199774.0,DK ENTERPRISE,22-Feb-2021 02:29 PM,Rejected-Finance,Not Lowest,10-May-2021 01:28 PM,Technical,technical summary,Pramod Upreti,26-Feb-2021 05:01 PM,technical_66483.pdf,1.0,200045.0,MITHLESH CHAUHAN,INR,"602,729",Finance,financial summary,Pramod Upreti,10-May-2021 01:24 PM,finance_66483.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,200045.0,MITHLESH CHAUHAN,23-Feb-2021 04:59 PM,Accepted-AOC,work comp.AOC,22-Feb-2022 12:01 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,199829.0,RUPESH KUMAR,22-Feb-2021 04:43 PM,Rejected-Finance,Not Lowest,10-May-2021 01:28 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Sale tax registration refers general rule sr. No 21 and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
