Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,20-Dec-2021 11:13 AM,finsummary_80970.pdf (32.83 KB),HP SIDC Limited,2021_SIDC_54053_1,Job No. 3,"Construction of stadium at Kamlah, Distt. Mandi (HP). (SH- C/o R/wall, earth filling and seating steps and MS metal railing).",01-Feb-2022,"INR 3,515,980",120.0,Sushant Singh Negi,21-Feb-2022 12:34 PM,kamlah.pdf (1183.00 KB),Award letter,1.0,247588.0,ranjeet singh,INR,"3,515,980",Technical,Technical summary,Sushant Singh Negi,15-Dec-2021 03:23 PM,technical_80970.pdf,SE,Internal,"DM, Manager(F), AE(HQ, EE(HQ)",Sushant Singh Negi,15-Dec-2021 03:26 PM,16-Dec-2021 11:00 AM,techsummary_80970.pdf (462.46 KB),1.0,248411.0,Anil Kumar,08-Dec-2021 03:47 PM,Rejected-Finance,Fourth lowest bidder,20-Dec-2021 11:13 AM,Finance,Financial summary,Sushant Singh Negi,20-Dec-2021 11:10 AM,finance_80970.pdf,BOQ Comparative Chart,AOC,01-Dec-2021 11:00 AM,09-Dec-2021 11:00 AM,01-Dec-2021 11:00 AM,08-Dec-2021 05:00 PM,NA ,NA ,01-Dec-2021 11:00 AM,08-Dec-2021 05:00 PM,16-Dec-2021 11:00 AM,"4,000",Nil,Nil,No,1.0,ICICI BANK,"60,000",No,fixed,,Nil,Nil,"Construction of stadium at Kamlah, Distt. Mandi (HP). (SH- C/o R/wall, earth filling and seating steps and MS metal railing).","(SH- C/o R/wall, earth filling and seating steps and MS metal railing).",Please refer Tender documents. ,NA ,"34,68,601",Civil Works,NA ,Tender,120.0,120.0,Kamlah (Mandi),175050.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),Executive Engineer,HPSIDC Ltd. Shimla,HP SIDC Limited,Job No. 3,2021_SIDC_54053_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,248175.0,KHUB RAM,07-Dec-2021 01:35 PM,Rejected-Finance,Second lowest bidder,20-Dec-2021 11:13 AM,,,,,,,AOC,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,248354.0,KSHITIZ GULERIA,08-Dec-2021 04:12 PM,Rejected-Technical,The successfully completed similar type of work done in last five years has not submitted as per tender condition.,15-Dec-2021 03:26 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,248081.0,Prem Chand,08-Dec-2021 04:23 PM,Rejected-Finance,Third lowest bidder,20-Dec-2021 11:13 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that you have not more than 2 works in hand each of Rs.100 lakh or above in any department,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,247588.0,ranjeet singh,07-Dec-2021 03:18 PM,Accepted-AOC,AOC,21-Feb-2022 12:34 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,248187.0,Roop Lal,08-Dec-2021 12:31 PM,Rejected-Finance,Fifth lowest bidder,20-Dec-2021 11:13 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,248153.0,Sanaash,08-Dec-2021 02:15 PM,Rejected-Technical,The successfully completed similar type of work done in last five years has not submitted as per tender condition.,15-Dec-2021 03:26 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,AOC
