Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
HP SIDC Limited,2022_SIDC_55361_1,Job No. 6,"Construction of road, road side drains and green development at Ind. Area Kandrori Distt. Kangra (HP). (SH- Annual surfacing (Strengthening of road).",SE,Internal,"DM, Manager (F), AE(HQ), EE(HQ)",Sushant Singh Negi,03-Feb-2022 04:35 PM,finsummary_83013.pdf (34.15 KB),1.0,255021.0,M V D Cementation and Construction Pvt. Ltd.,INR,"18,436,246",22-Feb-2022,"INR 18,436,246",60.0,Sushant Singh Negi,26-Feb-2022 02:42 PM,mvdconst.pdf (1420.00 KB),Award letter,1.0,255199.0,M/s R.K Mahajan Govt Contractor,12-Jan-2022 01:22 PM,Rejected-Finance,Fourth lowest bidder,03-Feb-2022 04:35 PM,SE,Internal,"DM, Manager(F), AE(HQ)",Sushant Singh Negi,31-Jan-2022 02:08 PM,31-Jan-2022 03:00 PM,techsummary_83013.pdf (232.82 KB),Technical,Technical summary,Sushant Singh Negi,31-Jan-2022 02:08 PM,technical_83013.pdf,Finance,Financial summary,Sushant Singh Negi,03-Feb-2022 04:32 PM,finance_83013.pdf,BOQ Comparative Chart,AOC,1.0,ICICI BANK,05-Jan-2022 11:00 AM,13-Jan-2022 11:00 AM,05-Jan-2022 11:00 AM,12-Jan-2022 05:00 PM,NA ,NA ,05-Jan-2022 11:00 AM,12-Jan-2022 05:00 PM,31-Jan-2022 03:00 PM,"2,02,200",No,fixed,,Nil,Nil,"5,900",Nil,Nil,No,"Construction of road, road side drains and green development at Ind. Area Kandrori Distt. Kangra (HP). (SH- Annual surfacing (Strengthening of road).",(SH- Annual surfacing (Strengthening of road).,Please refer Tender documents. ,NA ,"1,69,73,212",Civil Works - Roads,NA ,Tender,120.0,60.0,Kandrori Kangra,176402.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,HP SIDC Limited,Job No. 6,2022_SIDC_55361_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),Executive Engineer,HPSIDC Shimla,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,255021.0,M V D Cementation and Construction Pvt. Ltd.,12-Jan-2022 01:00 PM,Accepted-AOC,AOC,26-Feb-2022 02:42 PM,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,255044.0,rajat thakur govt contractor,12-Jan-2022 02:15 PM,Rejected-Finance,Second lowest bidder,03-Feb-2022 04:35 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4.0,255191.0,V S SAINI,12-Jan-2022 01:40 PM,Rejected-Finance,Third lowest bidder,03-Feb-2022 04:35 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of existing commitments / ongoing work in hand,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Details of machineries equipments/ skilled engineers/ technical staff,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor working program,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Turnover (last five years with breakup),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC
