Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Executive Engineer,HPPWD Division Bhawarna,"2,000",EE Bhawarna,Bhawarna,No,"84,900",No,fixed,,EE Bhawarna,Bhawarna,1.0,DD - Demand Draft,PWD,PWD Division Bhawarna,2019_PWD_31154_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document in shape of D.D. as per SBD.,"Construction of Additional accommodation of Govt. School at Nanoun in Tehsil Palampur, Distt. Kangra (H.P.)",Construction of building portion including water harvesting system,Please refer Tender documents. ,NA ,"52,38,863",Civil Works - Buildings,NA ,Tender,120.0,365.0,Bhawarna,176061.0,NA ,NA ,NA ,Bhawarna,No ,No,29-Aug-2019 11:30 AM,12-Sep-2019 11:00 AM,29-Aug-2019 11:35 AM,12-Sep-2019 10:30 AM,NA ,NA ,29-Aug-2019 11:40 AM,12-Sep-2019 10:30 AM,25-Sep-2019 03:25 PM,AOC,EE Manish Sehgal,Internal,"Er Vijay Verma AE Bhawarna, Sh. Rajesh Sood Sr DAO, Sh Harjeet Singh Supdt, Sh Pawan Kumar HDM",Manish Sehgal,25-Sep-2019 03:20 PM,25-Sep-2019 03:25 PM,techsummary_44837.pdf (1234.51 KB),PWD,2019_PWD_31154_1,PWD Division Bhawarna,"Construction of Additional accommodation of Govt. School at Nanoun in Tehsil Palampur, Distt. Kangra (H.P.)",01-Feb-2021,"INR 6,084,144.35",365.0,Manish Sehgal,04-Feb-2022 02:43 PM,AOC.pdf (1601.00 KB),AOC,EE Manish Sehgal,Internal,"Er Vijay Verma AE Bhawarna, Sh. Rajesh Sood Sr DAO, Sh Harjeet Singh Supdt, Sh Pawan Kumar HDM",Manish Sehgal,09-Oct-2019 01:25 PM,finsummary_44837.pdf (617.69 KB),1.0,130616.0,Suraj Parkash Aggarwal,INR,"5,946,851",Finance,Summary,Manish Sehgal,09-Oct-2019 01:20 PM,finance_44837.pdf,BOQ Comparative Chart,1.0,130346.0,RAKESH KUMAR GOVT. CONT.,11-Sep-2019 11:47 AM,Rejected-AOC,Bid Rank-2,04-Feb-2022 02:43 PM,Technical,Summary,Manish Sehgal,25-Sep-2019 03:18 PM,technical_44837.pdf,AOC
,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,.pdf,Earnest money/Bid Security in shape of F.D.R. as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,130616.0,Suraj Parkash Aggarwal,12-Sep-2019 07:33 AM,Accepted-AOC,Bid Rank-1,04-Feb-2022 02:43 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Balance Sheet for the last five years duly approved by C.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
