Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"5,000",Nil,Nil,No,PWD,SE Dalhousie Letter No. 8351-71 dated 08-11-2021,2021_PWD_53710_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,"19,80,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,Construction of Khani Garima to Raitan road Km. 0/0 to 8/350 under NABARD (RIDF-XXVII),"Formation cutting, passing place, retaining walls, cross drainage work, tarring work, side drain, parapets and road furniture etc. Including routing maintenance for five year",Please refer Tender documents. ,NA ,"9,89,07,240",Civil Works,NA ,Tender,75.0,730.0,Bharmour,176315.0,NA ,NA ,NA ,Superintending Engineer 7th Circle HPPWD Dalhousie,No ,No,18-Nov-2021 10:00 AM,02-Dec-2021 11:30 AM,18-Nov-2021 10:00 AM,02-Dec-2021 11:00 AM,NA ,NA ,18-Nov-2021 10:00 AM,02-Dec-2021 11:00 AM,15-Dec-2021 11:30 AM,Superintending Engineer,Superintending Engineer 7th Circle HPPWD Dalhousie,1.0,Fee/PreQual/Technical,.pdf,Bid for Part-I of the Bid as per Section-6,AOC,1.0,246246.0,MCC POWER PROJECTS PVT. LTD.,INR,"78,707,310",Finance,Finance Bid Opening Summary,Deepak Mahajan,15-Dec-2021 03:15 PM,finance_80429.pdf,BOQ Comparative Chart,1.0,246031.0,Dinesh Kumar Sharma Const. (P) Ltd,01-Dec-2021 01:21 PM,Rejected-Finance,3rd Lowest,28-Jan-2022 05:15 PM,Technical,Bid Opening Summary,Deepak Mahajan,02-Dec-2021 01:44 PM,technical_80429.pdf,PWD,2021_PWD_53710_1,SE Dalhousie Letter No. 8351-71 dated 08-11-2021,Construction of Khani Garima to Raitan road Km. 0/0 to 8/350 under NABARD (RIDF-XXVII),Superintending Engineer,Internal,Dealing Assistant (C and C) Superintendent (W) Engineer Officer Executive Engineer Bharmour Executive Engineer,Deepak Mahajan,10-Dec-2021 12:29 PM,15-Dec-2021 11:30 AM,techsummary_80429.pdf (1278.03 KB),Superintending Engineer,Internal,Dealing Assistant C and C Superintendent Works Engineer Officer Executive Engineer D,Deepak Mahajan,28-Jan-2022 05:15 PM,finsummary_80429.pdf (83.16 KB),18-Feb-2022,"INR 78,707,310",730.0,Deepak Mahajan,24-Feb-2022 05:30 PM,AL.pdf (84.00 KB),Award letter,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form as per Section-1 Point No. 3 through online mode i.e. online payment receipt,AOC,,,,,,,,,,,,2.0,246246.0,MCC POWER PROJECTS PVT. LTD.,02-Dec-2021 09:30 AM,Accepted-AOC,Work awarded,24-Feb-2022 05:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security as per Section-2 Cl-16.2 through online mode i.e. online payment receipt,AOC,,,,,,,,,,,,3.0,244613.0,M/s National Construction co.,30-Nov-2021 07:18 PM,Rejected-Finance,2nd Lowest,28-Jan-2022 05:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration as per Q.I-Section 3(1.1),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.3.1), (1.3.2) (1.3.3)",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.4), (1.5)",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.2), (1.7)",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.6), (1.8), (1.9), (1.10)",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section-2 Cl(4.2 g) and Cl 4.3,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section-2 Cl (4.4A (b),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
