Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
23-Feb-2022,"INR 102,501,076",540.0,Tarsem Singh,23-Feb-2022 11:11 AM,2323.pdf (1069.00 KB),Contract is awarded to lowest rate contractor Sh.Ajay Sauhta L1.,Executive Engineer,Internal,tender Assistant HDM supdt Supdt PMGSY,Tarsem Singh,26-Aug-2021 01:16 PM,finsummary_75075.pdf (405.77 KB),Executive Engineer,Internal,HDM Supdt supdt PMGSY Tender Assist,Tarsem Singh,24-Aug-2021 03:19 PM,24-Aug-2021 03:30 PM,techsummary_75075.pdf (526.82 KB),PWD,2021_PWD_50205_1,PW-JD/E-Tender/2021-22-2964 -66 DT.13.7.2021,"Construction and M/T of Mehana Khad to Badhal Lehroti,Banana Katarla via Shoba road Km 0/0 to 12/330",Finance,Sh Ajay Sahuta is L-1,Tarsem Singh,26-Aug-2021 01:11 PM,finance_75075.pdf,BOQ Comparative Chart,1.0,227305.0,AJAY SAUHTA,INR,"102,501,076",Technical,"tender opened by committee headed by Xen,HDM Supdt,Supdt PMGSY and Tender Assist",Tarsem Singh,24-Aug-2021 03:14 PM,technical_75075.pdf,1.0,227305.0,AJAY SAUHTA,03-Aug-2021 04:33 PM,Accepted-AOC,L1,23-Feb-2022 11:11 AM,AOC,"20,49,000",No,fixed,,Nil,Nil,22-Jul-2021 04:00 PM,05-Aug-2021 11:00 AM,22-Jul-2021 04:00 PM,04-Aug-2021 06:00 PM,NA ,NA ,22-Jul-2021 04:00 PM,04-Aug-2021 06:00 PM,24-Aug-2021 03:30 PM,1.0,Fee/PreQual/Technical,.pdf,registrartion 4.1.1,PWD,PW-JD/E-Tender/2021-22-2964 -66 DT.13.7.2021,2021_PWD_50205_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,HPPWD Jubbal,"5,000",Nil,Nil,Yes,"Construction and M/T of Mehana Khad to Badhal Lehroti,Banana Katarla via Shoba road Km 0/0 to 12/330",Please refer Tender Document,Please refer Tender documents. ,NA ,"10,24,73,929",Civil Works - Roads,NA ,Tender,75.0,540.0,Jubbal,171205.0,NA ,NA ,NA ,Jubbal,No ,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,227413.0,Parkash Chand,04-Aug-2021 11:47 AM,Rejected-AOC,L2,23-Feb-2022 11:11 AM,AOC,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender and earnest money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,"Original docs defining constitution or legal status,place of regis business place,power of attorney",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Total monetary value of civil construction works performed for each of the last five years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,"Work Exp.of sim. nature- size last 5 yrs,detail.of work in progress,contract committed by EE or equi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Evidence of ownership or arrangement of major items of const. equipment named in Clause 4.4B (b) (i),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Details of the technical personnel proposed with desired qualification Clause 4.4B(b) (ii) of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,"Reports on financial standing of the Bidder,profit and loss statements and auditor report last 5yr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
