Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
09-Feb-2022,"INR 520,646",60.0,Rajesh Thakur,09-Feb-2022 12:00 PM,2021_MC_53324_10.pdf (503.00 KB),AOC,EE,Internal,AGM SJPNL AO,Rajesh Thakur,09-Feb-2022 11:58 AM,finsummary_79756.pdf (294.95 KB),EE,Internal,AGM SJPNL AO,Gopesh Behl,23-Nov-2021 11:01 AM,23-Nov-2021 11:05 AM,techsummary_79756.pdf (1877.49 KB),Municipal Corporation Shimla,2021_MC_53324_10,3061Dated25102021,Restoration of rain damages near High Court Building in ward No 14 Ram Bazar (SH Construction of Retaining wall),Finance,BOS,Rajesh Thakur,23-Nov-2021 11:29 AM,finance_79756.pdf,BOQ Comparative Chart,1.0,242632.0,SHUBHAM CHAUHAN,INR,"520,646",Technical,BOS,Gopesh Behl,23-Nov-2021 10:20 AM,technical_79756.pdf,1,242451,DALIP SINGH,14-Nov-2021 02:14 PM,Rejected-Finance,Rejected,09-Feb-2022 11:58 AM,AOC,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of form in shape of DD and Earnest money in shape of FDR as per E procurement notice,Municipal Corporation Shimla,3061Dated25102021,2021_MC_53324_10,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,Executive Engineer R B M C Shimla,Shimla,No,Restoration of rain damages near High Court Building in ward No 14 Ram Bazar (SH Construction of Retaining wall),Restoration of rain damages near High Court Building in ward No 14 Ram Bazar (SH Construction of Retaining wall),Please refer Tender Documents ,NA ,"8,29,601",Civil Works,NA ,Tender,120.0,60.0,Shimla,171001.0,NA ,NA ,NA ,MC Shimla,No ,No,09-Nov-2021 04:00 PM,16-Nov-2021 02:00 PM,09-Nov-2021 04:00 PM,15-Nov-2021 05:00 PM,NA ,NA ,09-Nov-2021 04:00 PM,15-Nov-2021 05:00 PM,23-Nov-2021 11:05 AM,Executive Engineer R B M C Shimla,Executive Engineer R B M C Shimla,"16,600",No,fixed,,Executive Engineer R B M C Shimla,Shimla,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,242672,Kaku Ram,15-Nov-2021 03:28 PM,Rejected-Finance,Rejected,09-Feb-2022 11:58 AM,AOC,2.0,FDR - Fixed Deposit,,,.pdf,Certificate of registration with HPPWD in appropriate class and latest renewal thereof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,242653,Kapil Chand,15-Nov-2021 02:55 PM,Rejected-Finance,Rejected,09-Feb-2022 11:58 AM,AOC,,,,,.pdf,"Income Tax, GST and EPF registration PAN Permanent Account No and GST No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,242075,Lokesh Bali,10-Nov-2021 06:52 AM,Rejected-Finance,Rejected,09-Feb-2022 11:58 AM,AOC,,,,,.pdf,Scanned copy of Tender Document i.e. NIT (E-procurement notice) and Form MW-7 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,242668,PARDEEP KUMAR,15-Nov-2021 03:34 PM,Rejected-Finance,Rejected,09-Feb-2022 11:58 AM,AOC,,,,,.pdf,Fill the Performa as per E-procurement Notice (It is Mandatory),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,242460,Rohan Sharma,14-Nov-2021 02:47 PM,Rejected-Finance,Rejected,09-Feb-2022 11:58 AM,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,242070,Sandeep,10-Nov-2021 05:51 AM,Rejected-Finance,Rejected,09-Feb-2022 11:58 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,242393,SANJEEV KUMAR,13-Nov-2021 04:32 PM,Rejected-Finance,Rejected,09-Feb-2022 11:58 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,242445,Saurav Shridhar,14-Nov-2021 01:14 PM,Rejected-Finance,Rejected,09-Feb-2022 11:58 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,242291,Shree Khand Mahadev Enterprises,12-Nov-2021 05:19 PM,Rejected-Finance,Rejected,09-Feb-2022 11:58 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
