S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,216977.0,Frick India Limited,15-Jun-2021 01:28 AM,Accepted-AOC,L1 bidder,17-Feb-2022 04:54 PM,Technical,Technical Evaluation,BRIJ MOHAN SAINI,13-Jul-2021 02:40 PM,technical_69696.pdf,Additional Genaeral Manager,Internal,Committee Members,BRIJ MOHAN SAINI,13-Jul-2021 02:53 PM,17-Jul-2021 03:00 PM,techsummary_69696.pdf (230.86 KB),Finance,Financial_Evaluation_Reckongpeo,Ishan Agrawal,28-Jul-2021 01:07 PM,finance_69696.pdf,BOQ Comparative Chart,HP Horticultural Produce Marketing and Processing Corporation Ltd.,2021_HPMC_46346_1,HPHDP PIU HPMC RECKONG PEO 7,HPHDP PIU HPMC RECKONG PEO 7,B.M. Saini AGM,Internal,Copy_Attached,BRIJ MOHAN SAINI,28-Sep-2021 03:47 PM,finsummary_69696.pdf (693.02 KB),1.0,216977.0,Frick India Limited,INR,"68,549,670.76",15-Nov-2021,"INR 68,549,670.76",547.0,BRIJ MOHAN SAINI,17-Feb-2022 04:54 PM,ReckongpeoLOA.pdf (466.00 KB),Contract Awarded,AOC,1.0,Fee/PreQual/Technical,.pdf,Technical Folder 1(EMD Tender fee POA and coorectness,MANAGING DIRECTOR HPMC,HPMC HO NIGAM VIHAR 3RD FLOOR SHIMLA,HP Horticultural Produce Marketing and Processing Corporation Ltd.,HPHDP PIU HPMC RECKONG PEO 7,2021_HPMC_46346_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,BG - Bank Guarantee,"5,900",Payable To PROJECT DIRECTOR HPHDP SHIMLA,Payable At Payable To PROJECT DIRECTOR HDP SHIMLA,No,08-Apr-2021 04:00 PM,15-Jun-2021 02:30 PM,08-Apr-2021 04:30 PM,15-Jun-2021 02:00 PM,08-Apr-2021 04:30 PM ,19-Apr-2021 02:00 PM ,29-Apr-2021 09:00 AM,15-Jun-2021 02:00 PM,17-Jul-2021 03:00 PM,1.0,Corrigendum,Date,,"10,30,000",No,fixed,,Payable To Payable To PROJECT DIRECTOR HDP SHIMLA,Payable At Payable To PROJECT DIRECTOR HDP SHIMLA,HPHDP PIU HPMC RECKONG PEO 7,"Design, Supply Installation testing Commissioning of Equipment Including civil works for new 250 MT CA Store under Greenfield at Reckong Peo Distt Kinnaur (H.P.)",EMD TENDER FEE POA AND CORRECTNESS ,NA ,"5,13,85,000",Civil Works - Others,NA ,Tender,120.0,547.0,RECKONGPEO DISTT. KINNAUR HP,172111.0,HPMC HEAD OFFICE SHIMLA ,HPMC HO NIGAM VIHAR 3RD FLOOR SHIMLA ,22-Apr-2021 02:00 PM ,HPMC HEAD OFFICE SHIMLA,No ,No,AOC
2.0,216635.0,INFRA COOL PRIVATE LIMITED,15-Jun-2021 12:45 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,13-Jul-2021 02:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Technical folder 2,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,2.0,Financial_Bid_date_extension,Financial Bid Opening Date Corrigendum,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Technical Folder 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,General Corrigendum,Other,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Technical Folder 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Technical Folder 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Technical Folder 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Technical Any other Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.pdf,Financial Folder 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.xls,Financial Folder 2 BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Financial Folder 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
