S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,260909.0,Ashwani Kumar,INR,"64,895",Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Una - UDDHP,2022_UDDHP_56009_1,MCU/Santation Tender/2022-2,Snitation Work MC Una,President Puspa D,Internal,EO ME JE SI,Ashwani Kumar,05-Feb-2022 03:07 PM,finsummary_84173.pdf (258.48 KB),10-Feb-2022,"INR 85,908",365.0,Rajinder Kumar,09-Feb-2022 11:33 AM,AOCS7.pdf (509.00 KB),The rates are approved for AOC after financial evaluation.,Technical,TOC has considered 10 nos bids where one no has rejected due to non submission of physical documents,Rajinder Kumar,03-Feb-2022 05:50 PM,technical_84173.pdf,Finance,Financial bid has opened by the TOC to evaluate the rates,Ashwani Kumar,05-Feb-2022 02:46 PM,finance_84173.pdf,BOQ Comparative Chart,1,260887,AMANDEEP SINGH GOVT CONT,03-Feb-2022 10:01 AM,Rejected-Finance,Due to higher side,05-Feb-2022 03:07 PM,Presdent smt Puspa,Internal,EO ME JE SI,Rajinder Kumar,03-Feb-2022 05:56 PM,03-Feb-2022 06:45 PM,techsummary_84173.pdf (258.33 KB),AOC,26-Jan-2022 02:00 PM,03-Feb-2022 04:00 PM,26-Jan-2022 02:00 PM,03-Feb-2022 03:20 PM,NA ,NA ,26-Jan-2022 02:00 PM,03-Feb-2022 03:20 PM,03-Feb-2022 06:45 PM,1.0,Fee/PreQual/Technical,.pdf,Registration proof or supporting document,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Una - UDDHP,MCU/Santation Tender/2022-2,2022_UDDHP_56009_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,Snitation Work MC Una,Sanitation work of W.No07,Please refer Tender documents. ,NA ,"85,908",Solid Waste Management,NA ,Rate Contract,30.0,365.0,Municipal Area Una,174303.0,NA ,NA ,NA ,Municipal Office Una,No ,No,Executive Officer MC Una,Office of Municipal Council Una Distt Una HP,"4,300",No,fixed,,EO MC Una HP,Una,500.0,EO MC Una HP,Una,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,260909,Ashwani Kumar,02-Feb-2022 06:39 PM,Accepted-AOC,Rates are approved for AOC as per satisfaction of TOC and u/t submitted by bidder.,09-Feb-2022 11:33 AM,,,,,,,,AOC,,,,,,,,,,,,.pdf,GST No Pan No,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,260890,Dadri Enterprises,02-Feb-2022 07:21 PM,Rejected-Finance,Due to higher side,05-Feb-2022 03:07 PM,,,,,,,,AOC,,,,,,,,,,,,.pdf,Cost of Tender in shape of Demand draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,260992,DEEPAK GOODS AND SERVICES,03-Feb-2022 11:25 AM,Rejected-Finance,Due to higher side,05-Feb-2022 03:07 PM,,,,,,,,AOC,,,,,,,,,,,,.pdf,EMD in shape of FDR duly pledged with the EO MC Una,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,260742,EAGLE SCOUT SECURITY SERVICES,02-Feb-2022 02:39 PM,Rejected-Finance,Due to higher side,05-Feb-2022 03:07 PM,,,,,,,,AOC,,,,,,,,,,,,.pdf,EPF No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,261041,H ADIWAL AND SONS,03-Feb-2022 01:56 PM,Rejected-Finance,Due to higher side,05-Feb-2022 03:07 PM,,,,,,,,AOC,,,,,,,,,,,,.pdf,Affidavit to produce labour licence from L dep after award with in month and abide by all terms cond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,260989,M/S J K ENTERPRISES,03-Feb-2022 03:03 PM,Rejected-Finance,Due to higher side,05-Feb-2022 03:07 PM,,,,,,,,AOC,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,259841,ROOP LAL,31-Jan-2022 01:46 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-Feb-2022 05:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,260263,ROOP LAL LSM,03-Feb-2022 02:43 PM,Rejected-Finance,Due to higher side,05-Feb-2022 03:07 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,259860,SHUBHAM KUMAR,01-Feb-2022 11:11 AM,Rejected-Finance,Due to higher side,05-Feb-2022 03:07 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
