Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
03-Jan-2022,"INR 1,367,621",90.0,Vijay Kumar Chauhan,10-Feb-2022 09:54 AM,Summary.pdf (845.00 KB),Award letter,"Er. Vijay Kumar Chauhanm, Xen.",Internal,"L.R. Shandil, Head D/man , Jia Lal, Draughtsman",Vijay Kumar Chauhan,31-Dec-2021 04:25 PM,finsummary_80040.pdf (381.84 KB),"Er. Vijay Kumar Chauhanm, Xen.",Internal,"Deepak Sharma, Sr. DAO, L.R. Shandil, HDM, Kewal Ram, Supdt. Gr-II, Leela verma, Sr. Asstt.",Vijay Kumar Chauhan,01-Dec-2021 03:26 PM,02-Dec-2021 11:00 AM,techsummary_80040.pdf (455.97 KB),PWD,2021_PWD_53482_1,THD/CB-tender/2021-8273-84,Construction of Chailla Mohari Narkanda road km 0.00 to 18.00,Finance,Financial Bid Opening summary,Vijay Kumar Chauhan,07-Dec-2021 09:53 AM,finance_80040.pdf,BOQ Comparative Chart,1.0,243146.0,SANJEEV KUMAR,INR,"1,230,914",Technical,Bid Opening summary,Vijay Kumar Chauhan,25-Nov-2021 11:47 AM,technical_80040.pdf,1.0,243530.0,BALKRISHAN VERMA,20-Nov-2021 03:58 PM,Rejected-Finance,Being higher rates,31-Dec-2021 04:25 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt/UTR No. of EMD and cost of tender form,Executive Engineer,"Theog Division, H.P.P.W.D., Theog","28,000",No,fixed,,Nil,Nil,PWD,THD/CB-tender/2021-8273-84,2021_PWD_53482_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,12-Nov-2021 05:00 PM,22-Nov-2021 11:00 AM,12-Nov-2021 05:00 PM,20-Nov-2021 05:00 PM,NA ,NA ,12-Nov-2021 05:00 PM,20-Nov-2021 05:00 PM,02-Dec-2021 11:00 AM,Construction of Chailla Mohari Narkanda road km 0.00 to 18.00,Construction of 6.00 mtr span RCC slab culvert including both side wing walls at RD 12.105,As per GCC ,NA ,"13,67,682",Civil Works - Roads,NA ,Tender,90.0,90.0,Theog Tehsil Theog Distt. Shimla HP,171201.0,NA ,NA ,NA ,Theog Division,No ,No,1.0,ICICI BANK,1.0,Corrigendum,Other,,500.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,243146.0,SANJEEV KUMAR,18-Nov-2021 02:10 PM,Accepted-AOC,Awarded being L1,10-Feb-2022 09:54 AM,AOC,,,.pdf,Contractor Registration Ref. general rule and direction 24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,243550.0,Suksham,20-Nov-2021 04:22 PM,Rejected-Technical,Technically non responsive,01-Dec-2021 03:26 PM,AOC,,,.pdf,GST Registration Ref. general rule and direction 24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work in Hand Certificate countersigned by EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Pan Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"List of Machinery, Tools and plants 24.6 G.R and direction as per Schedule- F ref. clause-18 of GCC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No-7/8 in G.C.C. duly signed by the bidder and witnesses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractor shall give affidavit regarding list of both Gazette and non-gazette HPPWD Employees relat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding correctness of documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
