Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
Technical,Summary,R.K Dhiman,30-Sep-2021 02:57 PM,technical_78383.pdf,1.0,237771.0,G.P.ACHARYA,25-Sep-2021 12:58 PM,Accepted-AOC,Accepted due to lowest rates bidder L1,05-Feb-2022 01:15 PM,1.0,237771.0,G.P.ACHARYA,INR,"3,777,680.7",Finance,Summary,R.K Dhiman,01-Oct-2021 04:42 PM,finance_78383.pdf,BOQ Comparative Chart,05-Feb-2022,"INR 2,601,422",60.0,R.K Dhiman,05-Feb-2022 01:15 PM,Award.pdf (584.00 KB),Award,Executive Engineer,Internal,"Executive Engineer, Supdt G-II, HDM, DA",R.K Dhiman,01-Oct-2021 04:45 PM,finsummary_78383.pdf (220.67 KB),Executive Engineer,Internal,"Executive Engineer, Supdt G-II, HDM, DA",R.K Dhiman,30-Sep-2021 02:59 PM,30-Sep-2021 04:00 PM,techsummary_78383.pdf (247.87 KB),PWD,2021_PWD_52453_1,Periodic Maintenance of KARORI KILLI DHUK ROAD,"Periodic Maintenance of KARORI KILLI DHUK ROAD ( LINK ROAD TO VILLAGE KAILASHPUR) No. HP0411VR005312303,04,05 Km 2/000 to 3/00, 3/00 to 4/000 ,4/000 to 5/000) and Periodic maintenance of link road to Village Ashapuri No. HP0407VR002412308 Km 7/00 to",AOC,18-Sep-2021 02:15 PM,27-Sep-2021 11:00 AM,18-Sep-2021 02:30 PM,25-Sep-2021 05:00 PM,NA ,NA ,18-Sep-2021 02:30 PM,25-Sep-2021 05:00 PM,30-Sep-2021 04:00 PM,"1,500",Nil,Nil,No,"Periodic Maintenance of KARORI KILLI DHUK ROAD ( LINK ROAD TO VILLAGE KAILASHPUR) No. HP0411VR005312303,04,05 Km 2/000 to 3/00, 3/00 to 4/000 ,4/000 to 5/000) and Periodic maintenance of link road to Village Ashapuri No. HP0407VR002412308 Km 7/00 to",Providing and laying 30 mm thick Bitumen concrete laying with paver finisher)(Approved financial Incentive 2021-22 PMGSY road),Please refer Tender documents. ,NA ,"26,01,422",Civil Works - Roads,NA ,Tender,75.0,60.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,Executive Engineer,"Executive Engineer, HP.PWD Division Jaisinghpur","52,100",No,fixed,,Nil,Nil,PWD,Periodic Maintenance of KARORI KILLI DHUK ROAD,2021_PWD_52453_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,The valid enlistment/registration of contractor in appropriate class,AOC
,,,,,2.0,237389.0,Kulvinder,25-Sep-2021 12:48 PM,Rejected-Finance,Rejected due to higher rates bidder L2,01-Oct-2021 04:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,GST/PAN/ EPF,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done detail/work in hand in last five year with base year indicated in performa of Schedule F i,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and one work not less than 40 percent of estimated cost in similar nature,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery along with photo copy of RC and staff,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HPPWD department attested by notary / 1st class maji,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand attested by notary / 1st class maji,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid (Name of work) is correct in all respect. attested,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 duly signed on judicial paper.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender form (Indicated in schedule F),AOC
