Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
Er. Dalip Singh Patial Executive Engineer,Internal,Sh. Naresh Singh Supdt. Sh. Atul Nag JDM Sh. Atul Nag JDM,Dalip singh Patial,05-Feb-2022 08:27 PM,finsummary_80151.pdf (172.90 KB),23-Feb-2022,"INR 4,988,790",180.0,Dalip singh Patial,23-Feb-2022 04:58 PM,award.pdf (754.00 KB),work awarded after negotiation in the o/o superintending engineer 2nd electrical circle hppwd dharamshala vide no. 9274-79 dated 23.02.2022,PWD,2021_PWD_53579_1,Elect. Division HPPWD Palampur,"C/O Centre of Excellence for Mental Health in Dr.RPGMC Kangra at Tanda, HP (SH- Providing Fire Fighting system therein)",Er. Dalip Singh Patial Executive Engineer,Internal,Sh. Naresh Kumar Supdt. Sh.Manoj Kumar Sr. Asstt. Sh. Atul Nag JDM and approved by S.E. 2nd Elect. Circle HPPWD Dharamshala,Dalip singh Patial,14-Dec-2021 02:32 PM,14-Dec-2021 03:30 PM,techsummary_80151.pdf (329.78 KB),Finance,as per uploaded document,Dalip singh Patial,05-Feb-2022 04:11 PM,finance_80151.pdf,BOQ Comparative Chart,1.0,243197.0,Sudha Kumari,INR,"6,485,696",Technical,as per uploaded documents,Dalip singh Patial,14-Dec-2021 02:28 PM,technical_80151.pdf,1.0,243315.0,PRAGATI ELECTRICAL AND ELECTRONIC CO,22-Nov-2021 10:04 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Dec-2021 02:28 PM,AOC,PWD,Elect. Division HPPWD Palampur,2021_PWD_53579_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"2,000",Nil,Nil,No,"82,400",No,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,receipt of online payment towards the cost of bid documents and Earnest Money Deposited (EMD),15-Nov-2021 05:00 PM,23-Nov-2021 11:30 AM,15-Nov-2021 05:00 PM,22-Nov-2021 05:00 PM,NA ,NA ,15-Nov-2021 05:00 PM,22-Nov-2021 05:00 PM,14-Dec-2021 03:30 PM,"C/O Centre of Excellence for Mental Health in Dr.RPGMC Kangra at Tanda, HP (SH- Providing Fire Fighting system therein)","C/O Centre of Excellence for Mental Health in Dr.RPGMC Kangra at Tanda, HP (SH- Providing Fire Fighting system therein)",Please refer Tender documents. ,NA ,"49,88,790",Electrical Works,NA ,Tender,120.0,180.0,Kangra at Tanda in Distt. Kangra,176061.0,NA ,NA ,NA ,Palampur,No ,No,Executive Engineer,Elect. Division HPPWD Palampur,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,243184.0,SHARMA ELECTRICAL CO.,21-Nov-2021 12:50 PM,Rejected-AOC,The bidder is L2,23-Feb-2022 04:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Certificate of OEM/Authorized by OEM for work specific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,243197.0,Sudha Kumari,21-Nov-2021 12:02 PM,Accepted-AOC,The Bidder is L1,23-Feb-2022 04:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Data sheet/Compliance statement with make/model as per BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar work done certificate (minimum one work done not less than 40 percent of the estimated cost),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual turnover of last three years (30 percent of the estimated cost),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form-8 of GCC printed on judicial papers duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
