Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Irrigation Department||Chief Engineer(Minor Irrigation)-Irrigation Dept,2021_ID_23693_1,"NIT NO. 12(RIDF-XXVI,NABARD) 2021-22 Date 08.12.20",Renovation and Extension of Noanadi Kachia Bund Flow IS scheme under RIDF-XXVI(NABARD) for the year 2020-21,08-Feb-2022,INR 1.91101E+7,180.0,KRISHNAV JYOTI SARMA,08-Feb-2022 02:57 PM,AOC.pdf (807.00 KB),AOC,Finance,Financial evaluation is in process,Manisha Barua,01-Feb-2022 12:27 PM,,BOQ Comparative Chart,1.0,129118.0,ASHOK KUMAR BAJAJ,INR,17199090.0,chief Engineer Irrigation Assam,Internal,,KRISHNAV JYOTI SARMA,01-Feb-2022 11:15 AM,01-Feb-2022 11:20 AM,techsummary_36334.pdf (270.16 KB),1,129239,ACHYUT KALITA,10-Jan-2022 03:11 PM,Rejected-Finance,Not Admitted,08-Feb-2022 02:55 PM,chief Engineer Irrigation,Internal,,KRISHNAV JYOTI SARMA,08-Feb-2022 02:55 PM,finsummary_36334.pdf (806.77 KB),Technical,Technical evaluation is in process,KRISHNAV JYOTI SARMA,12-Jan-2022 03:33 PM,,AOC,Renovation and Extension of Noanadi Kachia Bund Flow IS scheme under RIDF-XXVI(NABARD) for the year 2020-21,Renovation and Extension of Noanadi Kachia Bund Flow IS scheme under RIDF-XXVI(NABARD) for the year 2020-21,Please refer Tender documents. ,NA ,"1,91,10,100",Civil Works,NA ,Tender,180.0,180.0,Mangaldai,784125.0,NA ,NA ,NA ,"O/o Chief Engineer(irrigation),Assam",No ,No,14-Dec-2021 06:00 PM,12-Jan-2022 02:00 PM,14-Dec-2021 06:30 PM,11-Jan-2022 02:00 PM,NA ,NA ,15-Dec-2021 10:00 AM,11-Jan-2022 02:00 PM,01-Feb-2022 11:20 AM,"Chief Engineer(MI),Assam","O/o Chief Engineer(irrigation),Assam",1.0,Fee/PreQual/Technical,.pdf,NIT,Irrigation Department||Chief Engineer(Minor Irrigation)-Irrigation Dept,"NIT NO. 12(RIDF-XXVI,NABARD) 2021-22 Date 08.12.20",2021_ID_23693_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"3,82,202",Yes,percentage,2.0%,Nil,Nil,"4,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,129118,ASHOK KUMAR BAJAJ,11-Jan-2022 01:18 PM,Accepted-AOC,Awarded,08-Feb-2022 02:57 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,129069,DEEPAK KUMAR BUCHA,10-Jan-2022 09:15 PM,Rejected-Technical,Not Admitted,01-Feb-2022 11:15 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,cost of Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,129407,DIGANTA RAJBONGSHI,10-Jan-2022 10:09 PM,Rejected-Technical,Not Admitted,01-Feb-2022 11:15 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,129221,MAKBUL HUSSAIN,10-Jan-2022 04:05 PM,Rejected-Technical,Not Admitted,01-Feb-2022 11:15 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pre-Qualification,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,129140,M/S Tauhid Infra Developers Private Limited,11-Jan-2022 11:10 AM,Rejected-Technical,Not Admitted,01-Feb-2022 11:15 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,129420,MUKUT SAIKIA,11-Jan-2022 01:54 AM,Rejected-Finance,Not Admitted,08-Feb-2022 02:55 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,129048,NREEPEN DAS,10-Jan-2022 06:45 PM,Rejected-Technical,Not Admitted,01-Feb-2022 11:15 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,128988,Sri Prasanta Kumar Deka,09-Jan-2022 02:45 PM,Rejected-Finance,Not Admitted,08-Feb-2022 02:55 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,129431,Versha Technotrade JV,11-Jan-2022 11:33 AM,Rejected-Technical,Not Admitted,01-Feb-2022 11:15 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
