Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"HP Irrigation and Public Health||S Nagar Circle,Irrigation and Public Health,HP||S.nagar,Irrigation and Public Health,HP",EE JSDSNR Es Tender/21-9661-9710 dated 19.08.2021,2021_HPIPH_52465_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Scan copy proof of Cost of Tender form as per NIT,1.0,ICICI BANK,"4,45,600",Yes,fixed,,Nil,Nil,18-Sep-2021 05:00 PM,29-Sep-2021 11:00 AM,18-Sep-2021 05:00 PM,28-Sep-2021 05:00 PM,NA ,NA ,18-Sep-2021 05:00 PM,28-Sep-2021 05:00 PM,01-Nov-2021 02:30 PM,"2,500",Nil,Nil,No,Up gradation of Sewerage Treatment Plant and providing sewerage connectivity to leftout area under MC Sundernagar Tehsil Sundernagar in Distt Mandi HP,SH Laying jointing and testing of Ductile Iron Pipe for house connections and operation and maintenance of complete sewerage network for a period of 5 years,Please refer Tender documents. ,NA ,"4,13,01,391",Pipe Laying Works,NA ,Tender,120.0,1825.0,Sundernagar,175018.0,NA ,NA ,NA ,Sundernagar,No ,No,Executive Engineer JS Division Sundernagar,Executive Engineer JS Division Sundernagar,AOC,Technical,All the three bidders are found eligible for opening of financial bids,Anil Verma,01-Nov-2021 01:10 PM,technical_78401.pdf,Finance,Three BOQ and BOQ comparative Chart has been successfully generated and downloaded,Anil Verma,01-Nov-2021 02:45 PM,finance_78401.pdf,BOQ Comparative Chart,17-Feb-2022,"INR 31,643,321",1825.0,Anil Verma,17-Feb-2022 10:51 AM,Award.pdf (2297.00 KB),Work awarded to lowest contractor,1.0,236814.0,RAJINDER SINGH,27-Sep-2021 11:48 PM,Rejected-Finance,Other than lowest,17-Feb-2022 10:49 AM,Er. Dharmendra Gill,Internal,"Er B S Thakur SE Design, Er Upender Vaidya SE SNR, Er Vivek Hazri EE Design, Er Anil Verma EE SNR, Er H.R. Kaushal AE Design, Sh Ashwani Sharma Asstt controller",Anil Verma,01-Nov-2021 01:19 PM,01-Nov-2021 02:30 PM,techsummary_78401.pdf (906.15 KB),Dr. Dharmendra Gill,Internal,"Surjeet Singh, PO Deshbandhu Sharma, AC Er. Sweta Singh AE, Er. Anil Verma, EE SNR, Er. Hina Sabharwal EE(D), Er. B.S. Thakur EE(D), Er. Upender Vaidya SE SNR",Anil Verma,17-Feb-2022 10:48 AM,finsummary_78401.pdf (987.39 KB),"HP Irrigation and Public Health||S Nagar Circle,Irrigation and Public Health,HP||S.nagar,Irrigation and Public Health,HP",2021_HPIPH_52465_1,EE JSDSNR Es Tender/21-9661-9710 dated 19.08.2021,Up gradation of Sewerage Treatment Plant and providing sewerage connectivity to leftout area under MC Sundernagar Tehsil Sundernagar in Distt Mandi HP,1.0,238026.0,sanjeev kumar,INR,"31,643,321",AOC
,,,,,,,,,,,,,,,,.pdf,Scan copy proof of EMD as per NIT,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,238529.0,RK Gupta AND CO,28-Sep-2021 04:52 PM,Rejected-Finance,Other than lowest,17-Feb-2022 10:49 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Scan copy of contractor registration as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3.0,238026.0,sanjeev kumar,28-Sep-2021 03:50 PM,Accepted-AOC,Lowest bidder,17-Feb-2022 10:51 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Scan copy of PAN and GST Registration as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Scan copy of undertaking as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Scan copy of authorization certificate of DSC as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Scan copy of annual financial turn over during last 3 years ending 3/2021 as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"Scan copy of experience of similar work completed last 7 years as per NIT (a,b,c)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Scan ccopy of proof of registration EPF registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
