Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMROO-722- 9113-93 dt 01/10/2021,2021_HPIPH_52851_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,04-Oct-2021 05:00 PM,11-Oct-2021 11:30 AM,04-Oct-2021 05:00 PM,11-Oct-2021 11:00 AM,NA ,NA ,04-Oct-2021 05:00 PM,11-Oct-2021 11:00 AM,21-Oct-2021 04:35 PM,"23,900",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,1.0,Fee/PreQual/Technical,.pdf,Earnest Money in shape of FDR as mentioned in NIT,1.0,ICICI BANK,400.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,"Providing LWSS to PC habitation Charna, Dana Ghaton, Ganog, Jammu Koti, Jarag, Koti Dhiman, Maina Gharel and Rajana under JJM GP Dadahu Tehsil Sangrah Distt. Sirmour HP",Laying and jointing of GMS pipes and dismantling of GMS pipes) under JJM 3rd shelf Part- 2nd Job No. 3,Please refer Tender documents. ,NA ,"11,93,909",Pipe Laying Works,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,AOC,Er. Ashish Rana EE,Internal,TA Supdt HDM DAO EE,Ashish Rana,21-Oct-2021 04:29 PM,21-Oct-2021 04:35 PM,techsummary_79040.pdf (321.80 KB),1.0,240073.0,Khajan Singh,08-Oct-2021 12:07 PM,Rejected-Finance,Reject,08-Feb-2022 06:42 PM,Finance,Financial Bid Opening Summary,Ashish Rana,21-Oct-2021 05:40 PM,finance_79040.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Ashish Rana,21-Oct-2021 04:28 PM,technical_79040.pdf,08-Feb-2022,"INR 1,193,909",90.0,Ashish Rana,08-Feb-2022 06:43 PM,AOC.pdf (704.00 KB),Award to Contractor,Er Ashish Ran EE,Internal,DM HDM EE,Ashish Rana,08-Feb-2022 06:42 PM,finsummary_79040.pdf (704.45 KB),"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2021_HPIPH_52851_6,NHN-SMROO-722- 9113-93 dt 01/10/2021,"Providing LWSS to PC habitation Charna, Dana Ghaton, Ganog, Jammu Koti, Jarag, Koti Dhiman, Maina Gharel and Rajana under JJM GP Dadahu Tehsil Sangrah Distt. Sirmour HP",1.0,240200.0,KULDEEP SHARMA,INR,"760,150",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender as mentioned in NIT,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2.0,240200.0,KULDEEP SHARMA,10-Oct-2021 05:05 PM,Accepted-AOC,AOC,08-Feb-2022 06:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration in valid class as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3.0,240198.0,OM PARKASH SHARMA,10-Oct-2021 04:10 PM,Rejected-Finance,Reject,08-Feb-2022 06:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN and GST as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint venture is not allowed,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and conditions as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
