Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"2,000","State Health Society, Assam",Guwahati,No,Supply of Consumable and Linens,Supply of Consumable and Linens,Please refer Tender documents. ,NA ,"38,00,00,000",Medicines,NA ,Rate Contract,120.0,60.0,"O/o MD, NHM, Assam",781005.0,"O/o MD, NHM, Assam ","O/o MD, NHM, Assam ",03-Apr-2020 02:30 PM ,"O/o MD, NHM, Assam",No ,No,1.0,DD - Demand Draft,"MD, NHM, Assam","O/o MD, NHM, Assam","2,00,000",Yes,fixed,,"State Health Society, Assam",Guwahati,1.0,Fee/PreQual/Technical,.pdf,"Court Fee/IPO, Tender Fee, EMD, Technical Bid",1.0,Extension Notice 5,Date,,National Health Mission||State Programme Management Unit - NHM,123372.0,2020_NHM_17166_1,Yes,Open Tender,Item Rate,Goods,2.0,No,No,Offline,No,No,No,14-Mar-2020 05:00 PM,02-Jun-2020 04:00 PM,14-Mar-2020 05:30 PM,02-Jun-2020 02:00 PM,NA ,NA ,18-May-2020 02:00 PM,02-Jun-2020 02:00 PM,07-Aug-2020 03:05 PM,AOC,DME Assam,Internal,"DME, DHS. ED, AMD, DF, DSM, AA, P",Manohar Choudhury,02-Nov-2020 11:30 AM,finsummary_26158.pdf (4481.18 KB),1,80385,BECTON DICKINSON INDIA PVT LTD,01-Jun-2020 05:03 PM,Accepted-AOC,L,24-Feb-2022 03:59 PM,Finance,Minutes of Financial Bids,Manohar Choudhury,02-Nov-2020 11:24 AM,finance_26158.pdf,BOQ Comparative Chart,1.0,80385.0,BECTON DICKINSON INDIA PVT LTD,INR,1.0,Technical,Technical Minutes,Manohar Choudhury,07-Aug-2020 01:07 PM,technical_26158.pdf,National Health Mission||State Programme Management Unit - NHM,2020_NHM_17166_1,123372.0,Supply of Consumable and Linens,DME Assam,Internal,"DHS, ED, AMD, DF,DSM,AS,PHARMACIST",Manohar Choudhury,07-Aug-2020 01:16 PM,07-Aug-2020 03:05 PM,techsummary_26158.pdf (9480.65 KB),24-Feb-2022,INR 100.0,60.0,partha sarathi Das,24-Feb-2022 03:59 PM,momfb.pdf (4481.00 KB),ITEMS,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,2.0,Finance,.xls,BoQ,2.0,Notice for Pre Bid Meeting through VC,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,81887,Hindustan Syringes And Medical Devices Ltd,31-May-2020 05:28 PM,Accepted-AOC,L,24-Feb-2022 03:59 PM,,,,,,,2.0,80510.0,PLASTI SURGE INDUSTRIES PVT LTD,INR,1.0,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,80490,Innovative Linen Co. P. Ltd.,02-Jun-2020 01:13 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,07-Aug-2020 01:07 PM,,,,,,,3.0,81819.0,Kishan Chand And Sons,INR,1.0,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,82017,Jajoo Surgicals Pvt. Ltd.,02-Jun-2020 12:11 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,07-Aug-2020 01:07 PM,,,,,,,4.0,81887.0,Hindustan Syringes And Medical Devices Ltd,INR,1.0,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,81819,Kishan Chand And Sons,02-Jun-2020 11:23 AM,Accepted-AOC,L,24-Feb-2022 03:59 PM,,,,,,,5.0,82038.0,zenith corporation,INR,1.0,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,82023,Levram Lifesciences Pvt ltd,02-Jun-2020 11:15 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,07-Aug-2020 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,81952,Mafatlal Industries Limited,02-Jun-2020 12:39 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,07-Aug-2020 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,81955,M/S ANAMIKA UDYOG,01-Jun-2020 04:36 PM,Not Admitted-Finance,Not qualified for AOC,02-Nov-2020 11:24 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,80673,M/s Popular Science Apparatus Workshops Pvt. Ltd.,30-May-2020 01:52 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,07-Aug-2020 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,81947,nutan industries,01-Jun-2020 08:06 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,07-Aug-2020 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
