Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Construction of Bhatoli to Malhari Gagwal Beli road from km - 0/000 to km - 2/500,"Formation cutting, Retaining wall, Breast wall, Cross drianage , Metalling tarring, CC Pavement , PCC drain, Parapets , Crash barrier and road furniture including five year maintenance) under NABARD RIDF XXVII",Please refer Tender documents. ,NA ,"2,51,85,592",Civil Works,NA ,Tender,75.0,365.0,INDORA,176401.0,NA ,NA ,NA ,Superintending Engineer 9th Circle HPPWD Nurpur,No ,No,"5,04,000",No,fixed,,Nil,Nil,PWD,SEIX/WS/ETender/5424-28,2021_PWD_54043_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,27-Nov-2021 10:00 AM,07-Dec-2021 10:30 AM,27-Nov-2021 10:00 AM,06-Dec-2021 05:00 PM,NA ,NA ,27-Nov-2021 10:00 AM,06-Dec-2021 05:00 PM,23-Dec-2021 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Bid for Part-I of the Bid as per Section-6,1.0,ICICI BANK,"5,000",Nil,Nil,No,EXECUTIVE ENGINEER,HPPWD DIVISINO INDORA,AOC,1.0,247742.0,Dinesh Construction Works,05-Dec-2021 08:55 AM,Rejected-AOC,REJECTED,18-Feb-2022 02:35 PM,Technical,ALL ARE RESONSIVE. HENCE ADMITTED,Baldev Singh,18-Dec-2021 01:38 PM,technical_80958.pdf,1.0,247957.0,Ms R.K. Mahajan,INR,"16,643,654.2",Finance,ALL ARE ADMITTED,Baldev Singh,18-Feb-2022 02:32 PM,finance_80958.pdf,BOQ Comparative Chart,PWD,2021_PWD_54043_1,SEIX/WS/ETender/5424-28,Construction of Bhatoli to Malhari Gagwal Beli road from km - 0/000 to km - 2/500,SUPERINTENDING ENGINEER,Internal,EE(I) EE(D) DAO,Baldev Singh,18-Dec-2021 01:40 PM,23-Dec-2021 11:00 AM,techsummary_80958.pdf (1156.78 KB),SE,Internal,DAO EE EE(D) HDM,Baldev Singh,18-Feb-2022 02:34 PM,finsummary_80958.pdf (193.54 KB),18-Feb-2022,"INR 18,172,454",365.0,Baldev Singh,18-Feb-2022 02:35 PM,AOC.pdf (336.00 KB),AWARDED TO RK MAHAJAN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form as per Section-1 Point No. 3 through online mode i.e. online payment receipt,2.0,ICICI NEFT/RTGS,,,,,,,AOC,2.0,247957.0,Ms R.K. Mahajan,06-Dec-2021 02:01 PM,Accepted-AOC,AWARDED,18-Feb-2022 02:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security as per Section-2 Cl-16.2 through online mode i.e. online payment receipt,,,,,,,,,AOC,3.0,247989.0,Nishchal Mahajan,06-Dec-2021 01:12 PM,Rejected-AOC,REJECTED,18-Feb-2022 02:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration as per Q.I-Section 3(1.1),,,,,,,,,AOC,4.0,247997.0,Ravinder Kumar,06-Dec-2021 01:11 PM,Rejected-AOC,REJECTED,18-Feb-2022 02:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.3.1), (1.3.2) (1.3.3)",,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.4), (1.5)",,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.2), (1.7)",,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.6), (1.8), (1.9), (1.10)",,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section-2 Cl(4.2 g) and Cl 4.3,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section-2 Cl (4.4A (b),,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
