Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
HP SIDC Limited,Job No. 7,2021_SIDC_53688_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),Executive Engineer,HPSIDC Shimla,"5,900",Nil,Nil,No,18-Nov-2021 11:00 AM,26-Nov-2021 11:00 AM,18-Nov-2021 11:00 AM,25-Nov-2021 05:00 PM,NA ,NA ,18-Nov-2021 11:00 AM,25-Nov-2021 05:00 PM,07-Dec-2021 11:00 AM,1.0,ICICI BANK,"Re-Modeling of sewerage system of Ind. Area Bain Attarin, Distt. Kangra (HP).","Re-Modeling of sewerage system of Ind. Area Bain Attarin, Distt. Kangra (HP).",Please refer Tender documents. ,NA ,"62,84,884",Civil Works,NA ,Tender,120.0,180.0,Bain Attarin (Kangra),176401.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,"95,300",No,fixed,,Nil,Nil,AOC,Finance,Technical summary,Sushant Singh Negi,08-Dec-2021 03:17 PM,finance_80380.pdf,BOQ Comparative Chart,SE,Internal,"DM, Manager(F), AE(HQ)",Sushant Singh Negi,06-Dec-2021 03:05 PM,07-Dec-2021 11:00 AM,techsummary_80380.pdf (245.00 KB),Technical,Technical summary,Sushant Singh Negi,06-Dec-2021 03:03 PM,technical_80380.pdf,1.0,244923.0,Rahul Sharma,25-Nov-2021 03:07 PM,Accepted-AOC,AOC,10-Feb-2022 03:58 PM,02-Feb-2022,"INR 6,969,137",180.0,Sushant Singh Negi,10-Feb-2022 03:58 PM,bainattrian.pdf (1820.00 KB),Award letter,1.0,244923.0,Rahul Sharma,INR,"6,969,137",SE,Internal,"DM, Manager(F), AE(HQ),EE(HQ)",Sushant Singh Negi,08-Dec-2021 03:21 PM,finsummary_80380.pdf (28.73 KB),HP SIDC Limited,2021_SIDC_53688_1,Job No. 7,"Re-Modeling of sewerage system of Ind. Area Bain Attarin, Distt. Kangra (HP).",AOC
,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,245196.0,Sarbjit Singh Katoch,25-Nov-2021 12:51 PM,Rejected-Finance,Second lowest bidder,08-Dec-2021 03:21 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Copy of existing commitments / ongoing work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Details of machineries equipments/ skilled engineers/ technical staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
