S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,260916.0,Ashwani Kumar,INR,"64,895",Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Una - UDDHP,2022_UDDHP_56009_2,MCU/Santation Tender/2022-2,Santation Tender MC Una,President Puspa D,Internal,EO ME JE SI,Ashwani Kumar,05-Feb-2022 03:23 PM,finsummary_84175.pdf (258.47 KB),10-Feb-2022,"INR 85,908",365.0,Rajinder Kumar,09-Feb-2022 11:41 AM,AOCS8.pdf (431.00 KB),The rates are approved after the Financial evaluation and u/t submitted by the bidder,Finance,The Financial bid has opened by the TOC to evaluate the rates,Ashwani Kumar,05-Feb-2022 02:49 PM,finance_84175.pdf,BOQ Comparative Chart,Technical,10 nos bidders have been considered and 1 no has rejected due to non submitting of physical documents and one no due being defaulter as decision by the TOC,Rajinder Kumar,03-Feb-2022 06:03 PM,technical_84175.pdf,PreidentPuspa D,Internal,EO ME JE SI,Rajinder Kumar,03-Feb-2022 06:07 PM,03-Feb-2022 06:40 PM,techsummary_84175.pdf (258.33 KB),1,261001,AMANDEEP SINGH GOVT CONT,03-Feb-2022 12:30 PM,Rejected-Finance,Due to higher side,05-Feb-2022 03:23 PM,AOC,1.0,DD - Demand Draft,"4,300",No,fixed,,Executive Officer MC Una HP,Una City HP,Executive Officer,Office of Municipal Council Una Distt Una HP,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Una - UDDHP,MCU/Santation Tender/2022-2,2022_UDDHP_56009_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Registration proof or supporting document,26-Jan-2022 02:00 PM,03-Feb-2022 04:00 PM,26-Jan-2022 02:00 PM,03-Feb-2022 03:20 PM,NA ,NA ,26-Jan-2022 02:00 PM,03-Feb-2022 03:20 PM,03-Feb-2022 06:40 PM,500.0,EO MC Una,Una HP,No,Santation Tender MC Una,Sanitation Work of MC Una WNo08,Please refer Tender documents. ,NA ,"85,908",Solid Waste Management,NA ,Rate Contract,30.0,365.0,Municipal Area Una,174303.0,NA ,NA ,NA ,Municipal Office Una,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,260916,Ashwani Kumar,02-Feb-2022 06:46 PM,Accepted-AOC,The rates are accepted by the authority,09-Feb-2022 11:41 AM,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,261084,Badri Vishal and Company,03-Feb-2022 03:02 PM,Rejected-Finance,Due to higher side,05-Feb-2022 03:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender in shape of Demand draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,260895,Dadri Enterprises,02-Feb-2022 07:24 PM,Rejected-Finance,due to higher side,05-Feb-2022 03:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD in shape of FDR duly pledged with the EO MC Una,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,260799,EAGLE SCOUT SECURITY SERVICES,02-Feb-2022 02:41 PM,Rejected-Finance,Due to higher side,05-Feb-2022 03:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,260933,GK SERVICES,02-Feb-2022 08:45 PM,Rejected-Finance,Due to higher side,05-Feb-2022 03:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit to produce labour licence from L dep after award with in month and abide by all terms cond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,261043,H ADIWAL AND SONS,03-Feb-2022 01:52 PM,Rejected-Finance,Due to higher side,05-Feb-2022 03:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,259535,M/S HURRICANE SECURITY AGENCY PVT.LTD,02-Feb-2022 04:11 PM,Not Admitted-Fee/PreQual/Technical,Others-TOC has rejected the bid due to being defaulter,03-Feb-2022 06:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,260993,M/S J K ENTERPRISES,03-Feb-2022 12:47 PM,Rejected-Finance,Due to higher side,05-Feb-2022 03:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,259845,ROOP LAL,31-Jan-2022 01:51 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-Feb-2022 06:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
