Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Earnest Money and Cost of Tender (As per NIT),590.0,Nil,Nil,Yes,"21,670",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Executive Engineer Electrical,HIMUDA Electrical Division Dharamshala Distt. Kangra HP Pin Code 176057,"Himachal Urban Development Authority||Supdt. Engineer (N),HIMUDA||Executive Engineer Electrical Dn,Dharamsala,HIMUDA",HIMUDA/EDD/W-7/Vol-XI/662-76,2021_HIMUD_54366_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,07-Dec-2021 04:00 PM,27-Dec-2021 11:00 AM,09-Dec-2021 10:00 AM,24-Dec-2021 04:00 PM,09-Dec-2021 10:00 AM ,24-Dec-2021 04:00 PM ,09-Dec-2021 10:00 AM,24-Dec-2021 04:00 PM,29-Dec-2021 11:00 AM,Construction of Mortuary at Civil Hospital Salooni Distt. Chamba H.P.,Sub Head Providing and fixing of three bodies Mortuary Cabinets work therein,Please refer Tender documents. ,NA ,"10,83,430",Electrical Works,NA ,Tender,120.0,90.0,Salooni Chamba,176320.0,NA ,NA ,NA ,HIMUDA Electrical Division Dharamshala,No ,No,AOC,Er Rajni Duggal,Internal,"Sh Hans Raj JDM, Miss Reenu JOA(IT)",Ram Krishan,29-Dec-2021 11:57 AM,finsummary_81412.pdf (1348.56 KB),"Himachal Urban Development Authority||Supdt. Engineer (N),HIMUDA||Executive Engineer Electrical Dn,Dharamsala,HIMUDA",2021_HIMUD_54366_1,HIMUDA/EDD/W-7/Vol-XI/662-76,Construction of Mortuary at Civil Hospital Salooni Distt. Chamba H.P.,1.0,251905.0,JAGJIT RAI,INR,"917,980",1.0,252161.0,Deepak Sood,24-Dec-2021 03:56 PM,Rejected-Finance,Rejected,29-Dec-2021 11:57 AM,Er Rajni Duggal,Internal,"Sh Ram Krishan AE(E), Sh Hans Raj JDM",Ram Krishan,27-Dec-2021 05:07 PM,29-Dec-2021 11:00 AM,techsummary_81412.pdf (751.45 KB),01-Feb-2022,"INR 1,083,430",90.0,Ram Krishan,04-Feb-2022 03:14 PM,Award.pdf (1804.00 KB),Award,Technical,Bid opening Summary,Ram Krishan,27-Dec-2021 05:05 PM,technical_81412.pdf,Finance,Bid opening Summary,Ram Krishan,29-Dec-2021 11:54 AM,finance_81412.pdf,BOQ Comparative Chart,AOC
,,.pdf,Certificate of Registration with HPPWD/HIMUDA,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2.0,251905.0,JAGJIT RAI,22-Dec-2021 09:27 PM,Accepted-AOC,L1 Contractor,04-Feb-2022 03:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of license issued by the Chief Electrical Inspector Shimla.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Income Tax PAN/TAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of GST Registration Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of EPF Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work Done certificate as per Condition in the From No. 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit Schedule G as per Condition in the From No. 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Undertaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
