EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"30,15,000",No,fixed,,Payable To Project Director HPHDP,Payable At Shimla,1.0,Fee/PreQual/Technical,.pdf,Technical_Doc1,1.0,DD - Demand Draft,20-Jul-2021 04:00 PM,27-Aug-2021 02:30 PM,20-Jul-2021 04:00 PM,27-Aug-2021 02:00 PM,20-Jul-2021 04:00 PM ,02-Aug-2021 05:00 PM ,06-Aug-2021 02:00 PM,27-Aug-2021 02:00 PM,06-Sep-2021 12:30 PM,Managing Director Hpmc,HPMC Head Office 2nd Floor Nigam Vihar Shimla -2,HPHDP HPMC PIU/TURNKEY/CHACHYOT 10,"Design, Supply Installation testing Commissioning of Equipment Including civil works for new 500 MT CA store and 5600 MT Packhouse under Greenfield at Chachyot Distt Mandi (H.P.)","EMD, DD, Power of Attorney, Certificate of Correctness ",NA ,"15,07,21,000",Civil Works - Others,NA ,Tender,120.0,550.0,Shimla,171002.0,HPMC Head Office Shimla ,HPMC Head Office Shimla -2 ,04-Aug-2021 02:00 PM ,HPMC Head Office Shimla -2,No ,No,"5,900",Payable To Project Director HPHDP,Payable At Shimla,No,HP Horticultural Produce Marketing and Processing Corporation Ltd.,HPHDP HPMC PIU/TURNKEY/CHACHYOT 10,2021_HPMC_50099_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,Finance,Financial_Opening_Minutes,Ishan Agrawal,06-Sep-2021 01:32 PM,finance_74920.pdf,BOQ Comparative Chart,1.0,232434.0,Frick India Limited,27-Aug-2021 12:44 PM,Accepted-AOC,L1 Bidder,17-Feb-2022 04:45 PM,Technical,Tech_Bid_minutes,Ishan Agrawal,04-Sep-2021 02:51 PM,technical_74920.pdf,AGM_HO,Internal,,Ishan Agrawal,04-Sep-2021 03:01 PM,06-Sep-2021 12:30 PM,techsummary_74920.pdf (315.03 KB),1.0,232434.0,Frick India Limited,INR,"182,952,551.24",15-Nov-2021,"INR 182,952,551.24",550.0,BRIJ MOHAN SAINI,17-Feb-2022 04:45 PM,ChachyotLOA.pdf (427.00 KB),Contract Awarded,HP Horticultural Produce Marketing and Processing Corporation Ltd.,2021_HPMC_50099_1,HPHDP HPMC PIU/TURNKEY/CHACHYOT 10,HPHDP HPMC PIU/TURNKEY/CHACHYOT 10,B.M Saini,Internal,As per attachment,BRIJ MOHAN SAINI,30-Sep-2021 07:00 PM,finsummary_74920.pdf (1590.46 KB),AOC
,,,,,,,,.pdf,Technical_Doc2,2.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Technical_Doc3,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Technical_Doc4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Technical_Doc5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Technical_Doc6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Any_Other_technical_Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,2.0,Finance,.pdf,Financial_doc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Financial_doc2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Financial_doc3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
