S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,212727.0,suresh kumar,INR,"603,382",Finance,finsummary,Dalip singh Patial,23-Jun-2021 02:34 PM,finance_71178.pdf,BOQ Comparative Chart,Technical,techbidsummary,Dalip singh Patial,11-Jun-2021 11:52 AM,technical_71178.pdf,1.0,212866.0,Mahesh Electrical And Electronich,19-May-2021 07:26 AM,Rejected-Finance,Rejected being L2 firm/ contractor,23-Jun-2021 03:42 PM,02-Feb-2022,"INR 603,382",365.0,Munish Bhopal,17-Feb-2022 12:52 PM,AOC.pdf (547.00 KB),WORK AWARDED TO sH. suresh kumar BEING L1 CONTR,Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt Sh Manish Kumar TA,Dalip singh Patial,23-Jun-2021 03:42 PM,finsummary_71178.pdf (282.60 KB),Er Dalip Singh Patial EE,Internal,Smt Karuna Sharma Superintendent Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt,Dalip singh Patial,11-Jun-2021 12:17 PM,11-Jun-2021 12:30 PM,techsummary_71178.pdf (307.68 KB),PWD,2021_PWD_47405_1,PW/MED/TA/NIT/ e-notice/21-22-620-25 dt 28.04.21,Construction of Science lab at Government Senior Secondary School at Morla Tehsil Sarkaghat District Mandi HP SH Providing E.I therein,AOC,PWD,PW/MED/TA/NIT/ e-notice/21-22-620-25 dt 28.04.21,2021_PWD_47405_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi",Construction of Science lab at Government Senior Secondary School at Morla Tehsil Sarkaghat District Mandi HP SH Providing E.I therein,Construction of Science lab at Government Senior Secondary School at Morla Tehsil Sarkaghat District Mandi HP SH Providing E.I therein,Please refer to bid document ,NA ,,Electrical Works,NA ,Tender,75.0,365.0,Morla,175025.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,"12,450",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,13-May-2021 10:00 AM,20-May-2021 11:30 AM,13-May-2021 10:00 AM,19-May-2021 06:00 PM,NA ,NA ,13-May-2021 10:00 AM,19-May-2021 06:00 PM,11-Jun-2021 12:30 PM,350.0,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,AOC
,,,,,,,,,,,,,,,,2.0,212966.0,NITIN PROP A VIGHNA ELECTRICALS,19-May-2021 05:00 PM,Rejected-Technical,Bid non responsive and unqualified,11-Jun-2021 12:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,2.0,ICICI NEFT/RTGS,,,.pdf,CONTRACTORS REGISTRATION in HPPWD in appropriate Class B or C (Electrical) with valid Elect license,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,212891.0,Rajiv Contactor,19-May-2021 11:16 AM,Rejected-Finance,Rejected being L2 firm/ contractor,23-Jun-2021 03:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,3.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,212727.0,suresh kumar,19-May-2021 12:03 PM,Accepted-AOC,WORK AWARDED TO sH. suresh kumar BEING L1 CONTR,17-Feb-2022 12:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,4.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt Deptt / Board / PSU.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
