Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Tender Stage
Technical,SR. NO. 1 TO 6 ARE RESPONSIVE,Baldev Singh,25-Dec-2021 11:26 AM,technical_80963.pdf,1.0,248536.0,Arya Construction Company,17-Dec-2021 03:25 PM,Rejected-AOC,L6,26-Feb-2022 06:32 PM,Finance,SR. NO. 1 TO 6 ARE ADMITTED,Baldev Singh,26-Feb-2022 06:26 PM,finance_80963.pdf,BOQ Comparative Chart,1.0,249066.0,Nishchal Mahajan,INR,"77,723,892",26-Feb-2022,"INR 77,723,892",540.0,Baldev Singh,26-Feb-2022 06:32 PM,aoc.pdf (5123.00 KB),AWARDEDR TO NISCHAL MAHAJAN,SE,Internal,EE EE(D) DAO SUPDT,Baldev Singh,26-Feb-2022 06:29 PM,finsummary_80963.pdf (194.77 KB),SUPERINTENDING ENGINEER,Internal,EE EE(D) DAO,Baldev Singh,25-Dec-2021 11:29 AM,29-Dec-2021 11:00 AM,techsummary_80963.pdf (3817.83 KB),PWD,2021_PWD_54047_1,SEIX/WS/ETender/5434-38,Upgradation of road from Tipri to Attara via Dainkwan from Km. 0/000 to 13/390,AOC,"21,57,000",No,fixed,,Nil,Nil,1.0,DATE EXTENSION,Date,,Executive Engineer,HPPWD Division Indora,Upgradation of road from Tipri to Attara via Dainkwan from Km. 0/000 to 13/390,"Earth work, Retaining wall, Breast wall, Cross drianage , Metalling tarring, CC Pavement , PCC drain, Parapets , Crash barrier and road furniture including five year maintenance) under NABARD RIDF XXVII",Please refer Tender documents. ,NA ,"10,78,30,049",Civil Works,NA ,Tender,75.0,540.0,INDORA,176401.0,NA ,NA ,NA ,Superintending Engineer 9th Circle HPPWD Nurpur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Bid for Part-I of the Bid as per Section-6,"5,000",Nil,Nil,No,27-Nov-2021 10:00 AM,18-Dec-2021 10:30 AM,27-Nov-2021 10:00 AM,17-Dec-2021 05:00 PM,NA ,NA ,27-Nov-2021 10:00 AM,17-Dec-2021 05:00 PM,29-Dec-2021 11:00 AM,PWD,SEIX/WS/ETender/5434-38,2021_PWD_54047_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC
,,,,,2.0,250086.0,Ms R.K. Mahajan,17-Dec-2021 02:26 PM,Rejected-AOC,L3,26-Feb-2022 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form as per Section-1 Point No. 3 through online mode i.e. online payment receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,3.0,250226.0,M/s Satish Kumar Sharma,17-Dec-2021 04:26 PM,Rejected-AOC,L2,26-Feb-2022 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security as per Section-2 Cl-16.2 through online mode i.e. online payment receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,248494.0,M V D Cementation and Construction Pvt. Ltd.,17-Dec-2021 01:55 PM,Rejected-AOC,L5,26-Feb-2022 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration as per Q.I-Section 3(1.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,5.0,249066.0,Nishchal Mahajan,13-Dec-2021 11:25 AM,Accepted-AOC,AWARED,26-Feb-2022 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.3.1), (1.3.2) (1.3.3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,6.0,246827.0,V S SAINI,17-Dec-2021 04:11 PM,Rejected-AOC,L4,26-Feb-2022 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.4), (1.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.2), (1.7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.6), (1.8), (1.9), (1.10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section-2 Cl(4.2 g) and Cl 4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section-2 Cl (4.4A (b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section-2 Cl (4.4B (a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
