Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
Er. Ashish Rana EE,Internal,TA Spdt HDM DAO EE,Ashish Rana,27-Nov-2021 06:56 PM,29-Nov-2021 11:00 AM,techsummary_80244.pdf (317.88 KB),1.0,245006.0,Balinder Dutt,24-Nov-2021 09:10 PM,Rejected-Finance,Reject,08-Feb-2022 06:57 PM,08-Feb-2022,"INR 841,017",90.0,Ashish Rana,08-Feb-2022 06:58 PM,AOC.pdf (758.00 KB),Award to Contractor,Finance,Financial Bid Owning Summary,Ashish Rana,30-Nov-2021 03:52 PM,finance_80244.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Ashish Rana,27-Nov-2021 06:52 PM,technical_80244.pdf,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2021_HPIPH_53617_8,NHN-SMROO-722- 11368-11428 dt 16/11/2021,"Providing FHTC and Improvement of LWSS Barthal Madhana, Chiya Mamiyana and Gatu Navi in Tehsil Dadahu",1.0,244373.0,sunil kumar,INR,"672,966",Er Ashish Rana EE,Internal,DM HDM EE,Ashish Rana,08-Feb-2022 06:57 PM,finsummary_80244.pdf (757.53 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned In NIT,250.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,17-Nov-2021 05:00 PM,25-Nov-2021 11:30 AM,17-Nov-2021 05:00 PM,25-Nov-2021 11:00 AM,NA ,NA ,17-Nov-2021 05:00 PM,25-Nov-2021 11:00 AM,29-Nov-2021 11:00 AM,1.0,ICICI BANK,1.0,Corrigendum,Other,,"16,820",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMROO-722- 11368-11428 dt 16/11/2021,2021_HPIPH_53617_8,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"Providing FHTC and Improvement of LWSS Barthal Madhana, Chiya Mamiyana and Gatu Navi in Tehsil Dadahu",Laying and jointing of GI pipe in distribution system and FHTC) under JJM 3rd shelf,Please refer Tender documents. ,NA ,"8,41,017",Pipe Laying Works,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,AOC
,,,,,,,2.0,244506.0,Chaman Lal Contractor,24-Nov-2021 07:20 PM,Rejected-Finance,Reject,08-Feb-2022 06:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Cost of Tender Form as mentioned In NIT,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,3.0,244508.0,Deepak Kumar Contractor,24-Nov-2021 07:19 PM,Rejected-Finance,Reject,08-Feb-2022 06:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Registration with JSV Vibhag as mentioned In NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,4.0,245018.0,Jawant Singh,24-Nov-2021 09:37 PM,Rejected-Finance,Reject,08-Feb-2022 06:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,EPF Registration as mentioned In NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,5.0,244373.0,sunil kumar,23-Nov-2021 04:21 PM,Accepted-AOC,AOC,08-Feb-2022 06:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,PAN and GST as mentioned In NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,6.0,244953.0,Surender Singh,24-Nov-2021 07:32 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,27-Nov-2021 06:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Undertaking regarding Joint venture is not allowed as mentioned In NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Undertaking carefully study all terms and conditions as mentioned In NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
