S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,247568.0,Ashok Kumar,INR,"1,449,148",Finance,Financial opening summary,Rajesh Kumar,14-Dec-2021 10:02 AM,finance_80794.pdf,BOQ Comparative Chart,Technical,Bid Opening summary,Vijay Kumar Chauhan,07-Dec-2021 10:01 AM,technical_80794.pdf,1.0,247662.0,ankush,04-Dec-2021 12:53 PM,Rejected-Technical,Technically non responsive,10-Dec-2021 11:59 AM,"Er. Vijay Kumar Chauhanm, Xen.",Internal,"Lekh Ram Shandil, HDM, Jia Lal, Draughtsman",Vijay Kumar Chauhan,04-Jan-2022 01:46 PM,finsummary_80794.pdf (436.25 KB),05-Jan-2022,"INR 1,513,600",60.0,Vijay Kumar Chauhan,09-Feb-2022 04:06 PM,Summary.pdf (643.00 KB),Award letter,PWD,2021_PWD_53958_1,PW/THD/CB-tender/8887-98,Construction of Kufri Chair road km 0.00 to 8.00,"Er. Vijay Kumar Chauhanm, Xen.",Internal,"Deepak Sharma, Sr. DAO, L.R. Shandil, Head D/am Kewal Ram, Sjupdt. Gr-II",Vijay Kumar Chauhan,10-Dec-2021 11:59 AM,10-Dec-2021 03:30 PM,techsummary_80794.pdf (472.79 KB),AOC,Executive Engineer,"Theog Division, H.P.P.W.D.,Theog Distt. Shimla, HP",1.0,ICICI BANK,500.0,Nil,Nil,No,Construction of Kufri Chair road km 0.00 to 8.00,Formation cutting in km RD 6.600 to 7.180 and Construction of Retaining wall km 6.570 to 6.600 and construction of Breast wall at RD 6.550 to 6.570,As per GCC ,NA ,"14,62,542",Civil Works - Roads,NA ,Tender,75.0,60.0,Theog Tehsil Theog Distt. Shimla HP,171201.0,NA ,NA ,NA ,Theog Division,No ,No,PWD,PW/THD/CB-tender/8887-98,2021_PWD_53958_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"30,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt/UTR No. of EMD and cost of tender form,25-Nov-2021 03:00 PM,06-Dec-2021 11:00 AM,25-Nov-2021 05:00 PM,04-Dec-2021 05:00 PM,NA ,NA ,25-Nov-2021 05:00 PM,04-Dec-2021 05:00 PM,10-Dec-2021 03:30 PM,AOC
,,,,,,,,,,,,,,,,2.0,247568.0,Ashok Kumar,03-Dec-2021 04:03 PM,Accepted-AOC,Being L1,09-Feb-2022 04:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Ref. general rule and direction 24.3,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,247561.0,Sunil Hetta,03-Dec-2021 03:33 PM,Rejected-Finance,Being Higher rate,04-Jan-2022 01:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Ref. general rule and direction 24.4,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand Certificate countersigned by EE.,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools and plants 24.6 G.R and direction as per Schedule- F ref. clause-18 of GCC",,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No-7/8 in G.C.C. duly signed by the bidder and witnesses,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor shall give affidavit regarding list of both Gazette and non-gazette HPPWD Employees relat,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of documents,,,,,,,,,,AOC
