Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
Er.B.M Thakur,Internal,"T/A, Supdt., HDM, Sr. DAO, AE to EE, AE Palampur",Manoj Sood,28-Dec-2021 12:08 PM,finsummary_82074.pdf (628.11 KB),01-Feb-2022,"INR 1,094,442",180.0,Manoj Sood,20-Sep-2023 04:51 PM,18375.pdf (260.00 KB),AOC,PWD,2021_PWD_54760_1,12858-907,C/o link road Bhatpura to Tapa connect Joggi Basti including Bridge over Soul Nallah Km 0/00 to 0/500 (SW- C/o 4.00 mtr. Span Culvert at RD 0/010 with both side approaches etc (SCSP),Er.B.M Thakur,Internal,"vikas sood T/A, Kartar Supdt, Manoj, HDM,Rajinder DAO, Manoj Sood, AE Plp, NarinderRanout, AE to EE",Manoj Sood,24-Dec-2021 03:41 PM,27-Dec-2021 11:00 AM,techsummary_82074.pdf (1038.98 KB),1.0,251849.0,PRIYANKA GUPTA,INR,"1,378,774.3",Finance,Financial bid opening Summary,Manoj Sood,28-Dec-2021 11:56 AM,finance_82074.pdf,BOQ Comparative Chart,Technical,Bid opening Summary,Manoj Sood,24-Dec-2021 03:27 PM,technical_82074.pdf,1.0,251849.0,PRIYANKA GUPTA,22-Dec-2021 04:56 PM,Accepted-AOC,AOC,20-Sep-2023,18-Dec-2021 09:00 AM,23-Dec-2021 11:30 AM,18-Dec-2021 09:00 AM,23-Dec-2021 11:00 AM,NA ,NA ,18-Dec-2021 09:00 AM,23-Dec-2021 11:00 AM,27-Dec-2021 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form,PWD,12858-907,2021_PWD_54760_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"21,900",No,fixed,,Nil,Nil,Executive Engineer,Palampur division HP.PWD Palampur,C/o link road Bhatpura to Tapa connect Joggi Basti including Bridge over Soul Nallah Km 0/00 to 0/500 (SW- C/o 4.00 mtr. Span Culvert at RD 0/010 with both side approaches etc (SCSP),C/o link road Bhatpura to Tapa connect Joggi Basti including Bridge over Soul Nallah Km 0/00 to 0/500 (SW- C/o 4.00 mtr. Span Culvert at RD 0/010 with both side approaches etc (SCSP),Please refer Tender documents. ,NA ,"10,94,442",Civil Works,NA ,Tender,120.0,180.0,Tapa in Tehsil Palampur,176061.0,NA ,NA ,NA ,EE DIVISION HPPWD Palampur,No ,No,500.0,Nil,Nil,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,251518.0,SANJAY KUMAR JASWAL GOVT.CONTRACTOR,21-Dec-2021 04:04 PM,Rejected-Finance,Bidder is L3,28-Dec-2021,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,251813.0,shiv shakti interprises,22-Dec-2021 03:21 PM,Rejected-Finance,Bidder is L4,28-Dec-2021,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,251721.0,TANUJ SHARMA,22-Dec-2021 12:33 PM,Rejected-Finance,Bidder is L5,28-Dec-2021,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,251927.0,Umesh Bhardwaj,23-Dec-2021 10:41 AM,Rejected-Finance,Bidder is L2,28-Dec-2021,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
