Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
O.O EE HPPWD KOTLA BEHAR DIVISION KOTLA BEHAR,O.O EE HPPWD KOTLA BEHAR DIVISION KOTLA BEHAR,"5,000",Nil,Nil,No,IMPROVEMENT OF WIDENING AND STRENTHING OF ARA CHOWK TO JOURBAR ROAD KM 0.0 TO 10.00 IN DISTT KANGRA H.P SUB HEAD FORMATION CUTTING INTERMEDIATE STANDARD C.O R.WALLS CROSS DRAIGES P.L GSB M.T CEMENT COCNRETE PAVEMENT CEMENT CONCRTE INTERLOCKING PAVE,IMPROVEMENT OF WIDENING AND STRENTHING OF ARA CHOWK TO JOURBAR ROAD KM 0.0 TO 10.00 IN DISTT KANGRA H.P SUB HEAD FORMATION CUTTING INTERMEDIATE STANDARD C.O R.WALLS CROSS DRAIGES P.L GSB M.T CEMENT COCNRETE PAVEMENT CEMENT CONCRTE INTERLOCKING PAVE,Please refer Tender documents. ,NA ,"8,01,00,100",Civil Works,NA ,Tender,30.0,540.0,KOTLA BEHAR,177111.0,NA ,NA ,NA ,O.O EE HPPWD KOTLA BEHAR DIVISION KOTLA BEHAR,No ,No,1.0,ICICI BANK,PWD,NIT KOTLA BEHAR NO 2075-85 DATE 07.07.2021,2021_PWD_50315_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"16,02,000",No,fixed,,Nil,Nil,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,24-Jul-2021 04:00 PM,07-Aug-2021 11:00 AM,24-Jul-2021 04:00 PM,06-Aug-2021 05:00 PM,NA ,NA ,24-Jul-2021 04:00 PM,06-Aug-2021 05:00 PM,28-Sep-2021 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,SBD,AOC,1.0,225459.0,V S SAINI,INR,"60,604,226",Finance,FINICIAL SUMMARY,Harsh Puri,02-Oct-2021 10:01 AM,finance_75310.pdf,BOQ Comparative Chart,1.0,226725.0,Arya Construction Company,06-Aug-2021 03:13 PM,Rejected-Technical,DOSE NOT FULFILL THE TECHANICAL CRETREA AS PER FOLLOWING CALOUSES OF SBD CL.4.5.3(B)4.3(J)1.2 OF ITB,22-Sep-2021 05:54 PM,Technical,TECHANICAL EVULATION,Harsh Puri,22-Sep-2021 04:12 PM,technical_75310.pdf,ER NARINDR PAL SINGH CHIEF ENGINEER KANGAR ZONE HPPWD DHARAMSHALA,Internal,"ER MP DHIMAN C.E DHARMSHALA , ER N.K DHIMAN EE D-1. DHARMINDER KUMAR DEPUTY CONTROLLER FAND A ER HARSH PURI EE KOTLA BEHAR",Harsh Puri,22-Sep-2021 05:54 PM,28-Sep-2021 11:30 AM,techsummary_75310.pdf (3058.62 KB),PWD,2021_PWD_50315_1,NIT KOTLA BEHAR NO 2075-85 DATE 07.07.2021,IMPROVEMENT OF WIDENING AND STRENTHING OF ARA CHOWK TO JOURBAR ROAD KM 0.0 TO 10.00 IN DISTT KANGRA H.P SUB HEAD FORMATION CUTTING INTERMEDIATE STANDARD C.O R.WALLS CROSS DRAIGES P.L GSB M.T CEMENT COCNRETE PAVEMENT CEMENT CONCRTE INTERLOCKING PAVE,16-Nov-2021,"INR 80,100,100",540.0,Harsh Puri,19-Feb-2022 03:00 PM,VVVV.pdf (153.00 KB),AWARD LETTER,CHIEF ENGINEER KANGRA ZONE HPPWD DHARMSHALAL,Internal,SUPERINTENDING ENGINEER 9TH CIRLCE NURPUR. SUPERINTENDING ENGINEEER D KANGRA ZONE DHARAMSHALA . DEPUTY CONTROLLAER FAND A KANGRA ZONE ZONE SHARMSHALA EXECUTIVE ENGINEER HPPWD DIVISION KOTLA BEHAR,Harsh Puri,02-Oct-2021 10:08 AM,finsummary_75310.pdf (76.52 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,.pdf,1. COST OF TENDER FROM IN FAVOUR OF EXECUTIVE ENGINEER DIVISION No-1 HPPWD SHIMLA DDO CODE NO 61,AOC,,,,,,,,,,,,2.0,227052.0,DCC BUILDCON PVT. LTD.,05-Aug-2021 08:11 AM,Rejected-Finance,HIGEST AMOUNT,02-Oct-2021 10:08 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,.pdf,2 EARNEST MONEY IN SHAPE OF (ON LINE ) IN FAVOUR O F EXECUTIVE ENGINEER DIVISION No-1 HPPWD SHIM,AOC,,,,,,,,,,,,3.0,227783.0,ganesh,06-Aug-2021 11:39 AM,Rejected-Technical,DOSE NOT FULFILL THE TECHANICAL CRETREA AS PER FOLLOWING CALOUSES OF SBD CL.4.5.3(B)4.3(J)3.2OF ITB,22-Sep-2021 05:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,.pdf,3 CONTRACTOR REGISTRATION,AOC,,,,,,,,,,,,4.0,227462.0,K.K. Construction,06-Aug-2021 03:43 PM,Rejected-Finance,HIGEST AMOUNT,02-Oct-2021 10:08 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,.pdf,4 SALE TAX/GST NUMBER,AOC,,,,,,,,,,,,5.0,227898.0,MSC Roads and Bridges Private Limited,06-Aug-2021 01:44 PM,Rejected-Technical,DOSE NOT FULFILL THE TECHANICAL CRETREA AS PER FOLLOWING CALOUSES OF SBD CL.4.5.3(B)4.3(J)3.2OF ITB,22-Sep-2021 05:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,.pdf,5 EPF NIMBER,AOC,,,,,,,,,,,,6.0,225628.0,M/S R.R.Builders,06-Aug-2021 03:14 PM,Rejected-Finance,HIGEST AMOUNT,02-Oct-2021 10:08 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,.pdf,6 PAN NUMBER,AOC,,,,,,,,,,,,7.0,227544.0,Navneet Thakur,06-Aug-2021 02:13 PM,Rejected-Technical,DOSE NOT FULFILL THE TECHANICAL CRETREA AS PER FOLLOWING CALOUSES OF SBD CL.4.5.3(B)4.3(J)3.2OF ITB,22-Sep-2021 05:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,.pdf,7 AFFEDAVIT BID ARE TRUE AND CORRECT,AOC,,,,,,,,,,,,8.0,227046.0,Om Parkash Sharma And Sons,06-Aug-2021 01:11 PM,Rejected-Finance,HIGEST AMOUNT,02-Oct-2021 10:08 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,8 AFFIDAVIT NO RELATION (GAZETTED NON GAZETTED),AOC,,,,,,,,,,,,9.0,227833.0,rajat thakur govt contractor,06-Aug-2021 02:53 PM,Rejected-Technical,DOSE NOT FULFILL THE TECHANICAL CRETREA AS PER FOLLOWING CALOUSES OF SBD CL.4.5.3(B)4.3(J)3.2OF ITB,22-Sep-2021 05:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,9 LIST OF MACHINARY ALL TOOL PLANTS AND EQUOIPMENT WITH DOCUMENTARY PROOF,AOC,,,,,,,,,,,,10.0,227250.0,V.B Const Co.,06-Aug-2021 04:06 PM,Rejected-Technical,DOSE NOT FULFILL THE TECHANICAL CRETREA AS PER FOLLOWING CALOUSES OF SBD CL.4.5.3(B)4.3(J)3.2OF ITB,22-Sep-2021 05:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
