Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
ErSudhirGupta,Internal,ShAmarSinghVermaHDMShManojKumarSupdtShVaibhavJindalDAO,Sudhir Kumar Gupta,05-Aug-2021 10:31 AM,finsummary_73384.pdf (756.25 KB),01-Feb-2022,"INR 984,846",60.0,Sudhir Kumar Gupta,01-Feb-2022 02:42 PM,AOC48973_7.pdf (756.00 KB),AOC,PWD,2021_PWD_48973_7,SD-I-CTR-Tender-4682 dt 15-06-2021,C/O water storage tank in GAD colony Kasumpti Shimla (SH P/F water storage tank and steel for type-III set no.1 to 24 and type-II set No.25 to 29 at Mehli,ErSudhirGupta,Internal,ShAmarSinghVermaHDMShManojKumarSupdtShVaibhavJindalDAO,Parveen Kumar Verma,09-Jul-2021 05:23 PM,12-Jul-2021 11:00 AM,techsummary_73384.pdf (771.36 KB),Technical,Bid opening summary,Parveen Kumar Verma,09-Jul-2021 05:22 PM,technical_73384.pdf,1.0,221606.0,Abhijeet Sharma,06-Jul-2021 02:30 PM,Rejected-Finance,7th Lowest,05-Aug-2021 10:31 AM,Finance,Bid opening summary,Sudhir Kumar Gupta,13-Jul-2021 12:52 PM,finance_73384.pdf,BOQ Comparative Chart,1.0,221523.0,Bhupinder Verma,INR,"1,157,965",AOC,PWD,SD-I-CTR-Tender-4682 dt 15-06-2021,2021_PWD_48973_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form with UTR No (as per Schedule F),"19,700",No,fixed,,Nil,Nil,25-Jun-2021 06:00 PM,07-Jul-2021 11:00 AM,25-Jun-2021 06:00 PM,06-Jul-2021 04:00 PM,NA ,NA ,25-Jun-2021 06:00 PM,06-Jul-2021 04:00 PM,12-Jul-2021 11:00 AM,350.0,Nil,Nil,No,Executive Engineer Division No-IHPPWD Shimla-3,Executive Engineer Division No-IHPPWD Shimla-3,1.0,ICICI BANK,C/O water storage tank in GAD colony Kasumpti Shimla (SH P/F water storage tank and steel for type-III set no.1 to 24 and type-II set No.25 to 29 at Mehli,C/O water storage tank in GAD colony Kasumpti Shimla (SH P/F water storage tank and steel for type-III set no.1 to 24 and type-II set No.25 to 29 at Mehli,As per SBD ,NA ,,Civil Works,NA ,Tender,75.0,60.0,Shimla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-IHPPWD Shimla-3,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,221325.0,babu ram,05-Jul-2021 12:34 PM,Rejected-Finance,2nd Lowest,05-Aug-2021 10:31 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,EMD with UTR No (As per schedule F),,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,221523.0,Bhupinder Verma,06-Jul-2021 02:52 PM,Accepted-AOC,Awarded,01-Feb-2022 02:42 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,221381.0,Mandeep Thakur,06-Jul-2021 03:26 PM,Rejected-Finance,6th Lowest,05-Aug-2021 10:31 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,221461.0,Munish Jain,05-Jul-2021 06:15 PM,Rejected-Finance,5th Lowest,05-Aug-2021 10:31 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 counter signed by EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,220964.0,SUNIL KUMAR,05-Jul-2021 11:11 AM,Rejected-Finance,4th Lowest,05-Aug-2021 10:31 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.19 countersigned by EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,221397.0,Udit Sharma,06-Jul-2021 12:39 PM,Rejected-Finance,3rd Lowest,05-Aug-2021 10:31 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Report of charted Accountant showing total annual volume in last five years (Ref. gen. Rule No.28.2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Proof of registration under EPF and Miscellaneous provision Act. 1952 (latest copy of Return),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Form No. 7 8 (Refer General rule No 26.7). (submit the original as per schedule time and date),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
