Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
18-Feb-2022,"INR 36,697,538",700.0,Baldev Singh,18-Feb-2022 02:21 PM,AOC.pdf (316.00 KB),AWARDED TO NISCHAL MAHAJAN,SE,Internal,EE DAO SUPDT HDM(D),Baldev Singh,18-Feb-2022 02:19 PM,finsummary_80038.pdf (193.10 KB),EXECUTIVE ENGINEER,Internal,DAO SUPDT HDM AE,Baldev Singh,27-Nov-2021 01:18 PM,01-Dec-2021 10:30 AM,techsummary_80038.pdf (6542.71 KB),PWD,2021_PWD_53481_1,PWI/CB/II-C/TP/2021-5856-86 Dt 05-11-2021,Construction of 60.837 mtr span RCC Box girder type Bridge over Surajpur Khad at RD.0/285 on Mohtli to Jhikla Surajpur road and Construction of 31.89 meter 3span 10.37 meter each span RCC slab typ bridge over Tara Khad on Jassur Gangth Indora roa,Technical,ALL ARE RESPONSIVE,Baldev Singh,27-Nov-2021 01:14 PM,technical_80038.pdf,1.0,242722.0,ANIL MAHAJAN,18-Nov-2021 11:55 AM,Rejected-AOC,REJECTED,18-Feb-2022 02:21 PM,1.0,243114.0,Nishchal Mahajan,INR,"36,697,537.7",Finance,ALL ARE ADMITTED,Baldev Singh,18-Feb-2022 02:17 PM,finance_80038.pdf,BOQ Comparative Chart,AOC,"5,000",Nil,Nil,Yes,EXECUTIVE ENGINEER,HPPWD DIVISION INDORA,"5,70,000",Yes,fixed,,Nil,Nil,12-Nov-2021 09:00 AM,19-Nov-2021 10:00 AM,12-Nov-2021 09:00 AM,18-Nov-2021 05:00 PM,NA ,NA ,12-Nov-2021 09:00 AM,18-Nov-2021 05:00 PM,01-Dec-2021 10:30 AM,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender form,1.0,ICICI BANK,Construction of 60.837 mtr span RCC Box girder type Bridge over Surajpur Khad at RD.0/285 on Mohtli to Jhikla Surajpur road and Construction of 31.89 meter 3span 10.37 meter each span RCC slab typ bridge over Tara Khad on Jassur Gangth Indora roa,Construction of portion including approaches.,Please refer Tender documents. ,NA ,"2,84,94,754",Civil Works - Bridges,NA ,Tender,195.0,700.0,INDORA,176401.0,NA ,NA ,NA ,HPPWD DIVISION INDORA,No ,No,PWD,PWI/CB/II-C/TP/2021-5856-86 Dt 05-11-2021,2021_PWD_53481_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,243114.0,Nishchal Mahajan,18-Nov-2021 11:56 AM,Accepted-AOC,AWARDED,18-Feb-2022 02:21 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,243143.0,rajat thakur govt contractor,18-Nov-2021 02:09 PM,Rejected-AOC,REJECTED,18-Feb-2022 02:21 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Contractors Registration, GST Registration, EPF Registration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar Work Done/ Work In Hand as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Bid capacity , last 5 year Turnover statement duly issued by CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Details of technical staff employed by the contractor alongwith their experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,credit facility duly issued by the bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
