Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
Executive Engineer,Internal,"Supdt,HDM,DAO",Vinod Kanwar,19-Oct-2021 05:12 PM,finsummary_77089.pdf (1922.82 KB),19-Oct-2021,"INR 1,856,250",60.0,Vinod Kanwar,19-Oct-2021 05:16 PM,AOCRRBuildier.pdf (1923.00 KB),Attached,PWD,2021_PWD_51591_1,Micro Surfacing on Pilot bases for the preventive,Micro Surfacing on Pilot bases for the preventive maintenance on Jalari Galore Salauni Bijhari Deotsidh road Km. 0/0 to 50/800,Executive Engineer,Internal,"Supdt Gr-II, HDM,DAO",Vinod Kanwar,18-Sep-2021 12:57 PM,21-Sep-2021 03:00 PM,techsummary_77089.pdf (1041.80 KB),Technical,Attached,Vinod Kanwar,18-Sep-2021 12:53 PM,technical_77089.pdf,1.0,233271.0,KASMIR SINGH CONTACTOR,31-Aug-2021 09:13 PM,Rejected-AOC,L1L2L3L4,19-Oct-2021 05:16 PM,Finance,Attached,Vinod Kanwar,19-Oct-2021 05:09 PM,finance_77089.pdf,BOQ Comparative Chart,1.0,233396.0,M/S R.R.Builders,INR,"1,856,250",AOC,"42,500",No,fixed,,Nil,Nil,1.0,ICICI BANK,Executive Engineer,Executive Engineer Barsar Division HPPWD Barsar,500.0,Nil,Nil,No,Micro Surfacing on Pilot bases for the preventive maintenance on Jalari Galore Salauni Bijhari Deotsidh road Km. 0/0 to 50/800,SH Providing and laying Micro Surfacing in km 200 to 5/00,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,120.0,60.0,Barsar,174305.0,NA ,NA ,NA ,EE Barsar Division,No ,No,26-Aug-2021 10:30 AM,02-Sep-2021 10:30 AM,26-Aug-2021 10:30 AM,02-Sep-2021 10:30 AM,NA ,NA ,26-Aug-2021 10:30 AM,02-Sep-2021 10:30 AM,21-Sep-2021 03:00 PM,PWD,Micro Surfacing on Pilot bases for the preventive,2021_PWD_51591_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,1. Cost of Tender Form,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,233396.0,M/S R.R.Builders,01-Sep-2021 01:16 PM,Accepted-AOC,L1L2L3L4,19-Oct-2021 05:16 PM,,,,,,,,,,,,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,2. EMD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,233335.0,Piar Chand Chauhan,01-Sep-2021 02:18 PM,Rejected-AOC,L1L2L3L4,19-Oct-2021 05:16 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,3. Contractor Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,232754.0,S.S.Chauhans Construction Private Limted,01-Sep-2021 06:19 PM,Rejected-AOC,L1L2L3L4,19-Oct-2021 05:16 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,4. Similar Work Done certificate (Only Completed Work),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"5. GST No. with latest clearance return, EPF No. with latest clearance return, Labour License, PAN C",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,6. List of Machinery tools and plant with ownership documents/ Affidavit Magistrate/ Notary,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,7. Affidavit that information submitted by bidder is true and correct attested by Magistrate/ Notary,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,8. Work in hand certificate countersigned by the Engineer in Charge not below the rank of Executive,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,9. Affidavit Bidder should not have morethan 2 contracts at a time each of Rs. 100.0Lakhsormore in c,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,10. Affidavit regarding seen the site,AOC
