S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Category,Sub Category,Sub Category Description,Format/File,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Corrigendum,Other,,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,"Providing and Installation of 250 KVA D.G Set at civil Hospital at Sunder Nagar, District Mandi H.P","Providing and Installation of 250 KVA D.G Set at civil Hospital at Sunder Nagar, District Mandi H.P",Please refer to bid document ,NA ,"30,01,191",Electrical Works,NA ,Tender,75.0,180.0,Sunder Nagar,175018.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi",06-Aug-2021 10:00 AM,12-Aug-2021 11:30 AM,06-Aug-2021 10:00 AM,12-Aug-2021 10:00 AM,NA ,NA ,06-Aug-2021 10:00 AM,12-Aug-2021 10:00 AM,27-Aug-2021 11:05 AM,1.0,DD - Demand Draft,PWD,PW/MED/TA/NIT/ e-notice/21-22-3133-43 dt 29.07.21,2021_PWD_50810_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"1,500","Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,"52,550",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,AOC,Finance,FIN SUMMARY,Suresh Kumar Dhiman,04-Sep-2021 11:18 AM,finance_75986.pdf,BOQ Comparative Chart,1.0,229100.0,Digvijay Sharma,INR,"2,710,055",1.0,228617.0,Bhardwaj Electrical Co.,11-Aug-2021 01:10 PM,Rejected-Finance,Rejected being L3 firm/ contractor,04-Sep-2021 03:43 PM,Technical,Technical bid summary,Munish Bhopal,27-Aug-2021 10:54 AM,technical_75986.pdf,PWD,2021_PWD_50810_1,PW/MED/TA/NIT/ e-notice/21-22-3133-43 dt 29.07.21,"Providing and Installation of 250 KVA D.G Set at civil Hospital at Sunder Nagar, District Mandi H.P",Er Sanjay Kumar SE,Internal,Er R S Rana EE Er Munish Bhopal EE Er Sachin Thakut EO Smt Shankuntla Verma Superintendent,Munish Bhopal,27-Aug-2021 11:02 AM,27-Aug-2021 11:05 AM,techsummary_75986.pdf (770.34 KB),Er Munish Bhopal EE,Internal,Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt Sh Manish Kumar Clerk,Munish Bhopal,04-Sep-2021 03:43 PM,finsummary_75986.pdf (328.27 KB),18-Sep-2021,"INR 2,710,055",30.0,Munish Bhopal,08-Oct-2021 03:32 PM,AOC.pdf (539.00 KB),Work awarded to L1 contractor Sh Digvijay Sharma Elect Contr Class A,AOC
,,,,,,.pdf,OEM (DG Set) / Electrical contractor of appropriate class duly authorized by OEM as per TQC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,AOC,,,,,,,,,,,,2.0,229100.0,Digvijay Sharma,11-Aug-2021 07:02 PM,Accepted-AOC,work awarded being L1,08-Oct-2021 03:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,AOC,,,,,,,,,,,,3.0,229092.0,D.S Ranta Electrical Contractor,12-Aug-2021 09:46 AM,Rejected-Finance,Rejected being L4 firm/ contractor,04-Sep-2021 03:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,AOC,,,,,,,,,,,,4.0,229271.0,Haminder Pal,11-Aug-2021 01:51 PM,Rejected-Technical,Bid responsive but disqualified,27-Aug-2021 11:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,AOC,,,,,,,,,,,,5.0,229118.0,Kalra Hardware and Electric Store,11-Aug-2021 01:44 PM,Rejected-Finance,Rejected being L6 firm/ contractor,04-Sep-2021 03:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6.0,228721.0,KUMAR ELECTRONICS CO.,12-Aug-2021 09:43 AM,Rejected-Finance,Rejected being L2 firm/ contractor,04-Sep-2021 03:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7.0,229409.0,M/s Naresh Elecric Works,11-Aug-2021 06:30 PM,Rejected-Finance,Rejected being L5 firm/ contractor,04-Sep-2021 03:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt. Deptt / Board / PSU.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
