Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
400.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,1.0,ICICI BANK,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMROO-722-TA-Tender- 6621-70 dated 16/08/2021,2021_HPIPH_51326_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,LIS Mainthapal Nagal Suketi Moginand-III Khadri Manderwa Konthron Meerpur Kotla Churan Bankala Shambhuwala in Tehsil Nahan Distt. Sirmour HP,"C/O RCC sumpwell 60000 ltrs capacity 2 Nos, Distribution system RCC slab on existing pump house and C/o wire crate).",Please refer Tender documents. ,NA ,"21,48,883",Civil Works,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,"39,800",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,17-Aug-2021 05:00 PM,25-Aug-2021 11:30 AM,17-Aug-2021 05:00 PM,25-Aug-2021 11:00 AM,NA ,NA ,17-Aug-2021 05:00 PM,25-Aug-2021 11:00 AM,01-Sep-2021 12:10 PM,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,AOC,08-Oct-2021,"INR 2,148,883",90.0,Ashish Rana,08-Oct-2021 05:41 PM,AOC.pdf (777.00 KB),Award to Contractor,Finance,Financial Bid opening summary,Ashish Rana,01-Sep-2021 01:02 PM,finance_76723.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Ashish Rana,01-Sep-2021 12:05 PM,None,Er Ashish Rana EE,Internal,TA Supdt HDM DAO EE,Ashish Rana,01-Sep-2021 12:08 PM,01-Sep-2021 12:10 PM,techsummary_76723.pdf (144.65 KB),1.0,231932.0,BHAW SINGH KAPOOR CONTRACTOR,24-Aug-2021 03:22 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Sep-2021 12:05 PM,Er Ashish Rana EE,Internal,DM HDM EE,Ashish Rana,08-Oct-2021 05:40 PM,finsummary_76723.pdf (776.83 KB),"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2021_HPIPH_51326_5,NHN-SMROO-722-TA-Tender- 6621-70 dated 16/08/2021,LIS Mainthapal Nagal Suketi Moginand-III Khadri Manderwa Konthron Meerpur Kotla Churan Bankala Shambhuwala in Tehsil Nahan Distt. Sirmour HP,1.0,232094.0,viney sharma,INR,"1,823,497",AOC
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form as mentioned in NIT,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,232055.0,imIMRAN SHAH,24-Aug-2021 07:32 PM,Rejected-Finance,Reject,08-Oct-2021 05:40 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration in JSV vibhag as mentioned in NIT,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,232079.0,vineet kshetri,24-Aug-2021 09:32 PM,Rejected-Finance,Reject,08-Oct-2021 05:40 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration copy as mentioned in NIT,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,232094.0,viney sharma,24-Aug-2021 10:02 PM,Accepted-AOC,AOC,08-Oct-2021 05:41 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN and GST No. as mentioned in NIT,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint Venture is not allowed as mentioned in NIT,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and conditions as mentioned in NIT,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
