Name,Address,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi",1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,"Providing and Installation of 250 KVA D.G Set at CHC Teghubehar, District Kullu H.P","Providing and Installation of 250 KVA D.G Set at CHC Teghubehar, District Kullu H.P",please refer to bid document ,NA ,"29,99,441",Electrical Works,NA ,Tender,75.0,180.0,Tegubehar,175126.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,PWD,PW/MED/TA/NIT/ e-notice/21-22-2894-03 dt 15.07.21,2021_PWD_50489_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,29-Jul-2021 10:00 AM,05-Aug-2021 11:30 AM,29-Jul-2021 10:00 AM,05-Aug-2021 10:00 AM,NA ,NA ,29-Jul-2021 10:00 AM,05-Aug-2021 10:00 AM,07-Aug-2021 12:45 PM,"52,500",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,"1,500","Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,AOC,PWD,2021_PWD_50489_1,PW/MED/TA/NIT/ e-notice/21-22-2894-03 dt 15.07.21,"Providing and Installation of 250 KVA D.G Set at CHC Teghubehar, District Kullu H.P",SE,Internal,EE design EE Mandi EO Supdt,Munish Bhopal,07-Aug-2021 12:29 PM,07-Aug-2021 12:45 PM,techsummary_75513.pdf (339.48 KB),Er Munish Bhopal EE,Internal,Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt Sh Manish Kumar Clerk,Munish Bhopal,25-Aug-2021 10:41 AM,finsummary_75513.pdf (324.80 KB),03-Sep-2021,"INR 2,999,441",30.0,Munish Bhopal,08-Oct-2021 03:14 PM,AOC.pdf (556.00 KB),work awarded to M/s Kumar Electronics being L1 firm,1.0,227403.0,KUMAR ELECTRONICS CO.,INR,"2,999,441",Finance,Financial bid summary,Munish Bhopal,25-Aug-2021 10:26 AM,finance_75513.pdf,BOQ Comparative Chart,1.0,227592.0,Digvijay Sharma,04-Aug-2021 05:57 PM,Not Admitted-Fee/PreQual/Technical,Others-bid documents EMD Cost of tender not submitted physically,07-Aug-2021 12:18 PM,Technical,techsummary,Munish Bhopal,07-Aug-2021 12:18 PM,technical_75513.pdf,AOC
,,2.0,FDR - Fixed Deposit,,,.pdf,OEM (DG Set) / Electrical contractor of appropriate class duly authorized by OEM as per TQC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,227200.0,Kalra Hardware and Electric Store,03-Aug-2021 06:06 PM,Rejected-Finance,Rejected being L3 firm/ contractor,25-Aug-2021 10:41 AM,,,,,,AOC
,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,227403.0,KUMAR ELECTRONICS CO.,03-Aug-2021 11:46 PM,Accepted-AOC,work awarded being L1,08-Oct-2021 03:14 PM,,,,,,AOC
,,,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,227361.0,SHARMA ELECTRICAL CO.,03-Aug-2021 05:54 PM,Rejected-Finance,Rejected being L2 firm/ contractor,25-Aug-2021 10:41 AM,,,,,,AOC
,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt. Deptt / Board / PSU.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
