Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Corrigendum Title,Corrigendum Type,View,Tender Stage
Er D S Patial,Internal,Smt Karuna Sharma Superintendent Sh Jai Ram HDM Sh Kapil Soni Sr Asstt,Dalip singh Patial,17-Aug-2020 06:05 PM,finsummary_58233.pdf (350.36 KB),23-Nov-2020,"INR 750,300",90.0,Munish Bhopal,14-Oct-2021 12:46 PM,AOC.pdf (521.00 KB),work awarded to M/s SHARMA ELECTRICAL CO. being L1 firm,PWD,2020_PWD_39441_1,PW/MED/TA/NIT/ e-notice/20-21-1783-89 dt 18.07.20,"Replacement of Old damaged Batteries for UPS in Different buildings at Shri Lal Bahadur Shastri Govt. Medical College and Hospital, Nerchowk District Mandi HP",Er D S Patial EE,Internal,Smt Karuna sharma Supdt Sh Jai Ram HDM Sh Kapil Soni Sr Asstt,Dalip singh Patial,17-Aug-2020 04:30 PM,17-Aug-2020 04:35 PM,techsummary_58233.pdf (456.17 KB),Finance,Financial bid summary,Dalip singh Patial,17-Aug-2020 05:21 PM,finance_58233.pdf,BOQ Comparative Chart,1.0,172505.0,SHARMA ELECTRICAL CO.,INR,"750,300",Technical,Technical bid summary,Dalip singh Patial,17-Aug-2020 04:18 PM,technical_58233.pdf,1.0,172703.0,Ratwan Light House,11-Aug-2020 04:11 PM,Rejected-Technical,bid non responsive and disqualified,17-Aug-2020 04:31 PM,AOC,350.0,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,No,PWD,PW/MED/TA/NIT/ e-notice/20-21-1783-89 dt 18.07.20,2020_PWD_39441_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi",1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,03-Aug-2020 10:00 AM,14-Aug-2020 11:30 AM,03-Aug-2020 10:00 AM,13-Aug-2020 06:00 PM,NA ,NA ,03-Aug-2020 10:00 AM,13-Aug-2020 06:00 PM,17-Aug-2020 04:35 PM,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER INDICATED IN SCHEDULE F,","15,500",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,1.0,ICICI BANK,"Replacement of Old damaged Batteries for UPS in Different buildings at Shri Lal Bahadur Shastri Govt. Medical College and Hospital, Nerchowk District Mandi HP","Replacement of Old damaged Batteries for UPS in Different buildings at Shri Lal Bahadur Shastri Govt. Medical College and Hospital, Nerchowk District Mandi HP",Please refer to bid document ,NA ,"7,72,603",Electrical Works,NA ,Tender,75.0,90.0,Nerchowk,175008.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,1.0,corrigendum,Date,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,172716.0,Rohtash Verma,11-Aug-2020 04:53 PM,Rejected-Technical,bid responsive but disqualified,17-Aug-2020 04:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,172604.0,Saar Technologies,13-Aug-2020 03:59 PM,Rejected-Finance,Rejected being L2 firm,17-Aug-2020 06:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,.pdf,Approved OEM of UPS System or authorized agency of approved OEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,172546.0,SHARMA ELECTRICAL AND ELECTRONIC CO.,12-Aug-2020 04:54 PM,Rejected-Technical,bid responsive but disqualified,17-Aug-2020 04:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,172505.0,SHARMA ELECTRICAL CO.,10-Aug-2020 05:38 PM,Accepted-AOC,work awarded being L1,14-Oct-2021 12:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turnover of last three years as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of similar work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
