Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
26-Aug-2021 05:00 PM,03-Sep-2021 11:00 AM,26-Aug-2021 05:00 PM,02-Sep-2021 05:00 PM,NA ,NA ,26-Aug-2021 05:00 PM,02-Sep-2021 05:00 PM,08-Sep-2021 12:00 PM,PWD,SD-III-CB-TENDER/2021-22- 10195-10214 dated 19-08-,2021_PWD_51688_6,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",Improvement of road from Cart road to Annadale KMs 0/00 to 4/160. (SH- C/O PCC R/Wall at RDs 2/259 to 2/263).,Improvement of road from Cart road to Annadale KMs 0/00 to 4/160. (SH- C/O PCC R/Wall at RDs 2/259 to 2/263).,As per bidding documents ,NA ,"8,08,173",Civil Works,NA ,Tender,30.0,30.0,"Annadale, Shimla",171004.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) and Earnest Money as per schedule F (6.5),"16,200",No,fixed,,Nil,Nil,350.0,Nil,Nil,No,AOC,ER.P.K. Verma,External,Sh. Padam Sharma. Sh.R.S.Thakur. Sh.Gopal Singh,Sudhir Kumar Gupta,08-Sep-2021 11:37 AM,08-Sep-2021 12:00 PM,techsummary_77280.pdf (743.34 KB),PWD,2021_PWD_51688_6,SD-III-CB-TENDER/2021-22- 10195-10214 dated 19-08-,Improvement of road from Cart road to Annadale KMs 0/00 to 4/160. (SH- C/O PCC R/Wall at RDs 2/259 to 2/263).,30-Sep-2021,"INR 808,173",30.0,Sudhir Kumar Gupta,08-Oct-2021 03:42 PM,51688_6.pdf (400.00 KB),Aoc,ER.P.K. Verma,External,Sh. Padam Sharma. Sh.R.S.Thakur. Sh.Gopal Singh,Sudhir Kumar Gupta,30-Sep-2021 01:08 PM,finsummary_77280.pdf (551.19 KB),Finance,Bid opening summary,Sudhir Kumar Gupta,30-Sep-2021 12:49 PM,finance_77280.pdf,BOQ Comparative Chart,1.0,233632.0,Sandeep Chandel,INR,"727,335",1.0,233601.0,Lalit Thakur,02-Sep-2021 11:23 AM,Rejected-AOC,L2,08-Oct-2021 03:42 PM,Technical,Bid opening summary,Sudhir Kumar Gupta,08-Sep-2021 11:13 AM,technical_77280.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,233240.0,Narender Singh,02-Sep-2021 04:08 PM,Rejected-AOC,L3,08-Oct-2021 03:42 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,233632.0,Sandeep Chandel,02-Sep-2021 01:18 PM,Accepted-AOC,L1,08-Oct-2021 03:42 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,233661.0,Suresh Kumar,02-Sep-2021 03:37 PM,Rejected-Technical,ok,08-Sep-2021 11:37 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-8,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Turnover for last Five years as given by CA.,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per schedule F (6.9) and Work in hand certificate as per schedule F (6.10),,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
