S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,DD - Demand Draft,500.0,Executive Officer Municipal Council Sarkaghat,Municipal Council Sarkaghat,No,14-Jun-2021 11:00 AM,21-Jun-2021 11:00 AM,14-Jun-2021 11:00 AM,19-Jun-2021 05:00 PM,14-Jun-2021 11:00 AM ,19-Jun-2021 05:00 PM ,14-Jun-2021 11:00 AM,19-Jun-2021 05:00 PM,30-Jun-2021 11:00 AM,"Proposed new/repairwork of road,Path,Strengthing of Drain ,R/Wall etc.Ward No.7 Behar,Dabrog M.C. Sarkaghat Distt.Mandi (H.P)","Proposed new/repairwork of road,Path,Strengthing of Drain ,R/Wall etc.Ward No.7 Behar,Dabrog M.C. Sarkaghat Distt.Mandi (H.P)(SH C/O Link Road Slum Basthi RD. 0/160.00 To 0/325.00 Phase-II.",Please refer Tender documents. ,NA ,"5,00,310",Civil Works,NA ,Rate Contract,90.0,90.0,Sarkaghat,175024.0,NA ,NA ,NA ,sarkaghat,No ,No,"10,100",No,fixed,,Executive Officer Municipal Council Sarkaghat,Municipal Council Sarkaghat,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender,Directorate of Urban Development||Urban Development - UDDHP||Nagar Panchayat Sarkaghat - UDDHP,No.MC-SKT-Tender/2021-22 -1428-1432 Dt. 03-06-2021,2021_UDDHP_48409_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Officer,Executive Officer Municipal Council Sarkaghat,AOC,Rahul Jain Executive Officer MC. Sarkaghat,Internal,Raj Kumar Saini Assistant Engineer Attul Prasher Junior Engineer Daler Singh Junior Assistant,Attul Prasher,22-Jul-2021 01:36 PM,finsummary_72555.pdf (110.01 KB),Directorate of Urban Development||Urban Development - UDDHP||Nagar Panchayat Sarkaghat - UDDHP,2021_UDDHP_48409_1,No.MC-SKT-Tender/2021-22 -1428-1432 Dt. 03-06-2021,"Proposed new/repairwork of road,Path,Strengthing of Drain ,R/Wall etc.Ward No.7 Behar,Dabrog M.C. Sarkaghat Distt.Mandi (H.P)",1.0,218073.0,Kushal Kumar,INR,"1,024,277",Technical,order,Attul Prasher,22-Jun-2021 03:04 PM,technical_72555.pdf,Finance,Rahul Jain Executive Officer MC. Sarkaghat Raj Kumar Saini Assistant Engineer Attul Prasher Junior Engineer Daler Singh Junior Assistan,Attul Prasher,22-Jul-2021 01:22 PM,finance_72555.pdf,BOQ Comparative Chart,27-Sep-2021,"INR 1,024,277",90.0,Attul Prasher,28-Oct-2021 11:01 AM,ward7road.pdf (190.00 KB),AOC,1.0,218073.0,Kushal Kumar,19-Jun-2021 04:24 PM,Accepted-AOC,This is L1 bidder,28-Oct-2021 11:01 AM,Zaffar Iqbal Executive Officer MC. Sarkaghat,Internal,Raj Kumar Saini Assistant Engineer Attul Prasher Junior Engineer Daler Singh Junior Assistant,Attul Prasher,29-Jun-2021 01:20 PM,30-Jun-2021 11:00 AM,techsummary_72555.pdf (193.08 KB),AOC
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,218054.0,mr,19-Jun-2021 04:47 PM,Rejected-Finance,This is L2 Bidder,22-Jul-2021 01:37 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (General Rule No. 27),,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan No/ GST Registration General Rule 21),,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done certificate (General Rule 19 28.02b),,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand (General Rule 19 28.02b),,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information with the (Name of work is correct in all respect),,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour License,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
