S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Corrigendum regarding TQC,Other,,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER INDICATED IN SCHEDULE F,",PWD,PW/MED/TA/NIT/ e-notice/20-21-459-64 dt 29.05.2020,2020_PWD_38026_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,15-Jun-2020 10:00 AM,25-Jun-2020 11:00 AM,15-Jun-2020 10:00 AM,24-Jun-2020 06:00 PM,NA ,NA ,15-Jun-2020 10:00 AM,24-Jun-2020 06:00 PM,25-Jun-2020 12:10 PM,1.0,ICICI BANK,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi","Annual repair and maintenance of Nineteen Nos. Passenger Elevators installed in Shri Lal Bahadur Shastri Govt Medical College and Hospital, Nerchowk Distt Mandi HP","Annual repair and maintenance of Nineteen Nos. Passenger Elevators installed in Shri Lal Bahadur Shastri Govt Medical College and Hospital, Nerchowk Distt Mandi HP",Please refer to bid document ,NA ,"27,44,865",Electrical Works,NA ,Tender,120.0,365.0,Nerchowk,175008.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,"48,700",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,"1,500","Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,No,AOC,1.0,164395.0,SHARMA ELECTRICAL AND ELECTRONIC CO.,24-Jun-2020 11:15 AM,Accepted-AOC,work awarded,16-Oct-2021 11:12 AM,Technical,Technical bid summary,Dalip singh Patial,25-Jun-2020 11:56 AM,technical_56042.pdf,Finance,Financial bid summary,Dalip singh Patial,25-Jun-2020 12:49 PM,finance_56042.pdf,BOQ Comparative Chart,1.0,164395.0,SHARMA ELECTRICAL AND ELECTRONIC CO.,INR,"2,735,000",PWD,2020_PWD_38026_1,PW/MED/TA/NIT/ e-notice/20-21-459-64 dt 29.05.2020,"Annual repair and maintenance of Nineteen Nos. Passenger Elevators installed in Shri Lal Bahadur Shastri Govt Medical College and Hospital, Nerchowk Distt Mandi HP",Er Dalip Singh Patial EE,Internal,Smt Karuna Sharma Superintendent Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt,Dalip singh Patial,25-Jun-2020 12:03 PM,25-Jun-2020 12:10 PM,techsummary_56042.pdf (395.53 KB),Er Dalip Singh Patial EE,Internal,Smt Karuna Sharma Superintendent Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt,Dalip singh Patial,25-Jun-2020 12:54 PM,finsummary_56042.pdf (468.62 KB),01-Oct-2021,"INR 2,735,000",365.0,Munish Bhopal,16-Oct-2021 11:12 AM,AOC.pdf (615.00 KB),work awarded to SHARMA ELECTRICAL AND ELECTRONIC CO. being L1 firm,AOC
,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,164385.0,SHARMA ELECTRICAL CO.,24-Jun-2020 10:55 AM,Rejected-Finance,Rejected being L2 firm,25-Jun-2020 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,.pdf,Approved OEM (Lift) or authorized agency of approved OEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Financial turnover of last three years as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
