Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Tender Stage
25-Oct-2021,"INR 4,958,738",60.0,J.C. Kango,25-Oct-2021 12:04 PM,AOC.pdf (85.00 KB),AOC,Er JC Kanungo,Internal,Er JC Kanungo Suptt DAO DHD,J.C. Kango,25-Oct-2021 12:00 PM,finsummary_60978.pdf (41.71 KB),Er JC Kanungo,Internal,Er JC Kanungo Suptt DAO DHD TA,Yogesh Sharma,02-Dec-2020 02:20 PM,02-Dec-2020 02:25 PM,techsummary_60978.pdf (211.74 KB),PWD,2020_PWD_41320_1,PW_CHD_CBE9/2020-6939-6989dt 29-04-2020,Special Repair of Chopal to Kumbra road km 0/0 to 18/0 portion 3/375 to 3/590,Technical,Bid Opening Summary,Yogesh Sharma,02-Dec-2020 02:19 PM,technical_60978.pdf,1.0,181665.0,GOVIND SINGH,08-Oct-2020 02:44 PM,Rejected-Technical,Non Responsive,02-Dec-2020 02:23 PM,1.0,181670.0,Uttej Rathour,INR,"4,958,738",Finance,Bid Opening Summary,J.C. Kango,25-Oct-2021 11:53 AM,finance_60978.pdf,BOQ Comparative Chart,AOC,Special Repair of Chopal to Kumbra road km 0/0 to 18/0 portion 3/375 to 3/590,"P/L G-l ,G-ll, G-lll and Bituminous Concrete at RD 3/375 to 4/675",Please refer Tender documents.  ,NA ,"23,14,717",Civil Works - Roads,NA ,Tender,120.0,60.0,CHOPAL,171211.0,NA ,NA ,NA ,CHOPAL,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),03-Oct-2020 05:00 PM,09-Oct-2020 11:00 AM,03-Oct-2020 05:00 PM,08-Oct-2020 05:00 PM,NA ,NA ,03-Oct-2020 05:00 PM,08-Oct-2020 05:00 PM,02-Dec-2020 02:25 PM,"1,500",EE CHOPAL,CHOPAL,No,PWD,PW_CHD_CBE9/2020-6939-6989dt 29-04-2020,2020_PWD_41320_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"46,500",No,fixed,,EE CHOPAL,CHOPAL,EE CHOPAL,HPPWD CHOPAL,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,181681.0,Lok Pal Rathour,08-Oct-2020 03:15 PM,Rejected-AOC,Rejected,25-Oct-2021 12:04 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,181670.0,Uttej Rathour,08-Oct-2020 02:40 PM,Accepted-AOC,Accepted,25-Oct-2021 12:04 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
