Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Instrument Type,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
350.0,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,No,"Construction of Additional Accommodation for Government Senior Secondary School at Bagsaid, District Mandi HP SH Providing E I therein","Construction of Additional Accommodation for Government Senior Secondary School at Bagsaid, District Mandi HP SH Providing E I therein",Please refer to bid document ,NA ,"5,71,906",Electrical Works,NA ,Tender,75.0,365.0,Bagsaid,175035.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER INDICATED IN SCHEDULE F,",PWD,PW/MED/TA/NIT/ e-notice/3596-01 dt 17.09.20,2020_PWD_41258_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi","11,500",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,03-Oct-2020 10:00 AM,12-Oct-2020 11:30 AM,03-Oct-2020 10:00 AM,12-Oct-2020 10:00 AM,NA ,NA ,03-Oct-2020 10:00 AM,12-Oct-2020 10:00 AM,16-Oct-2020 04:15 PM,AOC,PWD,2020_PWD_41258_1,PW/MED/TA/NIT/ e-notice/3596-01 dt 17.09.20,"Construction of Additional Accommodation for Government Senior Secondary School at Bagsaid, District Mandi HP SH Providing E I therein",Er Dalip Singh Patial EE,Internal,Smt Karuna Sharma Superintendent Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt,Dalip singh Patial,16-Oct-2020 04:04 PM,16-Oct-2020 04:15 PM,techsummary_60854.pdf (334.75 KB),Er Dalip Singh Patial EE,Internal,Smt Karuna Sharma Superintendent Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt,Dalip singh Patial,16-Oct-2020 04:51 PM,finsummary_60854.pdf (491.00 KB),16-Aug-2021,"INR 681,445",365.0,Munish Bhopal,14-Oct-2021 04:49 PM,AOC.pdf (602.00 KB),work awarded to Pawan Kumar being L1,1.0,181877.0,Kashmir Singh,10-Oct-2020 04:44 PM,Rejected-Finance,rejected being L2 contractor,16-Oct-2020 04:53 PM,Technical,Technival bid summary,Dalip singh Patial,16-Oct-2020 04:01 PM,technical_60854.pdf,1.0,181874.0,Pawan Kumar,INR,"681,445",Finance,financial bid summary,Dalip singh Patial,16-Oct-2020 04:44 PM,finance_60854.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,181849.0,Mahesh Electrical And Electronich,10-Oct-2020 10:39 AM,Rejected-Technical,bid responsive but disqualilfied,16-Oct-2020 04:06 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,.pdf,Electrical contractor Class B or C with valid enlistment and valid electrical license,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,181874.0,Pawan Kumar,10-Oct-2020 03:48 PM,Accepted-AOC,work awarded,14-Oct-2021 04:48 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turnover of last three years as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of similar work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
