Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),PWD,PW_CHD_CBE9/2021-13387-13437 dt 19-03-2021,2021_PWD_45802_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Annual Maintenance on Datta Kenchi to Rarat road Km. 0/0 to 2/500,Providing renewal coat of 30mm thick bituminious conctete at Km. 0/0 to 2/500,Please refer Tender documents. ,NA ,"33,91,545",Civil Works - Roads,NA ,Tender,120.0,60.0,CHOUPAL,171211.0,NA ,NA ,NA ,CHOPAL,No ,No,20-Mar-2021 04:00 PM,27-Mar-2021 11:00 AM,20-Mar-2021 04:00 PM,25-Mar-2021 04:00 PM,NA ,NA ,20-Mar-2021 04:00 PM,25-Mar-2021 04:00 PM,17-Apr-2021 02:40 PM,"65,000",No,fixed,,EE CHOPAL,CHOPAL,1.0,DD - Demand Draft,500.0,EE CHOPAL,CHOPAL,No,EE CHOPAL,HPPWD CHOPAL,AOC,Finance,Bid Opening Summary,Ajay Gazta,27-Oct-2021 03:32 PM,finance_68957.pdf,BOQ Comparative Chart,1.0,205713.0,Uttej Rathour,INR,"3,273,375",1.0,205685.0,Lok Pal Rathour,24-Mar-2021 01:27 PM,Rejected-AOC,Rejected,27-Oct-2021 03:43 PM,Technical,Bid Opening Summary,Ajay Gazta,17-Apr-2021 02:37 PM,technical_68957.pdf,Er JC Kanungo,Internal,Er JC Kanungo Suptt DAO DHD TA,Ajay Gazta,17-Apr-2021 02:38 PM,17-Apr-2021 02:40 PM,techsummary_68957.pdf (207.52 KB),PWD,2021_PWD_45802_1,PW_CHD_CBE9/2021-13387-13437 dt 19-03-2021,Annual Maintenance on Datta Kenchi to Rarat road Km. 0/0 to 2/500,27-Oct-2021,"INR 3,273,375",60.0,Ajay Gazta,27-Oct-2021 03:43 PM,AOC.pdf (95.00 KB),AOC,Er JC Kanungo,Internal,Er JC Kanungo Suptt DAO DHD TA,Ajay Gazta,27-Oct-2021 03:39 PM,finsummary_68957.pdf (41.75 KB),AOC
,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,AOC,,,,,,,,,,,,2.0,205713.0,Uttej Rathour,24-Mar-2021 02:34 PM,Accepted-AOC,Accepted,27-Oct-2021 03:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
