Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage
HP SIDC Limited,2021_SIDC_51577_1,Job No. 9,Construction of Sakhi One Stop Centre Building at Una Distt. Una (HP).,SE,Internal,"DM, Manager(F), EE(HQ)",Sushant Singh Negi,13-Sep-2021 05:34 PM,finsummary_77065.pdf (31.28 KB),1.0,232890.0,M/S Parminder Singh Bagga Govt Contractor,INR,"3,711,793",12-Oct-2021,"INR 3,711,793",240.0,Sushant Singh Negi,28-Oct-2021 11:17 AM,parminderbagga.pdf (1422.00 KB),Award letter,1.0,232488.0,Anil Kumar,01-Sep-2021 03:16 PM,Rejected-Finance,Third lowest bidder,13-Sep-2021 05:34 PM,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,06-Sep-2021 04:25 PM,07-Sep-2021 11:00 AM,techsummary_77065.pdf (380.23 KB),Technical,Technical summary,Sushant Singh Negi,06-Sep-2021 02:54 PM,technical_77065.pdf,Finance,Financial summary,Sushant Singh Negi,13-Sep-2021 05:32 PM,finance_77065.pdf,BOQ Comparative Chart,AOC,HP SIDC Limited,Job No. 9,2021_SIDC_51577_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"54,500",No,fixed,,Nil,Nil,Executive Engineer,HPSIDC Ltd. Shimla,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),"3,600",Nil,Nil,No,Construction of Sakhi One Stop Centre Building at Una Distt. Una (HP).,Construction of Sakhi One Stop Centre Building at Una Distt. Una (HP).,Please refer Tender documents. ,NA ,"31,34,613",Civil Works,NA ,Tender,120.0,240.0,Una,174303.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,25-Aug-2021 11:00 AM,02-Sep-2021 11:00 AM,25-Aug-2021 11:00 AM,01-Sep-2021 05:00 PM,NA ,NA ,25-Aug-2021 11:00 AM,01-Sep-2021 05:00 PM,07-Sep-2021 11:00 AM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,232890.0,M/S Parminder Singh Bagga Govt Contractor,31-Aug-2021 11:27 PM,Accepted-AOC,AOC,28-Oct-2021 11:17 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,232502.0,Shallu Malik Govt Contractor,01-Sep-2021 11:43 AM,Rejected-Finance,Second lowest bidder,13-Sep-2021 05:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that you have not more than 2 works in hand each of Rs.100 lakh or above in any department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
