Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,technical bid summary,Dalip singh Patial,03-Mar-2021 06:06 PM,technical_66361.pdf,1.0,199466.0,Krishana Traders,20-Feb-2021 02:53 PM,Rejected-Technical,Bid responsive but disqualified,04-Mar-2021 10:40 AM,Finance,Fin summary,Dalip singh Patial,17-Jun-2021 04:33 PM,finance_66361.pdf,BOQ Comparative Chart,1.0,199322.0,LAL SINGH CONTRACTOR,INR,"683,975",12-Aug-2021,"INR 683,975",365.0,Munish Bhopal,08-Oct-2021 04:04 PM,AOC.pdf (644.00 KB),work awarded to Sh LAL SINGH CONTRACTOR being L1,Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt Sh Manish Kumar TA,Dalip singh Patial,17-Jun-2021 04:37 PM,finsummary_66361.pdf (283.37 KB),Er Dalip Singh Patial EE,Internal,Smt Karuna Sharma Superintendent Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt,Dalip singh Patial,04-Mar-2021 10:40 AM,04-Mar-2021 11:00 AM,techsummary_66361.pdf (343.40 KB),PWD,2021_PWD_44281_1,PW/MED/TA/NIT/ e-notice/20-21-6650-60 dt 04.02.21,Construction of Government Senior Secondary School at Saroa Science lab District Mandi SH Providing EI therein,AOC,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi",350.0,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,PWD,PW/MED/TA/NIT/ e-notice/20-21-6650-60 dt 04.02.21,2021_PWD_44281_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER INDICATED IN SCHEDULE F,",Construction of Government Senior Secondary School at Saroa Science lab District Mandi SH Providing EI therein,Construction of Government Senior Secondary School at Saroa Science lab District Mandi SH Providing EI therein,Please refer to bid document ,NA ,,Electrical Works,NA ,Tender,75.0,365.0,Saroa,175029.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,15-Feb-2021 10:00 AM,22-Feb-2021 11:30 AM,15-Feb-2021 10:00 AM,22-Feb-2021 10:00 AM,NA ,NA ,15-Feb-2021 10:00 AM,22-Feb-2021 10:00 AM,04-Mar-2021 11:00 AM,"11,300",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,AOC
,,,,,2.0,199322.0,LAL SINGH CONTRACTOR,19-Feb-2021 03:52 PM,Accepted-AOC,work awarded being L1,08-Oct-2021 04:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,198924.0,Mahesh Electrical And Electronich,17-Feb-2021 02:50 PM,Rejected-Finance,rejected being L2,17-Jun-2021 04:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,.pdf,CONTRACTORS REGISTRATION in HPPWD in appropriate Class B or C (Electrical) with valid Elect license,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,199692.0,MNBN Enterprises,22-Feb-2021 09:34 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-Mar-2021 06:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,5.0,199675.0,NITIN PROP A VIGHNA ELECTRICALS,22-Feb-2021 12:27 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-Mar-2021 06:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
