Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Tender Stage
Er Dalip Singh Patial EE,Internal,Smt Karuna Sharma Superintendent Sh Jai Ram HDM Sh Manish Kumar Clerk,Dalip singh Patial,06-Aug-2020 04:20 PM,finsummary_57777.pdf (515.06 KB),19-Sep-2020,"INR 2,205,000",180.0,Munish Bhopal,13-Oct-2021 01:04 PM,AOC.pdf (594.00 KB),Work awarded to SHARMA ELECTRICAL CO being L1 firm,PWD,2020_PWD_39136_1,PW/MED/TA/NIT/ e-notice/20-21-1440-45 dt 07.07.20,"Construction Mini Secretariat Building at Padhar, District Mandi HP SH Providing and fixing of One No. Electric Traction Lift Elevator for 8 Passenger therein",Er Dalip Singh Patial EE,Internal,Smt Karuna Sharma Superintendent Sh Jai Ram HDM Sh Ram Singh HDM,Dalip singh Patial,06-Aug-2020 01:03 PM,06-Aug-2020 01:15 PM,techsummary_57777.pdf (414.47 KB),Technical,Technical bid summary,Dalip singh Patial,06-Aug-2020 12:59 PM,technical_57777.pdf,1.0,170767.0,classic construction company,30-Jul-2020 02:31 PM,Rejected-Finance,Rejected being L2 firm,06-Aug-2020 04:20 PM,1.0,170396.0,SHARMA ELECTRICAL CO.,INR,"2,205,000",Finance,Financial bid summary,Dalip singh Patial,06-Aug-2020 04:14 PM,finance_57777.pdf,BOQ Comparative Chart,AOC,"1,500","Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,No,PWD,PW/MED/TA/NIT/ e-notice/20-21-1440-45 dt 07.07.20,2020_PWD_39136_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"48,000",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi",1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER INDICATED IN SCHEDULE F,",1.0,ICICI BANK,22-Jul-2020 10:00 AM,31-Jul-2020 11:30 AM,22-Jul-2020 10:00 AM,30-Jul-2020 06:00 PM,NA ,NA ,22-Jul-2020 10:00 AM,30-Jul-2020 06:00 PM,06-Aug-2020 01:15 PM,"Construction Mini Secretariat Building at Padhar, District Mandi HP SH Providing and fixing of One No. Electric Traction Lift Elevator for 8 Passenger therein","Construction Mini Secretariat Building at Padhar, District Mandi HP SH Providing and fixing of One No. Electric Traction Lift Elevator for 8 Passenger therein",Please refer to bid document ,NA ,"27,00,000",Electrical Works,NA ,Tender,120.0,180.0,Padhar,175012.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,170129.0,SHARMA ELECTRICAL AND ELECTRONIC CO.,28-Jul-2020 12:45 PM,Rejected-Technical,bid responsive but disqualified,06-Aug-2020 01:03 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,170396.0,SHARMA ELECTRICAL CO.,29-Jul-2020 11:14 AM,Accepted-AOC,work awarded being L1,13-Oct-2021 01:04 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Approved OEM of (Lift) or authorized agency of approved OEM of (Lift),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turnover of last three years as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
