Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi",20-May-2021 10:00 AM,27-May-2021 11:30 AM,20-May-2021 10:00 AM,27-May-2021 10:00 AM,NA ,NA ,20-May-2021 10:00 AM,27-May-2021 10:00 AM,11-Jun-2021 01:00 PM,"12,900",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,PWD,PW/MED/TA/NIT/ e-notice/21-22-903-13 dt 05.05.21,2021_PWD_47592_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,ICICI BANK,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,350.0,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,"Repair and maintenance of HVAC System Chiller Plant of Carrier make installed in the campus of SLBSGMC,Nerchowk Distt Mandi HP SH Providing of central figure compressor oil in whole chiller machine installed in HVAC plant therein","Repair and maintenance of HVAC System Chiller Plant of Carrier make installed in the campus of SLBSGMC,Nerchowk Distt Mandi HP SH Providing of central figure compressor oil in whole chiller machine installed in HVAC plant therein",Please refer to bid document ,NA ,,Electrical Works,NA ,Tender,75.0,90.0,Nerchowk,175008.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,AOC,PWD,2021_PWD_47592_1,PW/MED/TA/NIT/ e-notice/21-22-903-13 dt 05.05.21,"Repair and maintenance of HVAC System Chiller Plant of Carrier make installed in the campus of SLBSGMC,Nerchowk Distt Mandi HP SH Providing of central figure compressor oil in whole chiller machine installed in HVAC plant therein",Er Dalip Singh Patial EE,Internal,Smt Karuna Sharma Superintendent Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt,Dalip singh Patial,11-Jun-2021 12:58 PM,11-Jun-2021 01:00 PM,techsummary_71410.pdf (354.96 KB),Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt Sh Manish Kumar TA,Dalip singh Patial,23-Jun-2021 02:55 PM,finsummary_71410.pdf (294.63 KB),28-Jun-2021,"INR 637,500",60.0,Munish Bhopal,08-Oct-2021 02:44 PM,AOC.pdf (583.00 KB),Work awarded to L1 firm M/s Sharma Elect Co.,1.0,213695.0,SHARMA ELECTRICAL CO.,INR,"637,500",Finance,finsummary,Dalip singh Patial,23-Jun-2021 02:45 PM,finance_71410.pdf,BOQ Comparative Chart,1.0,213699.0,PRAGATI ELECTRICAL AND ELECTRONIC CO,26-May-2021 01:44 PM,Rejected-Finance,Rejected being L2 firm/ contractor,23-Jun-2021 02:55 PM,Technical,techbidsummary,Dalip singh Patial,11-Jun-2021 11:41 AM,technical_71410.pdf,AOC
,,.pdf,OEM of HVAC System/ Auth agency of OEM / appr. firm for executing specl job by HPPWD E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,213695.0,SHARMA ELECTRICAL CO.,26-May-2021 01:28 PM,Accepted-AOC,work awarded being L1,08-Oct-2021 02:44 PM,,,,,,AOC
,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt Deptt / Board / PSU.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
