Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
12-Oct-2021,"INR 6,527,527",180.0,Rahul Dhiman,12-Oct-2021 11:25 AM,Award_2.pdf (652.00 KB),Award Letter,Finance,financial bid opened on dated 13.08.2021,Rahul Dhiman,12-Oct-2021 11:15 AM,finance_74668.pdf,BOQ Comparative Chart,Technical,Technical Meting held on circle Dharamshala on dated 05.08.2021,Rahul Dhiman,13-Aug-2021 04:09 PM,technical_74668.pdf,Er.Rohit Dubey S.E.,Internal,Sh.Ashok Lakhnapal Supdt.Gr-I Er.Ajay Kumar AE(D) Er.Rahul Dhiman EE Er.Rahul Dubey EE (D),Rahul Dhiman,13-Aug-2021 04:13 PM,13-Aug-2021 04:15 PM,techsummary_74668.pdf (875.40 KB),1.0,223865.0,Ajay kumar,20-Jul-2021 12:25 PM,Rejected-Finance,highest amount,12-Oct-2021 11:21 AM,"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Nagrota Bagwan",2021_HPIPH_49912_1,NGB-KNG01-773,Construction of FIS Kadul Kuhl in GP Amtrar in tehsil Nagrota Bagwan,1.0,225049.0,KULBINDER SINGH GOVT CONTRACTOR,INR,"3,843,927",Er Rahul Dhiman EE,Internal,Sh S.P Verma Sr.DAO Smt Kanchan Bala HDM Smt.Anita Rana Supdt.-Gr-II,Rahul Dhiman,12-Oct-2021 11:21 AM,finsummary_74668.pdf (259.38 KB),AOC,"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Nagrota Bagwan",NGB-KNG01-773,2021_HPIPH_49912_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,15-Jul-2021 12:00 PM,24-Jul-2021 11:30 AM,15-Jul-2021 12:00 PM,24-Jul-2021 11:00 AM,NA ,NA ,15-Jul-2021 12:00 PM,24-Jul-2021 11:00 AM,13-Aug-2021 04:15 PM,"97,775",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Scanned copy of Cost of Form (online mode),800.0,Nil,Nil,No,Construction of FIS Kadul Kuhl in GP Amtrar in tehsil Nagrota Bagwan,Construction of FIS Kadul Kuhl in GP Amtrar in Tehsil Nagrota Bagwan distt.Kangra HP (SH_Construction of RCC Linning in main kuhl,Please refer Tender documents. ,NA ,"65,27,527",Civil Works - Water Works,NA ,Tender,90.0,180.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,Nagrota Bagwan,No ,No,Er.Rahul Dhiman EE,JSV Division Nagrota Bagwan,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,223538.0,JAI KARAN,24-Jul-2021 10:51 AM,Rejected-Technical,Reject,13-Aug-2021 04:13 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EMD (online mode),,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,3.0,224116.0,JEEVAN KUMAR,19-Jul-2021 10:33 PM,Rejected-Finance,highest amount,12-Oct-2021 11:21 AM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Enlistment with IPH Deptt./JSV,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,4.0,225049.0,KULBINDER SINGH GOVT CONTRACTOR,23-Jul-2021 06:41 PM,Accepted-AOC,1st Lowest,12-Oct-2021 11:25 AM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Income Tax/GST/EPF ESIC/Clearance certificate etc.,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,5.0,224612.0,Naveen Kumar,24-Jul-2021 09:29 AM,Rejected-Finance,highest amount,12-Oct-2021 11:21 AM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,6.0,225014.0,Sanjay Kumar,23-Jul-2021 03:54 PM,Rejected-Finance,highest amount,12-Oct-2021 11:21 AM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Undertaking Contractor/firm should not have blacklist from any Govt. Agency.,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,7.0,225031.0,Vijay Kumar,24-Jul-2021 10:46 AM,Rejected-Finance,highest amount,12-Oct-2021 11:21 AM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DSC authorization/undertaking must upload,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,Form6,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Termsandconditions,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC
