Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Copy of receipt of online payment on account of cost of tender form and earnest money,"5,800",No,fixed,,Nil,Nil,PWD,EE Dehra letter No.3182-86 dated 22.07.2021,2021_PWD_50682_35,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Restoration of Rain damages on Bhatoli Phakorian to Ban Chabbar road Km. 0/0 to 2/060,"C/O Cement concrete pavement at RD 0/255 to 0/270, 0/280 to 0/330 and V-shape drain at RD 0/120 to 0/270, U-shape drain at RD 0/280 to 0/330",Please refer to tender document ,NA ,,Civil Works - Roads,Repair of road ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,1.0,ICICI BANK,04-Aug-2021 10:00 AM,10-Aug-2021 11:30 AM,04-Aug-2021 10:00 AM,09-Aug-2021 06:00 PM,04-Aug-2021 10:00 AM ,06-Aug-2021 04:00 PM ,04-Aug-2021 10:00 AM,09-Aug-2021 06:00 PM,28-Aug-2021 10:30 AM,Executive Engineer,Dehra Division HPPWD Dehra,350.0,Nil,Nil,No,AOC,PWD,2021_PWD_50682_35,EE Dehra letter No.3182-86 dated 22.07.2021,Restoration of Rain damages on Bhatoli Phakorian to Ban Chabbar road Km. 0/0 to 2/060,1.0,228035.0,NISHANT SHARMA GOV CONTRACTER,06-Aug-2021 07:50 PM,Rejected-AOC,Rejected being highest bid amount,08-Oct-2021 05:33 PM,AOC
,,.pdf,Copy of valid enlistment in appropriate class as per enlistment rules 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,AOC,,,,,2.0,227849.0,RAJIV SHARMA GOVT CONTRACT SERVICE,09-Aug-2021 08:00 AM,Rejected-AOC,Rejected being highest bid amount,08-Oct-2021 05:33 PM,AOC
,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,3.0,228504.0,shubham sharma,09-Aug-2021 11:43 AM,Rejected-AOC,Rejected being highest bid amount,08-Oct-2021 05:33 PM,AOC
,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,AOC
,,.pdf,Aff showing the name of bid regarding correctness of documents/information furnished with the bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,AOC
,,.pdf,Aff. showing the detail of near relatives who are working in HPPWD as Gazetted/non Gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,AOC
,,.pdf,Affidavit with the declaration that he has not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,AOC
,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,AOC
,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,AOC
,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,AOC
