Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage
19-Oct-2021,"INR 4,115,018",30.0,Anil Nagpal,19-Oct-2021 01:37 PM,AOCKashmir.pdf (2018.00 KB),Attached,Executive Engineer,Internal,"Sudt,HDM,DAO",Anil Nagpal,19-Oct-2021 01:34 PM,finsummary_77401.pdf (442.88 KB),Executive Engineer,Internal,"GA, Supdt, HDM, DAO",Anil Nagpal,22-Sep-2021 04:55 PM,23-Sep-2021 03:00 PM,techsummary_77401.pdf (753.52 KB),PWD,2021_PWD_51771_1,Annual Maintenance Plan on Hareta to Bhaloo road,Annual Maintenance Plan on Hareta to Bhaloo road,Finance,Attached,Anil Nagpal,19-Oct-2021 01:32 PM,finance_77401.pdf,BOQ Comparative Chart,1.0,234654.0,KASMIR SINGH CONTACTOR,INR,"4,124,048.9",Technical,Attached,Anil Nagpal,22-Sep-2021 04:52 PM,technical_77401.pdf,1.0,234778.0,DEEPAK JOSHI,09-Sep-2021 04:42 PM,Rejected-Technical,Non Responsive,22-Sep-2021 04:55 PM,AOC,PWD,Annual Maintenance Plan on Hareta to Bhaloo road,2021_PWD_51771_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Executive Engineer Barsar Division HPPWD Barsar,"2,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,1. Cost of Tender Form,Annual Maintenance Plan on Hareta to Bhaloo road,SH Providing and laying bituminous concrete 30 mm thick in km 0/0 to 3/760) DRRP No HP-03-03 VR0060) Under PMGSY with paver finisher,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,60.0,30.0,Barsar,174305.0,NA ,NA ,NA ,EE Barsar,No ,No,"69,300",No,fixed,,Nil,Nil,02-Sep-2021 10:30 AM,10-Sep-2021 10:30 AM,02-Sep-2021 10:30 AM,10-Sep-2021 10:30 AM,NA ,NA ,02-Sep-2021 10:30 AM,10-Sep-2021 10:30 AM,23-Sep-2021 03:00 PM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,235222.0,Gian Chand Contactor,10-Sep-2021 08:56 AM,Rejected-AOC,L1L2,19-Oct-2021 01:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,2. EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,234654.0,KASMIR SINGH CONTACTOR,06-Sep-2021 08:55 PM,Accepted-AOC,L1L2,19-Oct-2021 01:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,3. Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,4. Similar Work Done certificate (Only Completed Work),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,"5. GST No. with latest clearance return, EPF No. with latest clearance return, Labour License, PAN C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,6. List of Machinery tools and plant with ownership documents/ Affidavit Magistrate/ Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,7. Affidavit that information submitted by bidder is true and correct attested by Magistrate/ Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,8. Work in hand certificate countersigned by the Engineer in Charge not below the rank of Executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,9. Affidavit Bidder should not have morethan 2 contracts at a time each of Rs. 100.0Lakhsormore in c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,10. Affidavit regarding seen the site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
