Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Er Dalip singh Patial EE,Internal,Sh Ram Singh Head Draughtsman Sh Yadvinder Kumar Sr Asstt Sh Manish Kumar Clerk,Dalip singh Patial,01-Dec-2018 03:14 PM,finsummary_34153.pdf (345.85 KB),16-Nov-2020,"INR 3,762,883",365.0,Munish Bhopal,13-Oct-2021 03:57 PM,AOC.pdf (618.00 KB),work awarded to M/s Ratwn Light House being L1 firm,PWD,2018_PWD_24431_1,PW/MED /TA/NIT/e-notice/18-19-6402-07 dt 22.10.18,Construction of New Indoor Block at CH Sarkaghat District Mandi HP SH Providing E.I therein,Er Sanjay Kumar SE,Internal,Er B S Gora EE Er D S Patial EE Er Pradeep Kumar EO Sh Jeet Ram Supdt,Dalip singh Patial,30-Nov-2018 10:50 AM,30-Nov-2018 11:00 AM,techsummary_34153.pdf (959.61 KB),Finance,Financial bid summary,Dalip singh Patial,01-Dec-2018 11:49 AM,finance_34153.pdf,BOQ Comparative Chart,1.0,100598.0,Ratwn Light House,INR,"3,762,883",Technical,Technical bid summary,Dalip singh Patial,30-Nov-2018 10:35 AM,technical_34153.pdf,1.0,100285.0,DHARMENDER SINGH,18-Nov-2018 04:48 PM,Rejected-Technical,bid not qualified,30-Nov-2018 10:50 AM,AOC,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,Corrigendum,Date,,"1,500",Executive Engineer Electrical Division HPPWD Mand,Mandi HP,No,1.0,DD - Demand Draft,Construction of New Indoor Block at CH Sarkaghat District Mandi HP SH Providing E.I therein,Construction of New Indoor Block at CH Sarkaghat District Mandi HP SH Providing E.I therein,Please refer to bid document ,NA ,"32,65,603",Electrical Works,NA ,Tender,120.0,365.0,Sarkaghat,175024.0,NA ,NA ,NA ,Electrical Division HPPWD Mandi H.P,No ,No,"56,500",No,fixed,,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,06-Nov-2018 10:00 AM,19-Nov-2018 11:30 AM,06-Nov-2018 10:00 AM,19-Nov-2018 10:00 AM,NA ,NA ,06-Nov-2018 10:00 AM,19-Nov-2018 10:00 AM,30-Nov-2018 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER INDICATED IN SCHEDULE F,Executive Engineer Electrical Division HPPWD Mand,Executive Engineer Electrical Division HPPWD Mandi,PWD,PW/MED /TA/NIT/e-notice/18-19-6402-07 dt 22.10.18,2018_PWD_24431_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,100655.0,Dhiman Elect-,18-Nov-2018 01:51 PM,Rejected-Technical,bid not qualified,30-Nov-2018 10:50 AM,AOC,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,100581.0,Digvijay Sharma,18-Nov-2018 04:16 PM,Rejected-Technical,bid not qualified,30-Nov-2018 10:50 AM,AOC,3.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid CONTRACTOR REGISTRATION in appropriate Class A,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,100268.0,KUMAR ELECTRONICS CO.,18-Nov-2018 08:28 PM,Rejected-Finance,rejected being L2,01-Dec-2018 03:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid Electrical license REFER GENERAL RULES NO 23,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,100649.0,LAL SINGH CONTRACTOR,18-Nov-2018 01:34 PM,Rejected-Technical,bid not qualified,30-Nov-2018 10:50 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,100256.0,M/s Ravindra Electrical,18-Nov-2018 09:02 PM,Rejected-Technical,bid not qualified,30-Nov-2018 10:50 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PERMANENT ACCOUNT NUMBER (PAN),,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,100598.0,Ratwn Light House,18-Nov-2018 05:45 PM,Accepted-AOC,work awarded being L1,13-Oct-2021 03:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGITRATION GENERAL RULES NO. 21,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,100199.0,SHARMA ELECTRICAL CO.,14-Nov-2018 03:38 PM,Rejected-Technical,bid not qualified,30-Nov-2018 10:50 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES NO,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,AOC
