Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Dr. Mandeep Gupta EE,Internal,Dman HDM EE,Mandeep Gupta,12-Mar-2021 01:16 PM,12-Mar-2021 01:30 PM,techsummary_67477.pdf (100.26 KB),1.0,201767.0,Ranjeet Singh,04-Mar-2021 09:38 PM,Accepted-AOC,AOC,13-Oct-2021 01:09 PM,13-Oct-2021,"INR 18,967,263",180.0,Ashish Rana,13-Oct-2021 01:09 PM,AOC.pdf (846.00 KB),Award to Contrator,Finance,Fianancial Bid OPenign Summary,Mandeep Gupta,12-Mar-2021 04:51 PM,finance_67477.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Mandeep Gupta,12-Mar-2021 01:12 PM,technical_67477.pdf,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2021_HPIPH_44930_3,NHN-SMR00-722- 16027-16107 dt 26-02-2021,Providing WSS to NC/PC habitation Bag Pashog by lifting water from Giri river under Jal Jeevan Mission by Aug. of LWSS to NC/PC hab Bag Pashog in GP Bag Pashog Tehsil Pachhad,1.0,201767.0,Ranjeet Singh,INR,"1,299,580",SE,Internal,Supdt WS CHD AED EENahan EED,Ashish Rana,13-Oct-2021 01:07 PM,finsummary_67477.pdf (846.25 KB),AOC,1.0,ICICI BANK,01-Mar-2021 05:30 PM,08-Mar-2021 11:30 AM,01-Mar-2021 05:30 PM,08-Mar-2021 11:00 AM,NA ,NA ,01-Mar-2021 05:30 PM,08-Mar-2021 11:00 AM,12-Mar-2021 01:30 PM,Providing WSS to NC/PC habitation Bag Pashog by lifting water from Giri river under Jal Jeevan Mission by Aug. of LWSS to NC/PC hab Bag Pashog in GP Bag Pashog Tehsil Pachhad,Providing Laying jointing and testing of GMS pipes various dia in distribution system,Please refer Tender documents. ,NA ,"18,96,723",Pipe Laying Works,NA ,Tender,120.0,180.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMR00-722- 16027-16107 dt 26-02-2021,2021_HPIPH_44930_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,400.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT.,"36,000",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,AOC
,,,,,,,2.0,202135.0,RAVI DUTT CONTRACTOR,07-Mar-2021 03:12 PM,Rejected-Finance,Reject,13-Oct-2021 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of TEnder Form as mentioned in NIT.,,,,,,,AOC
,,,,,,,3.0,202061.0,Vijay Pal Singh,08-Mar-2021 06:45 AM,Rejected-Finance,reject,13-Oct-2021 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Registration in HPJSV as mentioned in NIT.,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration as mentioned in NIT.,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No. and GST No. as mentioned in NIT.,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertakng regarding Joint Venture is not alllowed,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and conditions as mentioned in NIT.,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,AOC
