S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,FDR - Fixed Deposit,"20,000",No,fixed,,District Project Officer IDP Una,Una,30-Jul-2021 05:00 PM,16-Aug-2021 11:00 AM,30-Jul-2021 05:00 PM,13-Aug-2021 05:00 PM,30-Jul-2021 05:00 PM ,13-Aug-2021 05:00 PM ,30-Jul-2021 05:00 PM,13-Aug-2021 05:00 PM,16-Aug-2021 03:20 PM,1.0,Fee/PreQual/Technical,.pdf,"tender form fee (INR 500/-)in the form of DD favoring District Project Officer, IDP Una or E-Challan",500.0,District Project Officer IDP Una,Una,No,District Project Officer IDP Una,District Project Officer Integrated Development Project Santoshgarh Road opposite KVK Una HP Ph 01975292077,Chief Project Director IDP Solan||DPO Una,W/WHS/Thk/60/ 2021-22,2021_CPD1_50577_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Construction of Cement Concrete Check dam in Satkundian da choe/ Billan Da Karaha in Village Baghnal, Ward No 4, GP Ambehra Dheeraj,Una, HP","Construction of Cement Concrete Check dam in Satkundian da choe/ Billan Da Karaha in Village Baghnal, Ward No 4, GP Ambehra Dheeraj, Distt Una, HP",Please refer Tender documents. ,NA ,"9,20,000",Civil Works - Water Works,NA ,Tender,90.0,90.0,Una,174303.0,NA ,NA ,NA ,Una,No ,No,AOC,31-Aug-2021,"INR 441,689",90.0,Rahul Sharma,04-Oct-2021 12:00 PM,img-211004115931-001.pdf (3789.00 KB),1.0,229801.0,Nirmal Singh,INR,"441,689",Ms Priti,Internal,Ms Sunita and Mr Baljeet,Rahul Sharma,16-Aug-2021 04:03 PM,finsummary_75664.pdf (549.82 KB),Chief Project Director IDP Solan||DPO Una,2021_CPD1_50577_1,W/WHS/Thk/60/ 2021-22,"Construction of Cement Concrete Check dam in Satkundian da choe/ Billan Da Karaha in Village Baghnal, Ward No 4, GP Ambehra Dheeraj,Una, HP",Finance,Financial bid opened on dated 16.08.21 at Una,Rahul Sharma,16-Aug-2021 03:56 PM,finance_75664.pdf,BOQ Comparative Chart,Technical,Technical Evaluation,Priti Prashar,16-Aug-2021 02:39 PM,technical_75664.pdf,Ms Priti,Internal,Ms Sunita and Mr Baljeet,Rahul Sharma,16-Aug-2021 03:19 PM,16-Aug-2021 03:20 PM,techsummary_75664.pdf (549.82 KB),1,229759,Ashok Kumar,13-Aug-2021 12:04 PM,Rejected-Finance,higher rate than L1,16-Aug-2021 04:03 PM,AOC
,,,,,,,,,,,,,,,,,,,.pdf,Bid security/EMD amounting INR 20000/- in the form of FDR from any commercial bank only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,229748,Ashwani Kumar,13-Aug-2021 11:27 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Aug-2021 02:39 PM,AOC
,,,,,,,,,,,,,,,,,,,.pdf,Certificate of contractor registration with Integrated Development Project (IDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,229800,Bawa Ram,13-Aug-2021 02:23 PM,Rejected-Finance,higher rate than L1,16-Aug-2021 04:03 PM,AOC
,,,,,,,,,,,,,,,,,,,.pdf,"PAN, GST registration, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,229760,Jiwan Singh,13-Aug-2021 12:53 PM,Rejected-Finance,higher rate than L1,16-Aug-2021 04:03 PM,AOC
,,,,,,,,,,,,,,,,,,,.pdf,"Bank details of the bidder mentioning Account Number, IFSC, etc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,229603,Madan Lal,12-Aug-2021 03:50 PM,Rejected-Finance,higher rate than L1,16-Aug-2021 04:03 PM,AOC
,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of undertaking agreeing to terms and conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,229773,Neeraj Kumar,13-Aug-2021 12:56 PM,Rejected-Finance,higher rate than L1,16-Aug-2021 04:03 PM,AOC
,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,229801,Nirmal Singh,13-Aug-2021 03:23 PM,Accepted-AOC,L1,04-Oct-2021 12:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,229813,Prafull Bedi,13-Aug-2021 03:49 PM,Rejected-Finance,higher rate than L1,16-Aug-2021 04:03 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,229756,Rana Contractor,13-Aug-2021 01:35 PM,Rejected-Finance,higher rate than L1,16-Aug-2021 04:03 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,228952,SANJEEV KUMAR,12-Aug-2021 03:17 PM,Rejected-Finance,higher rate than L1,16-Aug-2021 04:03 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,229851,Satvinder Sharma,13-Aug-2021 04:02 PM,Rejected-Finance,higher rate than L1,16-Aug-2021 04:03 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,229529,Vipan Kumar,12-Aug-2021 02:19 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Aug-2021 02:39 PM,AOC
