Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Micro Surfacing on Pilot bases for the preventive maintenance on Jalari Galore Salauni Bijhari Deotsidh road Km. 0/0 to 50/800,"SH Providing and laying Micro Surfacing in km 3/00 to 41/00,42/00 to 44/00 and 46/00 to 48/00",Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,120.0,60.0,Barsar,174305.0,NA ,NA ,NA ,EE Barsar Division,No ,No,PWD,Micro Surfacing on Pilot bases for the preventive,2021_PWD_51596_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,above of the EMD Amount,Fee,,"86,900",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,1. Cost of Tender Form,"2,000",Nil,Nil,No,Executive Engineer,Executive Engineer Barsar Division HPPWD Barsar,26-Aug-2021 10:30 AM,02-Sep-2021 10:30 AM,26-Aug-2021 10:30 AM,02-Sep-2021 10:30 AM,NA ,NA ,26-Aug-2021 10:30 AM,02-Sep-2021 10:30 AM,21-Sep-2021 03:00 PM,1.0,ICICI BANK,AOC,Executive Engineer,Internal,"Supdt Gr-II, HDM, DAO",Vinod Kanwar,18-Sep-2021 01:58 PM,21-Sep-2021 03:00 PM,techsummary_77097.pdf (1046.26 KB),PWD,2021_PWD_51596_1,Micro Surfacing on Pilot bases for the preventive,Micro Surfacing on Pilot bases for the preventive maintenance on Jalari Galore Salauni Bijhari Deotsidh road Km. 0/0 to 50/800,19-Oct-2021,"INR 4,331,250",60.0,Vinod Kanwar,19-Oct-2021 04:51 PM,AOCRRBuildier.pdf (1882.00 KB),Attached,Executive Engineer,Internal,"Supdt,HDM,DAO",Vinod Kanwar,19-Oct-2021 04:48 PM,finsummary_77097.pdf (664.19 KB),Finance,Attached,Vinod Kanwar,19-Oct-2021 04:45 PM,finance_77097.pdf,BOQ Comparative Chart,1.0,233392.0,M/S R.R.Builders,INR,"4,331,250",1.0,232992.0,KASMIR SINGH CONTACTOR,30-Aug-2021 06:17 PM,Rejected-AOC,L1L2L3,19-Oct-2021 04:51 PM,Technical,Attached,Vinod Kanwar,18-Sep-2021 01:55 PM,technical_77097.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,2. EMD,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,233392.0,M/S R.R.Builders,01-Sep-2021 01:04 PM,Accepted-AOC,L1L2L3,19-Oct-2021 04:51 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,3. Contractor Registration,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,233339.0,Piar Chand Chauhan,01-Sep-2021 02:25 PM,Rejected-Technical,Non Responsive,18-Sep-2021 01:58 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,4. Similar Work Done certificate (Only Completed Work),,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,232753.0,S.S.Chauhans Construction Private Limted,01-Sep-2021 06:15 PM,Rejected-AOC,L1L2L3,19-Oct-2021 04:51 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"5. GST No. with latest clearance return, EPF No. with latest clearance return, Labour License, PAN C",,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,6. List of Machinery tools and plant with ownership documents/ Affidavit Magistrate/ Notary,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,7. Affidavit that information submitted by bidder is true and correct attested by Magistrate/ Notary,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,8. Work in hand certificate countersigned by the Engineer in Charge not below the rank of Executive,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,9. Turn over last 5 Years duly signed by the CA.,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,10. Affidavit regarding seen the site,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
