S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,DD - Demand Draft,"1,500","Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,"52,500",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,PWD,PW/MED/TA/NIT/ e-notice/21-22-2894-03 dt 15.07.21,2021_PWD_50432_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,"Providing and Installation of 250 KVA D.G Set at Civil Hospital Sarkaghat, District Mandi H.P","Providing and Installation of 250 KVA D.G Set at Civil Hospital Sarkaghat, District Mandi H.P",Please refer to bid document for TQC ,NA ,"29,99,441",Electrical Works,NA ,Tender,75.0,180.0,Sarkaghat,175024.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,29-Jul-2021 10:00 AM,05-Aug-2021 11:30 AM,29-Jul-2021 10:00 AM,05-Aug-2021 10:00 AM,NA ,NA ,29-Jul-2021 10:00 AM,05-Aug-2021 10:00 AM,07-Aug-2021 12:45 PM,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi",AOC,PWD,2021_PWD_50432_1,PW/MED/TA/NIT/ e-notice/21-22-2894-03 dt 15.07.21,"Providing and Installation of 250 KVA D.G Set at Civil Hospital Sarkaghat, District Mandi H.P",SE,Internal,EE Design EE Mandi EO Supdt,Munish Bhopal,07-Aug-2021 12:41 PM,07-Aug-2021 12:45 PM,techsummary_75458.pdf (339.48 KB),Er Munish Bhopal EE,Internal,Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt Sh Manish Kumar Clerk,Munish Bhopal,25-Aug-2021 10:57 AM,finsummary_75458.pdf (327.83 KB),03-Sep-2021,"INR 2,999,441",180.0,Munish Bhopal,16-Oct-2021 12:26 PM,AOC.pdf (583.00 KB),work awarded to M/s SHARMA ELECTRICAL CO. being L1 firm,1.0,227542.0,Digvijay Sharma,04-Aug-2021 05:29 PM,Not Admitted-Fee/PreQual/Technical,Others-bid documents EMD Cost of tender not submitted physically,07-Aug-2021 12:15 PM,Technical,techsummary,Munish Bhopal,07-Aug-2021 12:15 PM,technical_75458.pdf,Finance,finsummary,Munish Bhopal,25-Aug-2021 10:23 AM,finance_75458.pdf,BOQ Comparative Chart,1.0,227271.0,SHARMA ELECTRICAL CO.,INR,"2,999,441",AOC
2.0,FDR - Fixed Deposit,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,.pdf,OEM (DG Set) / Electrical contractor of appropriate class duly authorized by OEM as per TQC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,227209.0,Kalra Hardware and Electric Store,03-Aug-2021 05:55 PM,Rejected-Finance,Rejected being L3 firm/ contractor,25-Aug-2021 10:57 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,227489.0,KUMAR ELECTRONICS CO.,04-Aug-2021 01:39 PM,Rejected-Finance,Rejected being L2 firm/ contractor,25-Aug-2021 10:57 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,227271.0,SHARMA ELECTRICAL CO.,03-Aug-2021 04:49 PM,Accepted-AOC,work awarded,16-Oct-2021 12:26 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt. Deptt / Board / PSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
