Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Instrument Type,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Technical,technical bid summary,Dalip singh Patial,03-Jul-2019 11:17 AM,technical_39213.pdf,1.0,116337.0,DHARMENDER SINGH,27-Feb-2019 08:29 PM,Rejected-Technical,Bid Non responsive and disqualified,03-Jul-2019 11:57 AM,1.0,115957.0,Digvijay Sharma,INR,"2,246,873",Finance,Financial bid summary,Dalip singh Patial,03-Jul-2019 03:52 PM,finance_39213.pdf,BOQ Comparative Chart,25-May-2021,"INR 2,246,873",365.0,Munish Bhopal,21-Oct-2021 12:41 PM,AOC.pdf (570.00 KB),work awarded to Digvijay Sharma bein gL1 contr,Er Dalip singh Patial EE,Internal,Sh. Jai Ram HDM Smt. Karuna Sharma Superintendent Sh Yadvinder Kumar Sr Asstt,Dalip singh Patial,03-Jul-2019 03:55 PM,finsummary_39213.pdf (506.70 KB),Er Sanjay Kumar SE,Internal,Er B S Gora EE Er D S Patial EE Er Deepak Rawat EO Supdt,Dalip singh Patial,03-Jul-2019 11:57 AM,03-Jul-2019 12:30 PM,techsummary_39213.pdf (605.94 KB),PWD,2019_PWD_27535_1,PW/MED/TA /NIT/e-notice/18-19-9602-05 dt 29.01.19,"Construction of CHC Building at Rohanda, Tehsil Sunder Nagar, District- Mandi HP SH Providing E.I therein",AOC,500.0,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,No,PWD,PW/MED/TA /NIT/e-notice/18-19-9602-05 dt 29.01.19,2019_PWD_27535_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER INDICATED IN SCHEDULE F,","35,150",No,fixed,,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,"Construction of CHC Building at Rohanda, Tehsil Sunder Nagar, District- Mandi HP SH Providing E.I therein","Construction of CHC Building at Rohanda, Tehsil Sunder Nagar, District- Mandi HP SH Providing E.I therein",Please refer to NIT and bid document ,NA ,"18,42,091",Electrical Works,NA ,Tender,120.0,365.0,Rohanda,175031.0,NA ,NA ,NA ,Electrical Division HPPWD Mandi H.P,No ,No,1.0,DD - Demand Draft,Executive Engineer Electrical Division HPPWD Mand,Executive Engineer Electrical Division HPPWD Mandi,18-Feb-2019 01:00 PM,28-Feb-2019 11:30 AM,18-Feb-2019 01:00 PM,28-Feb-2019 10:00 AM,NA ,NA ,18-Feb-2019 01:00 PM,28-Feb-2019 10:00 AM,03-Jul-2019 12:30 PM,AOC
,,,,,2.0,115957.0,Digvijay Sharma,27-Feb-2019 07:02 PM,Accepted-AOC,work awarded,21-Oct-2021 12:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,AOC
,,,,,3.0,116305.0,LAL SINGH CONTRACTOR,27-Feb-2019 06:46 PM,Rejected-Technical,Bid Non responsive and disqualified,03-Jul-2019 11:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,.pdf,Valid Contractor Registration (Electrical) in appropriate Class A or B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,113719.0,Rohtash Verma,27-Feb-2019 07:54 PM,Rejected-Technical,Bid Non responsive and disqualified,03-Jul-2019 11:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,.pdf,valid electrical license,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,5.0,116120.0,SATPAL,27-Feb-2019 05:00 PM,Rejected-Technical,Bid Non responsive and disqualified,03-Jul-2019 11:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST REGITRATION GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,6.0,116332.0,TARUN GUPTA,27-Feb-2019 09:35 PM,Rejected-Finance,rejected being L2,03-Jul-2019 03:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
