Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
25-Oct-2021,"INR 4,308,050",60.0,J.C. Kango,25-Oct-2021 01:46 PM,3.pdf (77.00 KB),AOC,Er JC Kanungo,Internal,Er JC Kanungo Suptt DAO DHD,J.C. Kango,25-Oct-2021 01:45 PM,finsummary_63469.pdf (41.44 KB),Er JC Kanungo,Internal,Er JC Kanungo Suptt DAO DHD TA,Yogesh Sharma,18-Dec-2020 01:19 PM,18-Dec-2020 01:25 PM,techsummary_63469.pdf (208.25 KB),PWD,2020_PWD_42828_1,PW_CHD_CBE9/2020-7972-8072 dt 30-10-2020,A R and M O Sailpab to Kupvi road km 110/500 to 132/0,Technical,Bid Opening Summary,Yogesh Sharma,18-Dec-2020 01:17 PM,technical_63469.pdf,1.0,190211.0,Lok Pal Rathour,02-Dec-2020 07:00 PM,Rejected-AOC,Rejected,25-Oct-2021 01:46 PM,1.0,190207.0,Uttej Rathour,INR,"4,308,050",Finance,Bid Opening Summary,J.C. Kango,25-Oct-2021 01:41 PM,finance_63469.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),PWD,PW_CHD_CBE9/2020-7972-8072 dt 30-10-2020,2020_PWD_42828_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,EE CHOPAL,HPPWD CHOPAL,1.0,DD - Demand Draft,"36,000",No,fixed,,EE CHOPAL,CHOPAL,A R and M O Sailpab to Kupvi road km 110/500 to 132/0,Providing and supplying bituminous Materials,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,120.0,60.0,EE CHOPAL,171211.0,NA ,NA ,NA ,CHOPAL,No ,No,28-Nov-2020 05:00 PM,05-Dec-2020 11:00 AM,28-Nov-2020 05:00 PM,03-Dec-2020 05:00 PM,NA ,NA ,28-Nov-2020 05:00 PM,03-Dec-2020 05:00 PM,18-Dec-2020 01:25 PM,500.0,EE CHOPAL,CHOPAL,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,190207.0,Uttej Rathour,02-Dec-2020 06:09 PM,Accepted-AOC,Accepted,25-Oct-2021 01:46 PM,,,,,,,,,,,,AOC,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
