Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"Executive Engineer, HPPWD Division Tauni Devi","Executive Engineer, HPPWD Division Tauni Devi","20,000",No,fixed,,Nil,Nil,1.0,EMD,Fee,,PWD,No.PWD/TDD/GA-TD-,2021_PWD_49890_1,Yes,Open Tender,Item Rate,Works,3.0,No,No,Online,No,No,No,1.0,Fee,.pdf,Fee,14-Jul-2021 06:00 PM,20-Jul-2021 11:00 AM,14-Jul-2021 06:00 PM,20-Jul-2021 11:00 AM,NA ,NA ,14-Jul-2021 06:00 PM,20-Jul-2021 11:00 AM,20-Jul-2021 05:20 PM,C/O approach road for 102.50mtr. span PSC box girder type bridge Over Bakkar Khad at RD. 4/594 and C/O 50.00mtr.span PSC box girder type bridge over Jiana Nallah at RD. 4/300 on Purli to Kujabalh via Jiana road,ROFD in km. 4/255 to 4/300 purli side between 50mtr. and 102.50mtr. bridge 4/375 to 4/414.90 and Kujabalh side 4/515 to 4/550,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,30.0,Executive Engineer Tauni Devi Division,177023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Tauni Devi",No ,No,350.0,Nil,Nil,No,1.0,ICICI BANK,AOC,PWD,2021_PWD_49890_1,No.PWD/TDD/GA-TD-,C/O approach road for 102.50mtr. span PSC box girder type bridge Over Bakkar Khad at RD. 4/594 and C/O 50.00mtr.span PSC box girder type bridge over Jiana Nallah at RD. 4/300 on Purli to Kujabalh via Jiana road,EE,Internal,SUPDT/HDM/DAO/AE,Arvind Lakhanpal,20-Jul-2021 05:12 PM,20-Jul-2021 05:20 PM,techsummary_74643.pdf (2423.11 KB),EE,Internal,Supdt/HDM/DAO,Arvind Lakhanpal,10-Aug-2021 05:16 PM,finsummary_74643.pdf (115.85 KB),01-Oct-2021,"INR 999,799",60.0,Arvind Lakhanpal,12-Oct-2021 04:16 PM,SanjeevBridgejiana.pdf (150.00 KB),AOC,1.0,224056.0,SAJEEV KUMAR GOVT.CONTRACTOR,INR,"1,268,470",Finance,summary,Arvind Lakhanpal,10-Aug-2021 05:12 PM,finance_74643.pdf,BOQ Comparative Chart,1.0,224093.0,AKSHAY GOVT. CONTRACTOR,19-Jul-2021 06:55 PM,Rejected-AOC,2.0,12-Oct-2021 04:16 PM,Technical,summ,Arvind Lakhanpal,20-Jul-2021 05:07 PM,technical_74643.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,224056.0,SAJEEV KUMAR GOVT.CONTRACTOR,20-Jul-2021 09:10 AM,Accepted-AOC,1.0,12-Oct-2021 04:16 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No. along with latest return of GST ( also see General Rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate (General Rule No. 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool , Plant as per SBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
