Cover No,Cover,Document Type,Description,S.No,Category,Sub Category,Sub Category Description,Format/File,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Instrument Type,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Indicated in Schedule F,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,350.0,EE Electrical HP.PWD,Mandi,No,1.0,corrigendum,Date,,Running operation of HVAC System,Running operation of HVAC System Hot Water Generator of Rapid cool make installed in Shri Lal Bahadur Shastri Government Medical College and Hospital Nerchowk District Mandi HP in winter,as per bid document ,NA ,,Electrical Works,NA ,Tender,75.0,150.0,Medical College and Hospital Nerchowk Mandi,175001.0,NA ,NA ,NA ,Mandi,No ,No,"15,950",Yes,fixed,,EE Electrical HP.PWD,Mandi,PWD,Letter No. 4781-86 dated 03.11.2020,2020_PWD_42741_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,25-Nov-2020 01:00 PM,03-Dec-2020 11:30 AM,25-Nov-2020 02:00 PM,03-Dec-2020 11:00 AM,NA ,NA ,25-Nov-2020 02:00 PM,03-Dec-2020 11:00 AM,04-Dec-2020 03:00 PM,1.0,DD - Demand Draft,Executive Engineer,"Executive Engineer, Electrical Division, HP.PWD Mandi",AOC,PWD,2020_PWD_42741_1,Letter No. 4781-86 dated 03.11.2020,Running operation of HVAC System,Er D S Patial EE,Internal,Sh Jai Ram HDM Sh Kapil Soni Sr Asstt Sh Mansih Kumar TA,Dalip singh Patial,04-Dec-2020 02:48 PM,04-Dec-2020 03:00 PM,techsummary_63338.pdf (311.42 KB),Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt Sh Manish Kumar TA,Dalip singh Patial,16-Jun-2021 05:01 PM,finsummary_63338.pdf (254.82 KB),24-Oct-2021,"INR 745,000",150.0,Munish Bhopal,13-Oct-2021 03:28 PM,AOC.pdf (530.00 KB),work awarded to M/s SHARMA ELECTRICAL CO.,1.0,189826.0,SHARMA ELECTRICAL CO.,INR,"745,000",Finance,financial summary,Dalip singh Patial,16-Jun-2021 04:53 PM,finance_63338.pdf,BOQ Comparative Chart,1.0,189962.0,CHILL POINT ENGINEERS PVT LTD,01-Dec-2020 11:44 AM,Rejected-Finance,rejected being L2,16-Jun-2021 05:01 PM,Technical,Technical bid summary,Dalip singh Patial,04-Dec-2020 02:43 PM,technical_63338.pdf,AOC
,,.pdf,Earnest Money Indicated in Schedule F,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,2.0,Corrigendum,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,189815.0,PRAGATI ELECTRICAL AND ELECTRONIC CO,30-Nov-2020 10:45 AM,Rejected-Technical,bid responsive but disqualified,04-Dec-2020 02:51 PM,,,,,,AOC
,,.pdf,Electrical contractor Class B or C with valid enlistment and valid electrical license,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,189826.0,SHARMA ELECTRICAL CO.,28-Nov-2020 05:29 PM,Accepted-AOC,work awarded being L1,13-Oct-2021 03:28 PM,,,,,,AOC
,,.pdf,Income Tax (PAN) and GST and EPF Registration General Rules No 21,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form No 8 duly signed REFER General Rules No 26.7,5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Financial turnover of last three years as per Technical qualification criteria,6.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Attested copies of similar work done certificate as per Technical qualification criteria,7.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit regarding No gazetted HPPWD Employees related to him General Rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Another documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
